LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
0.106000,1421697.000,27142,14,GZ,1,100,-2.136
0.106000,1421697.000,27142,14,GZ,1,100,-1.953
0.106000,1421697.000,27142,14,GZ,1,100,-0.641
0.106000,1421697.000,27142,14,GZ,1,100,1.251
0.106000,1421697.000,27142,14,GZ,1,100,2.075
0.106000,1421697.000,27142,14,GZ,1,100,1.709
0.106000,1421697.000,27142,14,GZ,1,100,0.671
0.106000,1421697.000,27142,14,GZ,1,100,-0.397
0.106000,1421697.000,27142,14,GZ,1,100,-0.641
0.106000,1421697.000,27142,14,GZ,1,100,-0.183
0.106000,1421697.000,27142,14,GZ,1,100,-0.122
0.106000,1421697.000,27142,14,GZ,1,100,0.183
0.106000,1421697.000,27142,14,GZ,1,100,0.214
0.106000,1421697.000,27142,14,GZ,1,100,0.427
0.145000,1421736.000,27159,3,GZ,1,100,0.366
0.184000,1421775.000,27159,3,GZ,1,100,0.885
0.223000,1421814.000,27159,3,GZ,1,100,0.580
0.255500,1421846.500,27175,2,GZ,1,100,0.122
0.288000,1421879.000,27175,2,GZ,1,100,0.458
0.327000,1421918.000,27192,3,GZ,1,100,-0.366
0.366000,1421957.000,27192,3,GZ,1,100,0.519
0.405000,1421996.000,27192,3,GZ,1,100,1.221
0.444000,1422035.000,27209,3,GZ,1,100,1.312
0.483000,1422074.000,27209,3,GZ,1,100,-0.214
0.522000,1422113.000,27209,3,GZ,1,100,-1.495
0.560000,1422151.000,27228,2,GZ,1,100,0.153
0.598000,1422189.000,27228,2,GZ,1,100,0.366
0.637000,1422228.000,27243,3,GZ,1,100,0.122
0.676000,1422267.000,27243,3,GZ,1,100,0.977
0.715000,1422306.000,27243,3,GZ,1,100,1.495
0.754000,1422345.000,27262,4,GZ,1,100,1.373
0.793000,1422384.000,27262,4,GZ,1,100,0.916
0.832000,1422423.000,27262,4,GZ,1,100,1.740
0.871000,1422462.000,27262,4,GZ,1,100,0.885
0.910000,1422501.000,27277,2,GZ,1,100,0.793
0.949000,1422540.000,27277,2,GZ,1,100,0.885
0.988000,1422579.000,27294,3,GZ,1,100,1.343
1.027000,1422618.000,27294,3,GZ,1,100,1.495
1.066000,1422657.000,27294,3,GZ,1,100,0.549
1.104667,1422695.667,27311,3,GZ,1,100,0.336
1.143333,1422734.333,27311,3,GZ,1,100,1.038
1.182000,1422773.000,27311,3,GZ,1,100,0.580
1.220500,1422811.500,27328,2,GZ,1,100,0.580
1.259000,1422850.000,27328,2,GZ,1,100,0.763
1.298000,1422889.000,27343,3,GZ,1,100,0.671
1.337000,1422928.000,27343,3,GZ,1,100,0.488
1.376000,1422967.000,27343,3,GZ,1,100,0.488
1.415000,1423006.000,27361,2,GZ,1,100,0.397
1.454000,1423045.000,27361,2,GZ,1,100,0.305
1.493000,1423084.000,27379,3,GZ,1,100,0.549
1.532000,1423123.000,27379,3,GZ,1,100,0.092
1.571000,1423162.000,27379,3,GZ,1,100,0.641
1.610667,1423201.667,27396,3,GZ,1,100,0.824
1.650333,1423241.333,27396,3,GZ,1,100,0.397
1.690000,1423281.000,27396,3,GZ,1,100,0.214
1.729500,1423320.500,27413,2,GZ,1,100,0.336
1.769000,1423360.000,27413,2,GZ,1,100,0.427
1.808000,1423399.000,27429,3,GZ,1,100,0.183
1.847000,1423438.000,27429,3,GZ,1,100,0.031
1.886000,1423477.000,27429,3,GZ,1,100,0.275
1.925000,1423516.000,27445,2,GZ,1,100,0.031
1.964000,1423555.000,27445,2,GZ,1,100,0.092
1.998000,1423589.000,27462,3,GZ,1,100,0.275
2.032000,1423623.000,27462,3,GZ,1,100,0.671
2.066000,1423657.000,27462,3,GZ,1,100,1.007
2.105667,1423696.667,27479,3,GZ,1,100,0.092
2.145333,1423736.333,27479,3,GZ,1,100,-0.214
2.185000,1423776.000,27479,3,GZ,1,100,0.122
2.224000,1423815.000,27495,2,GZ,1,100,0.183
2.263000,1423854.000,27495,2,GZ,1,100,0.061
2.302000,1423893.000,27511,3,GZ,1,100,0.336
2.341000,1423932.000,27511,3,GZ,1,100,0.244
2.380000,1423971.000,27511,3,GZ,1,100,-0.305
2.419000,1424010.000,27529,3,GZ,1,100,-0.061
2.458000,1424049.000,27529,3,GZ,1,100,0.122
2.497000,1424088.000,27529,3,GZ,1,100,0.397
2.536000,1424127.000,27547,2,GZ,1,100,0.275
2.575000,1424166.000,27547,2,GZ,1,100,0.122
2.613667,1424204.667,27564,3,GZ,1,100,0.092
2.652333,1424243.333,27564,3,GZ,1,100,0.458
2.691000,1424282.000,27564,3,GZ,1,100,0.000
