LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
0.108000,1421699.000,27130,4,DC,2,100,EA
0.108000,1421699.000,27130,4,DC,2,100,2
0.108000,1421699.000,27130,4,DC,2,100,EL
0.108000,1421699.000,27130,4,DC,2,100,2
0.137750,1421728.750,27148,4,DC,2,100,EA
0.167500,1421758.500,27148,4,DC,2,100,1
0.197250,1421788.250,27148,4,DC,2,100,EL
0.227000,1421818.000,27148,4,DC,2,100,1
0.252250,1421843.250,27163,4,DC,2,100,EA
0.277500,1421868.500,27163,4,DC,2,100,2
0.302750,1421893.750,27163,4,DC,2,100,EL
0.328000,1421919.000,27163,4,DC,2,100,2
0.353000,1421944.000,27180,4,DC,2,100,EA
0.378000,1421969.000,27180,4,DC,2,100,1
0.403000,1421994.000,27180,4,DC,2,100,EL
0.428000,1422019.000,27180,4,DC,2,100,1
0.453500,1422044.500,27197,4,DC,2,100,EA
0.479000,1422070.000,27197,4,DC,2,100,2
0.504500,1422095.500,27197,4,DC,2,100,EL
0.530000,1422121.000,27197,4,DC,2,100,2
0.555000,1422146.000,27216,4,DC,2,100,EA
0.580000,1422171.000,27216,4,DC,2,100,2
0.605000,1422196.000,27216,4,DC,2,100,EL
0.630000,1422221.000,27216,4,DC,2,100,2
0.655250,1422246.250,27232,4,DC,2,100,EA
0.680500,1422271.500,27232,4,DC,2,100,1
0.705750,1422296.750,27232,4,DC,2,100,EL
0.731000,1422322.000,27232,4,DC,2,100,1
0.770250,1422361.250,27250,4,DC,2,100,EA
0.809500,1422400.500,27250,4,DC,2,100,3
0.848750,1422439.750,27250,4,DC,2,100,EL
0.888000,1422479.000,27250,4,DC,2,100,3
0.913250,1422504.250,27266,4,DC,2,100,EA
0.938500,1422529.500,27266,4,DC,2,100,1
0.963750,1422554.750,27266,4,DC,2,100,EL
0.989000,1422580.000,27266,4,DC,2,100,1
1.014000,1422605.000,27282,4,DC,2,100,EA
1.039000,1422630.000,27282,4,DC,2,100,2
1.064000,1422655.000,27282,4,DC,2,100,EL
1.089000,1422680.000,27282,4,DC,2,100,2
1.114500,1422705.500,27299,4,DC,2,100,EA
1.140000,1422731.000,27299,4,DC,2,100,1
1.165500,1422756.500,27299,4,DC,2,100,EL
1.191000,1422782.000,27299,4,DC,2,100,1
1.216000,1422807.000,27316,4,DC,2,100,EA
1.241000,1422832.000,27316,4,DC,2,100,2
1.266000,1422857.000,27316,4,DC,2,100,EL
1.291000,1422882.000,27316,4,DC,2,100,2
1.316250,1422907.250,27332,4,DC,2,100,EA
1.341500,1422932.500,27332,4,DC,2,100,1
1.366750,1422957.750,27332,4,DC,2,100,EL
1.392000,1422983.000,27332,4,DC,2,100,1
