LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
0.106000,1421697.000,27134,2,EA,1,100,1000.000000
0.106000,1421697.000,27134,2,EA,1,100,1000.000000
0.171000,1421762.000,27152,1,EA,1,100,1000.000000
0.235500,1421826.500,27167,2,EA,1,100,1000.000000
0.300000,1421891.000,27167,2,EA,1,100,1000.000000
0.366000,1421957.000,27184,1,EA,1,100,1000.000000
0.430500,1422021.500,27201,2,EA,1,100,1000.000000
0.495000,1422086.000,27201,2,EA,1,100,1000.000000
0.559500,1422150.500,27220,2,EA,1,100,1000.000000
0.624000,1422215.000,27220,2,EA,1,100,1000.000000
0.689000,1422280.000,27236,1,EA,1,100,1000.000000
0.753667,1422344.667,27254,3,EA,1,100,1000.000000
0.818333,1422409.333,27254,3,EA,1,100,1000.000000
0.883000,1422474.000,27254,3,EA,1,100,1000.000000
0.949000,1422540.000,27270,1,EA,1,100,1000.000000
1.013500,1422604.500,27286,2,EA,1,100,1000.000000
1.078000,1422669.000,27286,2,EA,1,100,1000.000000
1.144000,1422735.000,27303,1,EA,1,100,1000.000000
1.208000,1422799.000,27320,2,EA,1,100,1000.000000
1.272000,1422863.000,27320,2,EA,1,100,1000.000000
1.337000,1422928.000,27336,1,EA,1,100,1000.000000
1.401500,1422992.500,27353,2,EA,1,100,1000.000000
1.466000,1423057.000,27353,2,EA,1,100,1000.000000
1.532000,1423123.000,27371,1,EA,1,100,1000.000000
1.597500,1423188.500,27388,2,EA,1,100,1000.000000
1.663000,1423254.000,27388,2,EA,1,100,1000.000000
1.729000,1423320.000,27405,2,EA,1,100,1000.000000
1.795000,1423386.000,27405,2,EA,1,100,1000.000000
1.860000,1423451.000,27422,1,EA,1,100,1000.000000
1.924500,1423515.500,27437,2,EA,1,100,1000.000000
1.989000,1423580.000,27437,2,EA,1,100,1000.000000
2.052000,1423643.000,27454,1,EA,1,100,1000.000000
2.118500,1423709.500,27471,2,EA,1,100,1000.000000
2.185000,1423776.000,27471,2,EA,1,100,1000.000000
2.250000,1423841.000,27488,1,EA,1,100,1000.000000
2.315000,1423906.000,27503,2,EA,1,100,1000.000000
2.380000,1423971.000,27503,2,EA,1,100,1000.000000
2.445000,1424036.000,27521,1,EA,1,100,1000.000000
2.510000,1424101.000,27539,2,EA,1,100,1000.000000
2.575000,1424166.000,27539,2,EA,1,100,1000.000000
2.639500,1424230.500,27556,2,EA,1,100,1000.000000
2.704000,1424295.000,27556,2,EA,1,100,1000.000000
2.771000,1424362.000,27573,1,EA,1,100,1000.000000
2.836000,1424427.000,27589,2,EA,1,100,1000.000000
2.901000,1424492.000,27589,2,EA,1,100,1000.000000
2.966000,1424557.000,27605,1,EA,1,100,1000.000000
3.030500,1424621.500,27623,2,EA,1,100,1000.000000
3.095000,1424686.000,27623,2,EA,1,100,1000.000000
3.161000,1424752.000,27639,1,EA,1,100,1000.000000
3.225500,1424816.500,27655,2,EA,1,100,1000.000000
