LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
15.701000,1437292.000,29718,1,T1,1,100,31.179
15.831000,1437422.000,29735,1,T1,1,100,31.219
15.962000,1437553.000,29767,1,T1,1,100,31.272
16.091000,1437682.000,29786,1,T1,1,100,31.401
16.221000,1437812.000,29804,1,T1,1,100,31.386
16.353000,1437944.000,29821,1,T1,1,100,31.380
16.483000,1438074.000,29838,1,T1,1,100,31.342
16.613000,1438204.000,29855,1,T1,1,100,31.325
16.743000,1438334.000,29888,1,T1,1,100,31.318
16.871000,1438462.000,29906,1,T1,1,100,31.386
17.005000,1438596.000,29923,1,T1,1,100,31.344
17.134000,1438725.000,29958,1,T1,1,100,31.362
17.263000,1438854.000,29974,1,T1,1,100,31.476
17.393000,1438984.000,29992,1,T1,1,100,31.383
17.523000,1439114.000,30008,1,T1,1,100,31.378
17.651000,1439242.000,30041,1,T1,1,100,31.483
17.781000,1439372.000,30058,1,T1,1,100,31.351
17.912000,1439503.000,30076,1,T1,1,100,31.294
18.044000,1439635.000,30111,1,T1,1,100,31.375
18.175000,1439766.000,30128,1,T1,1,100,31.446
18.302000,1439893.000,30144,1,T1,1,100,31.477
18.432000,1440023.000,30162,1,T1,1,100,31.561
18.562000,1440153.000,30194,1,T1,1,100,31.526
18.693000,1440284.000,30211,1,T1,1,100,31.511
18.823000,1440414.000,30228,1,T1,1,100,31.434
18.953000,1440544.000,30261,1,T1,1,100,31.401
19.082000,1440673.000,30279,1,T1,1,100,31.351
19.216000,1440807.000,30296,1,T1,1,100,31.471
19.346000,1440937.000,30312,1,T1,1,100,31.523
19.476000,1441067.000,30347,1,T1,1,100,31.439
19.606000,1441197.000,30364,1,T1,1,100,31.332
19.734000,1441325.000,30381,1,T1,1,100,31.392
19.863000,1441454.000,30413,1,T1,1,100,31.276
19.992000,1441583.000,30431,1,T1,1,100,31.332
20.122000,1441713.000,30449,1,T1,1,100,31.356
20.256000,1441847.000,30466,1,T1,1,100,31.367
20.386000,1441977.000,30499,1,T1,1,100,31.407
20.514000,1442105.000,30517,1,T1,1,100,31.389
20.643000,1442234.000,30535,1,T1,1,100,31.452
20.775000,1442366.000,30567,1,T1,1,100,31.479
20.907000,1442498.000,30583,1,T1,1,100,31.420
21.037000,1442628.000,30603,1,T1,1,100,31.359
21.167000,1442758.000,30635,1,T1,1,100,31.368
21.297000,1442888.000,30652,1,T1,1,100,31.372
21.428000,1443019.000,30669,1,T1,1,100,31.480
21.557000,1443148.000,30685,1,T1,1,100,31.456
21.687000,1443278.000,30720,1,T1,1,100,31.410
21.817000,1443408.000,30737,1,T1,1,100,31.426
21.945000,1443536.000,30754,1,T1,1,100,31.397
22.075000,1443666.000,30790,1,T1,1,100,31.420
22.205000,1443796.000,30807,1,T1,1,100,31.465
22.334000,1443925.000,30824,1,T1,1,100,31.520
22.465000,1444056.000,30841,1,T1,1,100,31.580
22.594000,1444185.000,30874,1,T1,1,100,31.535
22.723000,1444314.000,30890,1,T1,1,100,31.409
22.855000,1444446.000,30907,1,T1,1,100,31.460
22.985000,1444576.000,30942,1,T1,1,100,31.483
23.115000,1444706.000,30960,1,T1,1,100,31.422
23.245000,1444836.000,30978,1,T1,1,100,31.537
23.373000,1444964.000,30994,1,T1,1,100,31.516
23.507000,1445098.000,31027,1,T1,1,100,31.471
23.637000,1445228.000,31044,1,T1,1,100,31.523
23.766000,1445357.000,31060,1,T1,1,100,31.545
23.896000,1445487.000,31077,1,T1,1,100,31.449
24.027000,1445618.000,31112,1,T1,1,100,31.442
24.156000,1445747.000,31128,1,T1,1,100,31.440
24.286000,1445877.000,31146,1,T1,1,100,31.474
24.416000,1446007.000,31178,1,T1,1,100,31.382
24.546000,1446137.000,31195,1,T1,1,100,31.343
24.677000,1446268.000,31212,1,T1,1,100,31.467
24.804000,1446395.000,31228,1,T1,1,100,31.557
24.934000,1446525.000,31263,1,T1,1,100,31.595
25.066000,1446657.000,31280,1,T1,1,100,31.541
25.197000,1446788.000,31297,1,T1,1,100,31.518
25.327000,1446918.000,31331,1,T1,1,100,31.508
25.455000,1447046.000,31348,1,T1,1,100,31.432
25.584000,1447175.000,31365,1,T1,1,100,31.364
25.718000,1447309.000,31382,1,T1,1,100,31.335
25.849000,1447440.000,31415,1,T1,1,100,31.393
25.978000,1447569.000,31433,1,T1,1,100,31.383
26.108000,1447699.000,31450,1,T1,1,100,31.343
26.236000,1447827.000,31483,1,T1,1,100,31.432
26.366000,1447957.000,31499,1,T1,1,100,31.471
26.496000,1448087.000,31517,1,T1,1,100,31.487
26.625000,1448216.000,31533,1,T1,1,100,31.565
26.756000,1448347.000,31566,1,T1,1,100,31.564
26.885000,1448476.000,31585,1,T1,1,100,31.492
27.013000,1448604.000,31603,1,T1,1,100,31.497
27.142000,1448733.000,31636,1,T1,1,100,31.428
27.274000,1448865.000,31653,1,T1,1,100,31.433
27.406000,1448997.000,31669,1,T1,1,100,31.507
27.536000,1449127.000,31687,1,T1,1,100,31.645
27.665000,1449256.000,31719,1,T1,1,100,31.669
27.794000,1449385.000,31736,1,T1,1,100,31.679
27.928000,1449519.000,31755,1,T1,1,100,31.542
28.057000,1449648.000,31788,1,T1,1,100,31.518
28.187000,1449778.000,31804,1,T1,1,100,31.472
28.317000,1449908.000,31821,1,T1,1,100,31.488
28.445000,1450036.000,31837,1,T1,1,100,31.495
28.575000,1450166.000,31872,1,T1,1,100,31.391
28.705000,1450296.000,31889,1,T1,1,100,31.453
28.834000,1450425.000,31908,1,T1,1,100,31.551
28.965000,1450556.000,31940,1,T1,1,100,31.557
29.094000,1450685.000,31958,1,T1,1,100,31.560
29.223000,1450814.000,31974,1,T1,1,100,31.491
29.353000,1450944.000,31991,1,T1,1,100,31.425
29.483000,1451074.000,32026,1,T1,1,100,31.432
29.611000,1451202.000,32042,1,T1,1,100,31.506
29.741000,1451332.000,32060,1,T1,1,100,31.503
29.869000,1451460.000,32094,1,T1,1,100,31.572
30.003000,1451594.000,32110,1,T1,1,100,31.531
30.133000,1451724.000,32128,1,T1,1,100,31.620
30.262000,1451853.000,32144,1,T1,1,100,31.552
30.392000,1451983.000,32177,1,T1,1,100,31.593
30.523000,1452114.000,32194,1,T1,1,100,31.540
30.655000,1452246.000,32210,1,T1,1,100,31.517
30.785000,1452376.000,32245,1,T1,1,100,31.472
30.915000,1452506.000,32262,1,T1,1,100,31.488
31.043000,1452634.000,32281,1,T1,1,100,31.495
31.175000,1452766.000,32298,1,T1,1,100,31.569
31.304000,1452895.000,32331,1,T1,1,100,31.565
31.433000,1453024.000,32347,1,T1,1,100,31.599
31.565000,1453156.000,32364,1,T1,1,100,31.578
31.696000,1453287.000,32399,1,T1,1,100,31.534
31.826000,1453417.000,32415,1,T1,1,100,31.479
