LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
17.296000,1438887.000,29983,2,MZ,1,100,-66
17.335000,1438926.000,30001,3,MZ,1,100,-69
17.374000,1438965.000,30001,3,MZ,1,100,-65
17.413000,1439004.000,30001,3,MZ,1,100,-66
17.452000,1439043.000,30017,2,MZ,1,100,-66
17.491000,1439082.000,30017,2,MZ,1,100,-64
17.525333,1439116.333,30033,3,MZ,1,100,-62
17.559667,1439150.667,30033,3,MZ,1,100,-61
17.594000,1439185.000,30033,3,MZ,1,100,-61
17.632667,1439223.667,30050,3,MZ,1,100,-59
17.671333,1439262.333,30050,3,MZ,1,100,-60
17.710000,1439301.000,30050,3,MZ,1,100,-58
17.749000,1439340.000,30067,3,MZ,1,100,-57
17.788000,1439379.000,30067,3,MZ,1,100,-56
17.827000,1439418.000,30067,3,MZ,1,100,-55
17.866500,1439457.500,30085,2,MZ,1,100,-56
17.906000,1439497.000,30085,2,MZ,1,100,-54
17.945667,1439536.667,30101,3,MZ,1,100,-54
17.985333,1439576.333,30101,3,MZ,1,100,-54
18.025000,1439616.000,30101,3,MZ,1,100,-54
18.064000,1439655.000,30120,2,MZ,1,100,-54
18.103000,1439694.000,30120,2,MZ,1,100,-53
18.142000,1439733.000,30137,3,MZ,1,100,-53
18.181000,1439772.000,30137,3,MZ,1,100,-53
18.220000,1439811.000,30137,3,MZ,1,100,-51
18.258333,1439849.333,30153,3,MZ,1,100,-51
18.296667,1439887.667,30153,3,MZ,1,100,-50
18.335000,1439926.000,30153,3,MZ,1,100,-51
18.374000,1439965.000,30171,2,MZ,1,100,-50
18.413000,1440004.000,30171,2,MZ,1,100,-49
18.451667,1440042.667,30186,3,MZ,1,100,-49
18.490333,1440081.333,30186,3,MZ,1,100,-48
18.529000,1440120.000,30186,3,MZ,1,100,-48
18.569000,1440160.000,30203,2,MZ,1,100,-48
18.609000,1440200.000,30203,2,MZ,1,100,-49
18.648000,1440239.000,30220,3,MZ,1,100,-48
18.687000,1440278.000,30220,3,MZ,1,100,-48
18.726000,1440317.000,30220,3,MZ,1,100,-47
18.765000,1440356.000,30237,2,MZ,1,100,-48
18.804000,1440395.000,30237,2,MZ,1,100,-47
18.843000,1440434.000,30252,3,MZ,1,100,-47
18.882000,1440473.000,30252,3,MZ,1,100,-48
18.921000,1440512.000,30252,3,MZ,1,100,-48
18.960000,1440551.000,30270,3,MZ,1,100,-49
18.999000,1440590.000,30270,3,MZ,1,100,-50
19.038000,1440629.000,30270,3,MZ,1,100,-50
19.077000,1440668.000,30288,2,MZ,1,100,-50
19.116000,1440707.000,30288,2,MZ,1,100,-51
19.156000,1440747.000,30305,3,MZ,1,100,-50
19.196000,1440787.000,30305,3,MZ,1,100,-50
19.236000,1440827.000,30305,3,MZ,1,100,-50
19.270667,1440861.667,30321,3,MZ,1,100,-51
19.305333,1440896.333,30321,3,MZ,1,100,-50
19.340000,1440931.000,30321,3,MZ,1,100,-49
19.379000,1440970.000,30338,2,MZ,1,100,-48
19.418000,1441009.000,30338,2,MZ,1,100,-48
19.457000,1441048.000,30356,3,MZ,1,100,-48
19.496000,1441087.000,30356,3,MZ,1,100,-49
19.535000,1441126.000,30356,3,MZ,1,100,-48
19.574000,1441165.000,30373,2,MZ,1,100,-50
19.613000,1441204.000,30373,2,MZ,1,100,-49
19.651333,1441242.333,30390,3,MZ,1,100,-50
19.689667,1441280.667,30390,3,MZ,1,100,-51
19.728000,1441319.000,30390,3,MZ,1,100,-50
19.767000,1441358.000,30406,3,MZ,1,100,-50
19.806000,1441397.000,30406,3,MZ,1,100,-52
19.845000,1441436.000,30406,3,MZ,1,100,-51
19.883000,1441474.000,30422,2,MZ,1,100,-50
19.921000,1441512.000,30422,2,MZ,1,100,-51
19.960000,1441551.000,30440,3,MZ,1,100,-52
19.999000,1441590.000,30440,3,MZ,1,100,-51
20.038000,1441629.000,30440,3,MZ,1,100,-52
20.077000,1441668.000,30458,2,MZ,1,100,-52
20.116000,1441707.000,30458,2,MZ,1,100,-52
20.156000,1441747.000,30475,3,MZ,1,100,-52
20.196000,1441787.000,30475,3,MZ,1,100,-50
20.236000,1441827.000,30475,3,MZ,1,100,-52
20.275000,1441866.000,30491,3,MZ,1,100,-50
20.314000,1441905.000,30491,3,MZ,1,100,-51
20.353000,1441944.000,30491,3,MZ,1,100,-48
20.392000,1441983.000,30508,2,MZ,1,100,-49
20.431000,1442022.000,30508,2,MZ,1,100,-48
20.469333,1442060.333,30526,3,MZ,1,100,-47
20.507667,1442098.667,30526,3,MZ,1,100,-47
20.546000,1442137.000,30526,3,MZ,1,100,-46
20.585000,1442176.000,30544,2,MZ,1,100,-44
20.624000,1442215.000,30544,2,MZ,1,100,-46
20.663333,1442254.333,30559,3,MZ,1,100,-44
20.702667,1442293.667,30559,3,MZ,1,100,-42
20.742000,1442333.000,30559,3,MZ,1,100,-41
20.782000,1442373.000,30576,3,MZ,1,100,-41
20.822000,1442413.000,30576,3,MZ,1,100,-40
20.862000,1442453.000,30576,3,MZ,1,100,-40
20.901000,1442492.000,30592,2,MZ,1,100,-39
20.940000,1442531.000,30592,2,MZ,1,100,-42
20.974667,1442565.667,30612,3,MZ,1,100,-40
