LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
3.239000,1424830.000,27660,2,AZ,1,100,-0.292
3.278000,1424869.000,27660,2,AZ,1,100,-0.308
3.316667,1424907.667,27676,3,AZ,1,100,-0.297
3.355333,1424946.333,27676,3,AZ,1,100,-0.307
3.394000,1424985.000,27676,3,AZ,1,100,-0.303
3.432667,1425023.667,27696,3,AZ,1,100,-0.306
3.471333,1425062.333,27696,3,AZ,1,100,-0.299
3.510000,1425101.000,27696,3,AZ,1,100,-0.295
3.549000,1425140.000,27712,2,AZ,1,100,-0.302
3.588000,1425179.000,27712,2,AZ,1,100,-0.300
3.627000,1425218.000,27728,3,AZ,1,100,-0.308
3.666000,1425257.000,27728,3,AZ,1,100,-0.301
3.705000,1425296.000,27728,3,AZ,1,100,-0.301
3.739667,1425330.667,27745,3,AZ,1,100,-0.300
3.774333,1425365.333,27745,3,AZ,1,100,-0.311
3.809000,1425400.000,27745,3,AZ,1,100,-0.296
3.848000,1425439.000,27762,2,AZ,1,100,-0.300
3.887000,1425478.000,27762,2,AZ,1,100,-0.297
3.926000,1425517.000,27778,3,AZ,1,100,-0.303
3.965000,1425556.000,27778,3,AZ,1,100,-0.304
4.004000,1425595.000,27778,3,AZ,1,100,-0.302
4.042333,1425633.333,27795,3,AZ,1,100,-0.296
4.080667,1425671.667,27795,3,AZ,1,100,-0.297
4.119000,1425710.000,27795,3,AZ,1,100,-0.299
4.158000,1425749.000,27811,2,AZ,1,100,-0.299
4.197000,1425788.000,27811,2,AZ,1,100,-0.305
4.236333,1425827.333,27828,3,AZ,1,100,-0.298
4.275667,1425866.667,27828,3,AZ,1,100,-0.296
4.315000,1425906.000,27828,3,AZ,1,100,-0.304
4.355000,1425946.000,27845,2,AZ,1,100,-0.304
4.395000,1425986.000,27845,2,AZ,1,100,-0.299
4.434000,1426025.000,27864,3,AZ,1,100,-0.297
4.473000,1426064.000,27864,3,AZ,1,100,-0.293
4.512000,1426103.000,27864,3,AZ,1,100,-0.301
4.551000,1426142.000,27879,2,AZ,1,100,-0.301
4.590000,1426181.000,27879,2,AZ,1,100,-0.306
4.629000,1426220.000,27897,3,AZ,1,100,-0.302
4.668000,1426259.000,27897,3,AZ,1,100,-0.285
4.707000,1426298.000,27897,3,AZ,1,100,-0.301
4.746000,1426337.000,27913,3,AZ,1,100,-0.290
4.785000,1426376.000,27913,3,AZ,1,100,-0.308
4.824000,1426415.000,27913,3,AZ,1,100,-0.294
4.863000,1426454.000,27930,2,AZ,1,100,-0.300
4.902000,1426493.000,27930,2,AZ,1,100,-0.289
4.941667,1426532.667,27945,3,AZ,1,100,-0.298
4.981333,1426572.333,27945,3,AZ,1,100,-0.300
5.021000,1426612.000,27945,3,AZ,1,100,-0.293
5.060000,1426651.000,27963,2,AZ,1,100,-0.290
5.099000,1426690.000,27963,2,AZ,1,100,-0.292
5.138000,1426729.000,27979,3,AZ,1,100,-0.296
5.177000,1426768.000,27979,3,AZ,1,100,-0.296
5.216000,1426807.000,27979,3,AZ,1,100,-0.305
5.255000,1426846.000,27996,2,AZ,1,100,-0.297
5.294000,1426885.000,27996,2,AZ,1,100,-0.294
5.333000,1426924.000,28013,3,AZ,1,100,-0.290
5.372000,1426963.000,28013,3,AZ,1,100,-0.296
5.411000,1427002.000,28013,3,AZ,1,100,-0.298
5.445000,1427036.000,28031,3,AZ,1,100,-0.297
5.479000,1427070.000,28031,3,AZ,1,100,-0.303
5.513000,1427104.000,28031,3,AZ,1,100,-0.293
5.552000,1427143.000,28047,3,AZ,1,100,-0.304
5.591000,1427182.000,28047,3,AZ,1,100,-0.289
5.630000,1427221.000,28047,3,AZ,1,100,-0.296
5.669000,1427260.000,28065,2,AZ,1,100,-0.289
5.708000,1427299.000,28065,2,AZ,1,100,-0.302
5.747000,1427338.000,28081,3,AZ,1,100,-0.299
5.786000,1427377.000,28081,3,AZ,1,100,-0.306
5.825000,1427416.000,28081,3,AZ,1,100,-0.302
5.864500,1427455.500,28099,4,AZ,1,100,-0.286
5.904000,1427495.000,28099,4,AZ,1,100,-0.292
5.943500,1427534.500,28099,4,AZ,1,100,-0.295
5.983000,1427574.000,28099,4,AZ,1,100,-0.298
6.022500,1427613.500,28116,2,AZ,1,100,-0.298
6.062000,1427653.000,28116,2,AZ,1,100,-0.287
6.101000,1427692.000,28132,3,AZ,1,100,-0.294
6.140000,1427731.000,28132,3,AZ,1,100,-0.298
6.179000,1427770.000,28132,3,AZ,1,100,-0.296
6.217667,1427808.667,28148,3,AZ,1,100,-0.285
6.256333,1427847.333,28148,3,AZ,1,100,-0.288
6.295000,1427886.000,28148,3,AZ,1,100,-0.292
6.334000,1427925.000,28166,2,AZ,1,100,-0.295
6.373000,1427964.000,28166,2,AZ,1,100,-0.295
6.412000,1428003.000,28184,3,AZ,1,100,-0.287
6.451000,1428042.000,28184,3,AZ,1,100,-0.288
6.490000,1428081.000,28184,3,AZ,1,100,-0.291
6.530000,1428121.000,28200,2,AZ,1,100,-0.292
6.570000,1428161.000,28200,2,AZ,1,100,-0.294
6.609333,1428200.333,28217,3,AZ,1,100,-0.294
6.648667,1428239.667,28217,3,AZ,1,100,-0.291
6.688000,1428279.000,28217,3,AZ,1,100,-0.289
