LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1700426645.716424,33949.000,2099,15,GZ,1,100,9.430
1700426645.716424,33949.000,2099,15,GZ,1,100,8.148
1700426645.716424,33949.000,2099,15,GZ,1,100,6.744
1700426645.716424,33949.000,2099,15,GZ,1,100,6.226
1700426645.716424,33949.000,2099,15,GZ,1,100,5.096
1700426645.716424,33949.000,2099,15,GZ,1,100,3.174
1700426645.716424,33949.000,2099,15,GZ,1,100,-1.343
1700426645.716424,33949.000,2099,15,GZ,1,100,-4.028
1700426645.716424,33949.000,2099,15,GZ,1,100,-6.775
1700426645.716424,33949.000,2099,15,GZ,1,100,-8.606
1700426645.716424,33949.000,2099,15,GZ,1,100,-10.742
1700426645.716424,33949.000,2099,15,GZ,1,100,-10.864
1700426645.716424,33949.000,2099,15,GZ,1,100,-8.789
1700426645.716424,33949.000,2099,15,GZ,1,100,-5.493
1700426645.716424,33949.000,2099,15,GZ,1,100,-2.991
1700426645.757645,33988.333,2118,3,GZ,1,100,-5.798
1700426645.798865,34027.667,2118,3,GZ,1,100,-4.608
1700426645.840086,34067.000,2118,3,GZ,1,100,-4.272
1700426645.876415,34101.667,2134,3,GZ,1,100,-4.547
1700426645.912745,34136.333,2134,3,GZ,1,100,-3.998
1700426645.949075,34171.000,2134,3,GZ,1,100,-3.296
1700426645.988899,34209.000,2152,2,GZ,1,100,-3.265
1700426646.028722,34247.000,2152,2,GZ,1,100,-3.326
1700426646.070292,34286.667,2167,3,GZ,1,100,-3.448
1700426646.111861,34326.333,2167,3,GZ,1,100,-3.876
1700426646.153431,34366.000,2167,3,GZ,1,100,-4.059
1700426646.193953,34404.667,2184,3,GZ,1,100,-3.784
1700426646.234475,34443.333,2184,3,GZ,1,100,-3.967
1700426646.274997,34482.000,2184,3,GZ,1,100,-3.296
1700426646.315868,34521.000,2200,2,GZ,1,100,-3.204
1700426646.356739,34560.000,2200,2,GZ,1,100,-1.831
1700426646.397610,34599.000,2220,3,GZ,1,100,-1.129
1700426646.438482,34638.000,2220,3,GZ,1,100,-1.465
1700426646.479353,34677.000,2220,3,GZ,1,100,-1.343
1700426646.520224,34716.000,2236,2,GZ,1,100,-1.129
1700426646.561095,34755.000,2236,2,GZ,1,100,-1.007
1700426646.601966,34794.000,2252,3,GZ,1,100,-1.587
1700426646.642838,34833.000,2252,3,GZ,1,100,-2.258
1700426646.683709,34872.000,2252,3,GZ,1,100,-2.197
1700426646.724580,34911.000,2269,3,GZ,1,100,-1.740
1700426646.765451,34950.000,2269,3,GZ,1,100,-1.160
1700426646.806322,34989.000,2269,3,GZ,1,100,-0.183
1700426646.846145,35027.000,2288,2,GZ,1,100,0.793
1700426646.885968,35065.000,2288,2,GZ,1,100,1.526
1700426646.926840,35104.000,2304,3,GZ,1,100,0.885
1700426646.967711,35143.000,2304,3,GZ,1,100,0.061
1700426647.008582,35182.000,2304,3,GZ,1,100,-0.427
1700426647.049453,35221.000,2321,3,GZ,1,100,-0.793
1700426647.090324,35260.000,2321,3,GZ,1,100,-0.763
1700426647.131196,35299.000,2321,3,GZ,1,100,-1.038
1700426647.172067,35338.000,2337,2,GZ,1,100,-1.129
1700426647.212938,35377.000,2337,2,GZ,1,100,-0.977
1700426647.253809,35416.000,2354,3,GZ,1,100,-0.214
1700426647.294680,35455.000,2354,3,GZ,1,100,0.671
1700426647.335552,35494.000,2354,3,GZ,1,100,2.594
1700426647.376423,35533.000,2371,2,GZ,1,100,1.282
1700426647.417294,35572.000,2371,2,GZ,1,100,-1.709
1700426647.457466,35610.333,2388,3,GZ,1,100,-3.174
1700426647.497639,35648.667,2388,3,GZ,1,100,-4.395
1700426647.537812,35687.000,2388,3,GZ,1,100,-6.256
1700426647.578683,35726.000,2403,3,GZ,1,100,-5.920
1700426647.619554,35765.000,2403,3,GZ,1,100,-4.059
1700426647.660425,35804.000,2403,3,GZ,1,100,-1.312
1700426647.696406,35838.333,2421,3,GZ,1,100,0.183
1700426647.732386,35872.667,2421,3,GZ,1,100,-2.838
1700426647.768367,35907.000,2421,3,GZ,1,100,-5.585
1700426647.810286,35947.000,2439,2,GZ,1,100,-4.028
1700426647.852205,35987.000,2439,2,GZ,1,100,-4.333
1700426647.893076,36026.000,2456,3,GZ,1,100,-2.319
1700426647.933948,36065.000,2456,3,GZ,1,100,-0.946
1700426647.974819,36104.000,2456,3,GZ,1,100,-0.854
1700426648.015690,36143.000,2471,2,GZ,1,100,0.305
1700426648.056561,36182.000,2471,2,GZ,1,100,2.899
1700426648.097432,36221.000,2489,3,GZ,1,100,5.188
1700426648.138303,36260.000,2489,3,GZ,1,100,5.676
1700426648.179175,36299.000,2489,3,GZ,1,100,4.730
1700426648.220046,36338.000,2505,2,GZ,1,100,2.563
1700426648.260917,36377.000,2505,2,GZ,1,100,0.336
1700426648.301090,36415.333,2524,3,GZ,1,100,-0.854
1700426648.341262,36453.667,2524,3,GZ,1,100,-1.251
1700426648.381434,36492.000,2524,3,GZ,1,100,-1.923
1700426648.423354,36532.000,2541,3,GZ,1,100,-1.343
1700426648.465273,36572.000,2541,3,GZ,1,100,-0.610
1700426648.507192,36612.000,2541,3,GZ,1,100,-0.793
1700426648.548063,36651.000,2557,2,GZ,1,100,-1.831
1700426648.588934,36690.000,2557,2,GZ,1,100,-1.190
