RD,TS_received,TS_sent,AK,RoundTrip,
25823,25855,2022-11-30_08-44-20-344063,25859,32,
30946,30968,2022-11-30_08-44-25-578650,30971,22,
36048,36079,2022-11-30_08-44-30-796761,36085,31,
41162,41182,2022-11-30_08-44-36-028404,41185,20,
46289,46309,2022-11-30_08-44-41-282378,46312,20,
51421,51443,2022-11-30_08-44-46-532152,51446,22,
56537,56584,2022-11-30_08-44-51-778803,56587,47,
61644,61681,2022-11-30_08-44-57-010334,61687,37,
66750,66773,2022-11-30_08-45-02-225643,66777,23,
71881,71912,2022-11-30_08-45-07-474572,71916,31,
77003,77074,2022-11-30_08-45-12-766681,77076,71,
82112,82179,2022-11-30_08-45-17-987455,82188,67,
87212,87278,2022-11-30_08-45-23-217049,87283,66,
92328,92394,2022-11-30_08-45-28-449046,92399,66,
97434,102542,2022-11-30_08-45-33-794413,102544,5108,
102545,107668,2022-11-30_08-45-38-972285,107671,5123,
107672,107701,2022-11-30_08-45-44-126013,107705,29,
112769,
117875,122991,2022-11-30_08-45-54-709686,122994,5116,
122994,123033,2022-11-30_08-45-59-806189,123036,39,
128109,128191,2022-11-30_08-46-05-091950,128193,82,
133211,
138307,138330,2022-11-30_08-46-15-487084,138333,23,
143428,143508,2022-11-30_08-46-20-771755,143512,80,
148534,148633,2022-11-30_08-46-26-026556,148636,99,
153643,153670,2022-11-30_08-46-31-189414,153674,27,
158781,0,,163912,-158781,
163924,163991,2022-11-30_08-46-41-741774,163995,67,
169041,169123,2022-11-30_08-46-46-975327,169126,82,
174150,179260,2022-11-30_08-46-52-350642,179263,5110,
179263,184404,2022-11-30_08-46-57-694481,184409,5141,
184411,
189514,189549,2022-11-30_08-47-07-890376,189552,35,
194633,
199730,
