LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1669790657.806685,23374.000,1645,1,B%,1,100,36
1669790658.810003,24354.000,1800,1,B%,1,100,37
1669790659.809226,25330.000,1953,1,B%,1,100,37
1669790660.807425,26305.000,2128,1,B%,1,100,37
1669790661.810742,27285.000,2298,1,B%,1,100,37
1669790662.808941,28260.000,2450,1,B%,1,100,37
1669790663.807140,29235.000,2623,1,B%,1,100,36
1669790664.803292,30208.000,2776,1,B%,1,100,36
1669790665.799443,31181.000,2952,1,B%,1,100,35
1669790666.800713,32159.000,3104,1,B%,1,100,36
1669790667.797888,33133.000,3258,1,B%,1,100,37
1669790668.796087,34108.000,3429,1,B%,1,100,36
1669790669.794286,35083.000,3601,1,B%,1,100,36
1669790670.795556,36061.000,3743,1,B%,1,100,36
1669790671.793755,37036.000,3914,1,B%,1,100,36
1669790672.791954,38011.000,4065,1,B%,1,100,36
1669790673.789129,38985.000,4218,1,B%,1,100,36
1669790674.787328,39960.000,4373,1,B%,1,100,36
1669790675.791670,40941.000,4528,1,B%,1,100,35
1669790676.786797,41913.000,4702,1,B%,1,100,34
1669790677.780901,42884.000,4854,1,B%,1,100,34
1669790678.779100,43859.000,5025,1,B%,1,100,34
1669790679.777299,44834.000,5197,1,B%,1,100,35
1669790680.781640,45815.000,5350,1,B%,1,100,35
1669790681.776768,46787.000,5526,1,B%,1,100,35
1669790682.777014,47764.000,5678,1,B%,1,100,36
1669790683.775213,48739.000,5849,1,B%,1,100,36
1669790684.769317,49710.000,6020,1,B%,1,100,36
1669790685.773659,50691.000,6173,1,B%,1,100,35
1669790686.776977,51671.000,6332,1,B%,1,100,35
1669790687.776199,52647.000,6503,1,B%,1,100,36
1669790688.773374,53621.000,6672,1,B%,1,100,36
1669790689.772597,54597.000,6825,1,B%,1,100,35
1669790690.774891,55576.000,6998,1,B%,1,100,35
1669790691.773090,56551.000,7158,1,B%,1,100,35
1669790692.772313,57527.000,7327,1,B%,1,100,36
1669790693.769488,58501.000,7479,1,B%,1,100,35
1669790694.769734,59478.000,7650,1,B%,1,100,35
1669790695.763838,60449.000,7820,1,B%,1,100,36
1669790696.758965,61421.000,7973,1,B%,1,100,37
1669790697.757164,62396.000,8151,1,B%,1,100,37
1669790698.755363,63371.000,8303,1,B%,1,100,36
1669790699.758681,64351.000,8474,1,B%,1,100,35
1669790700.753809,65323.000,8627,1,B%,1,100,35
1669790701.748936,66295.000,8798,1,B%,1,100,36
1669790702.750206,67273.000,8955,1,B%,1,100,35
1669790703.747381,68247.000,9126,1,B%,1,100,35
1669790704.750699,69227.000,9297,1,B%,1,100,35
1669790705.747874,70201.000,9450,1,B%,1,100,35
1669790706.749145,71179.000,9621,1,B%,1,100,35
1669790707.748368,72155.000,9796,1,B%,1,100,34
1669790708.741447,73125.000,9948,1,B%,1,100,33
1669790709.739646,74100.000,10119,1,B%,1,100,33
1669790710.737845,75075.000,10291,1,B%,1,100,34
1669790711.737068,76051.000,10445,1,B%,1,100,34
1669790712.736290,77027.000,10604,1,B%,1,100,35
1669790713.733466,78001.000,10774,1,B%,1,100,35
1669790714.735760,78980.000,10926,1,B%,1,100,35
1669790715.730887,79952.000,11099,1,B%,1,100,35
1669790716.731134,80929.000,11269,1,B%,1,100,35
1669790717.731380,81906.000,11421,1,B%,1,100,36
1669790718.731627,82883.000,11580,1,B%,1,100,35
1669790719.729825,83858.000,11751,1,B%,1,100,35
1669790720.725977,84831.000,11921,1,B%,1,100,35
1669790721.722128,85804.000,12077,1,B%,1,100,35
1669790722.719303,86778.000,12230,1,B%,1,100,35
1669790723.717502,87753.000,12389,1,B%,1,100,35
1669790724.714677,88727.000,12558,1,B%,1,100,35
1669790725.712876,89702.000,12710,1,B%,1,100,35
1669790726.711075,90677.000,12881,1,B%,1,100,35
1669790727.705179,91648.000,13053,1,B%,1,100,35
1669790728.702354,92622.000,13212,1,B%,1,100,35
1669790729.701576,93598.000,13365,1,B%,1,100,35
1669790730.702847,94576.000,13536,1,B%,1,100,35
1669790731.700022,95550.000,13706,1,B%,1,100,34
1669790732.692078,96519.000,13858,1,B%,1,100,35
1669790733.693348,97497.000,14017,1,B%,1,100,36
1669790734.692571,98473.000,14188,1,B%,1,100,35
1669790735.688722,99446.000,14338,1,B%,1,100,35
1669790736.687945,100422.000,14509,1,B%,1,100,34
1669790737.685120,101396.000,14677,1,B%,1,100,32
1669790738.685367,102373.000,14830,1,B%,1,100,31
1669790739.681518,103346.000,14986,1,B%,1,100,30
1669790740.682788,104324.000,15159,1,B%,1,100,31
1669790741.682011,105300.000,15329,1,B%,1,100,30
1669790742.679186,106274.000,15482,1,B%,1,100,30
1669790743.683528,107255.000,15653,1,B%,1,100,30
1669790744.683774,108232.000,15827,1,B%,1,100,31
1669790745.684021,109209.000,15982,1,B%,1,100,30
1669790746.680172,110182.000,16152,1,B%,1,100,30
1669790747.677347,111156.000,16305,1,B%,1,100,31
