LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1669790657.202647,22784,1526,1,BI,1,100,760
1669790657.929540,23494,1646,1,BI,1,100,720
1669790658.777241,24322,1765,1,BI,1,100,840
1669790659.590134,25116,1901,1,BI,1,100,800
1669790660.430668,25937,2042,1,BI,1,100,840
1669790661.283489,26770,2180,1,BI,1,100,840
1669790662.042120,27511,2316,1,BI,1,100,760
1669790662.852964,28303,2452,1,BI,1,100,800
1669790663.813283,29241,2603,1,BI,1,100,960
1669790664.622080,30031,2740,1,BI,1,100,800
1669790665.512781,30901,2882,1,BI,1,100,880
1669790666.510979,31876,3036,1,BI,1,100,1000
1669790667.282920,32630,3173,1,BI,1,100,760
1669790668.161335,33488,3310,1,BI,1,100,880
1669790669.138034,34442,3463,1,BI,1,100,960
1669790669.852642,35140,3581,1,BI,1,100,720
1669790670.669630,35938,3702,1,BI,1,100,800
1669790671.678066,36923,3877,1,BI,1,100,1000
1669790673.129806,38341,4100,1,BI,1,100,1440
1669790674.779138,39952,4353,1,BI,1,100,1640
1669790675.502960,40659,4458,1,BI,1,100,720
1669790676.394684,41530,4617,1,BI,1,100,880
1669790677.152292,42270,4736,1,BI,1,100,760
1669790677.960065,43059,4873,1,BI,1,100,800
1669790678.840528,43919,5027,1,BI,1,100,880
1669790679.650348,44710,5145,1,BI,1,100,800
1669790680.506240,45546,5299,1,BI,1,100,840
1669790681.464511,46482,5456,1,BI,1,100,960
1669790682.197547,47198,5577,1,BI,1,100,720
1669790683.076986,48057,5713,1,BI,1,100,880
1669790683.889878,48851,5851,1,BI,1,100,800
1669790684.722223,49664,5985,1,BI,1,100,840
1669790685.579138,50501,6138,1,BI,1,100,840
1669790686.432982,51335,6259,1,BI,1,100,840
1669790687.358491,52239,6417,1,BI,1,100,920
1669790688.250216,53110,6571,1,BI,1,100,880
1669790689.084608,53925,6707,1,BI,1,100,840
1669790690.180067,54995,6877,1,BI,1,100,1080
1669790690.782058,55583,6978,1,BI,1,100,600
1669790691.710639,56490,7138,1,BI,1,100,920
1669790692.607482,57366,7275,1,BI,1,100,880
1669790693.523777,58261,7427,1,BI,1,100,920
1669790694.496381,59211,7581,1,BI,1,100,960
1669790695.251941,59949,7718,1,BI,1,100,760
1669790696.102714,60780,7854,1,BI,1,100,840
1669790697.030271,61686,7997,1,BI,1,100,920
1669790697.831901,62469,8131,1,BI,1,100,800
1669790698.681650,63299,8269,1,BI,1,100,840
1669790699.606136,64202,8421,1,BI,1,100,920
1669790700.416981,64994,8558,1,BI,1,100,800
1669790701.251372,65809,8695,1,BI,1,100,840
1669790702.143097,66680,8853,1,BI,1,100,880
1669790702.996941,67514,8990,1,BI,1,100,840
1669790703.795500,68294,9128,1,BI,1,100,800
1669790704.611463,69091,9245,1,BI,1,100,800
1669790705.331190,69794,9365,1,BI,1,100,720
1669790706.660075,71092,9585,1,BI,1,100,1320
1669790707.754510,72161,9776,1,BI,1,100,1080
1669790708.508022,72897,9897,1,BI,1,100,760
1669790709.199083,73572,10017,1,BI,1,100,680
1669790710.037570,74391,10153,1,BI,1,100,840
1669790710.809511,75145,10271,1,BI,1,100,760
1669790711.607046,75924,10408,1,BI,1,100,800
1669790712.423010,76721,10544,1,BI,1,100,800
1669790713.218497,77498,10671,1,BI,1,100,800
1669790714.075413,78335,10808,1,BI,1,100,840
1669790714.888305,79129,10945,1,BI,1,100,800
1669790715.764673,79985,11079,1,BI,1,100,880
1669790716.617493,80818,11216,1,BI,1,100,840
1669790717.457003,81638,11370,1,BI,1,100,840
1669790718.309824,82471,11495,1,BI,1,100,840
1669790719.154454,83296,11631,1,BI,1,100,840
1669790720.001131,84123,11785,1,BI,1,100,840
1669790720.892855,84994,11923,1,BI,1,100,880
1669790721.687319,85770,12057,1,BI,1,100,800
1669790722.619995,86681,12195,1,BI,1,100,920
1669790723.497386,87538,12336,1,BI,1,100,880
1669790724.271374,88294,12456,1,BI,1,100,760
1669790725.237836,89238,12625,1,BI,1,100,960
1669790726.034347,90016,12762,1,BI,1,100,800
1669790726.888191,90850,12899,1,BI,1,100,840
1669790727.724631,91667,13033,1,BI,1,100,840
1669790728.656283,92577,13177,1,BI,1,100,920
1669790729.453819,93356,13314,1,BI,1,100,800
1669790730.385471,94266,13466,1,BI,1,100,920
1669790731.159459,95022,13588,1,BI,1,100,760
1669790732.115682,95956,13757,1,BI,1,100,960
1669790733.008430,96828,13894,1,BI,1,100,880
1669790733.884798,97684,14034,1,BI,1,100,880
1669790734.659810,98441,14152,1,BI,1,100,760
1669790736.067526,99816,14390,1,BI,1,100,1400
1669790738.197017,101896,14745,1,BI,1,100,2120
1669790739.009909,102690,14868,1,BI,1,100,800
1669790739.804373,103466,15005,1,BI,1,100,800
1669790740.580409,104224,15124,1,BI,1,100,760
1669790741.422991,105047,15260,1,BI,1,100,840
1669790742.273764,105878,15397,1,BI,1,100,840
1669790743.088703,106674,15533,1,BI,1,100,800
1669790743.930262,107496,15671,1,BI,1,100,840
1669790744.781034,108327,15828,1,BI,1,100,840
1669790745.582665,109110,15947,1,BI,1,100,800
1669790746.434461,109942,16083,1,BI,1,100,840
1669790747.230973,110720,16220,1,BI,1,100,800
1669790748.123721,111592,16373,1,BI,1,100,880
1669790749.057421,112504,16526,1,BI,1,100,920
1669790749.973716,113399,16666,1,BI,1,100,920
1669790750.869536,114274,16804,1,BI,1,100,880
1669790751.785831,115169,16958,1,BI,1,100,920
1669790752.679603,116042,17108,1,BI,1,100,880
1669790753.573375,116915,17245,1,BI,1,100,880
1669790754.444624,117766,17399,1,BI,1,100,880
1669790755.343514,118644,17537,1,BI,1,100,880
1669790756.277215,119556,17691,1,BI,1,100,920
1669790757.154606,120413,17844,1,BI,1,100,880
1669790758.089329,121326,17981,1,BI,1,100,920
1669790759.003577,122219,18135,1,BI,1,100,920
1669790759.896325,123091,18278,1,BI,1,100,880
1669790760.752217,123927,18414,1,BI,1,100,840
1669790761.623465,124778,18565,1,BI,1,100,880
1669790762.440453,125576,18702,1,BI,1,100,800
1669790763.240036,126357,18823,1,BI,1,100,800
1669790764.047809,127146,18959,1,BI,1,100,800
1669790764.768560,127850,19079,1,BI,1,100,720
1669790765.739116,128798,19220,1,BI,1,100,960
1669790766.455772,129498,19341,1,BI,1,100,720
1669790767.227712,130252,19477,1,BI,1,100,760
1669790768.235125,131236,19647,1,BI,1,100,1000
1669790770.569375,133516,20004,1,BI,1,100,2320
1669790772.712175,135609,20360,1,BI,1,100,2120
1669790773.466711,136346,20495,1,BI,1,100,760
1669790774.118868,136983,20599,1,BI,1,100,640
1669790774.799691,137648,20702,1,BI,1,100,680
1669790776.368143,139180,20975,1,BI,1,100,1560
1669790777.140083,139934,21095,1,BI,1,100,760
1669790777.897691,140674,21215,1,BI,1,100,760
1669790779.308478,142052,21451,1,BI,1,100,1400
1669790780.838026,143546,21696,1,BI,1,100,1520
1669790781.650918,144340,21814,1,BI,1,100,800
1669790782.529333,145198,21968,1,BI,1,100,880
1669790783.263394,145915,22087,1,BI,1,100,720
1669790784.915797,147529,22359,1,BI,1,100,1640
1669790785.724594,148319,22496,1,BI,1,100,800
1669790787.128215,149690,22720,1,BI,1,100,1400
1669790788.835903,151358,22992,1,BI,1,100,1680
1669790789.552558,152058,23110,1,BI,1,100,720
1669790790.364427,152851,23246,1,BI,1,100,800
1669790791.123058,153592,23389,1,BI,1,100,760
1669790791.738358,154193,23476,1,BI,1,100,600
1669790792.533846,154970,23610,1,BI,1,100,800
1669790793.465498,155880,23764,1,BI,1,100,920
1669790794.148369,156547,23867,1,BI,1,100,680
1669790795.722963,158085,24120,1,BI,1,100,1560
1669790796.339287,158687,24222,1,BI,1,100,600
1669790797.055943,159387,24329,1,BI,1,100,720
1669790798.626442,160921,24601,1,BI,1,100,1560
1669790799.358455,161636,24720,1,BI,1,100,720
1669790800.891074,163133,24958,1,BI,1,100,1520
1669790801.610801,163836,25076,1,BI,1,100,720
1669790802.422670,164629,25219,1,BI,1,100,800
1669790803.224300,165412,25340,1,BI,1,100,800
1669790803.995217,166165,25476,1,BI,1,100,760
1669790804.751800,166904,25596,1,BI,1,100,760
1669790805.568788,167702,25731,1,BI,1,100,800
1669790806.340728,168456,25868,1,BI,1,100,760
1669790807.062503,169161,25977,1,BI,1,100,720
1669790807.874371,169954,26113,1,BI,1,100,800
1669790808.594098,170657,26232,1,BI,1,100,720
1669790809.368086,171413,26352,1,BI,1,100,760
1669790810.128765,172156,26473,1,BI,1,100,760
1669790810.941657,172950,26609,1,BI,1,100,800
1669790811.693122,173684,26746,1,BI,1,100,760
1669790812.502943,174475,26868,1,BI,1,100,800
1669790813.425381,175376,27021,1,BI,1,100,920
1669790815.649061,177548,27357,1,BI,1,100,2200
1669790816.405644,178287,27470,1,BI,1,100,760
1669790819.483168,181293,27965,1,BI,1,100,3040
1669790831.536292,193066,29842,1,BI,1,100,11960
1669790833.550094,195033,30134,1,BI,1,100,2000
1669790834.401891,195865,30281,1,BI,1,100,840
1669790835.082714,196530,30379,1,BI,1,100,680
1669790835.774798,197206,30493,1,BI,1,100,680
1669790836.451526,197867,30607,1,BI,1,100,680
1669790837.145658,198545,30707,1,BI,1,100,680
1669790837.980050,199360,30839,1,BI,1,100,840
1669790838.872798,200232,30969,1,BI,1,100,880
1669790839.752237,201091,31117,1,BI,1,100,880
1669790840.763745,202079,31268,1,BI,1,100,1000
1669790841.657517,202952,31400,1,BI,1,100,880
1669790842.577908,203851,31550,1,BI,1,100,920
1669790843.432775,204686,31701,1,BI,1,100,840
1669790844.327571,205560,31834,1,BI,1,100,880
1669790845.078012,206293,31965,1,BI,1,100,760
1669790845.892952,207089,32080,1,BI,1,100,800
1669790846.775462,207951,32213,1,BI,1,100,880
1669790847.543307,208701,32343,1,BI,1,100,760
1669790848.386913,209525,32476,1,BI,1,100,840
1669790849.279661,210397,32609,1,BI,1,100,880
1669790850.131458,211229,32760,1,BI,1,100,840
1669790850.970969,212049,32875,1,BI,1,100,840
1669790851.861669,212919,33023,1,BI,1,100,880
1669790852.699132,213737,33154,1,BI,1,100,840
1669790853.598023,214615,33282,1,BI,1,100,880
1669790854.369964,215369,33413,1,BI,1,100,760
1669790855.172618,216153,33545,1,BI,1,100,800
1669790855.865726,216830,33646,1,BI,1,100,680
1669790856.584430,217532,33741,1,BI,1,100,720
1669790857.436226,218364,33889,1,BI,1,100,840
1669790858.192810,219103,34005,1,BI,1,100,760
1669790859.084534,219974,34153,1,BI,1,100,880
1669790860.001853,220870,34300,1,BI,1,100,920
1669790860.937601,221784,34432,1,BI,1,100,920
1669790861.792469,222619,34564,1,BI,1,100,840
1669790862.633003,223440,34696,1,BI,1,100,840
1669790863.444871,224233,34827,1,BI,1,100,800
1669790864.200431,224971,34942,1,BI,1,100,760
1669790865.055299,225806,35089,1,BI,1,100,840
1669790867.029173,227734,35380,1,BI,1,100,1960
