LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1669790660.313956,25823.000,2021,2,AK,1,100,1215
1669790660.313956,25823.000,2021,2,AK,1,100,RD
1669790660.332384,25841.000,2024,2,AK,1,100,2022
1669790660.350812,25859.000,2024,2,AK,1,100,RD
1669790662.954832,28402.500,2878,2,AK,1,100,2022
1669790665.558851,30946.000,2878,2,AK,1,100,RD
1669790665.571649,30958.500,2881,2,AK,1,100,2879
1669790665.584446,30971.000,2881,2,AK,1,100,RD
1669790668.183347,33509.500,3721,2,AK,1,100,2879
1669790670.782247,36048.000,3721,2,AK,1,100,RD
1669790670.801187,36066.500,3724,2,AK,1,100,3722
1669790670.820127,36085.000,3724,2,AK,1,100,RD
1669790673.419028,38623.500,4545,2,AK,1,100,3722
1669790676.017928,41162.000,4545,2,AK,1,100,RD
1669790676.029702,41173.500,4548,2,AK,1,100,4546
1669790676.041475,41185.000,4548,2,AK,1,100,RD
1669790678.654197,43737.000,5419,2,AK,1,100,4546
1669790681.266919,46289.000,5419,2,AK,1,100,RD
1669790681.278692,46300.500,5422,2,AK,1,100,5420
1669790681.290466,46312.000,5422,2,AK,1,100,RD
1669790683.905747,48866.500,6278,2,AK,1,100,5420
1669790686.521028,51421.000,6278,2,AK,1,100,RD
1669790686.533825,51433.500,6281,2,AK,1,100,6279
1669790686.546623,51446.000,6281,2,AK,1,100,RD
1669790689.152690,53991.500,7133,2,AK,1,100,6279
1669790691.758757,56537.000,7133,2,AK,1,100,RD
1669790691.784352,56562.000,7136,2,AK,1,100,7134
1669790691.809947,56587.000,7136,2,AK,1,100,RD
1669790694.398609,59115.500,7993,2,AK,1,100,7134
1669790696.987272,61644.000,7993,2,AK,1,100,RD
1669790697.009283,61665.500,7996,2,AK,1,100,7994
1669790697.031295,61687.000,7996,2,AK,1,100,RD
1669790699.623029,64218.500,8849,2,AK,1,100,7994
1669790702.214762,66750.000,8849,2,AK,1,100,RD
1669790702.228584,66763.500,8852,2,AK,1,100,8850
1669790702.242405,66777.000,8852,2,AK,1,100,RD
1669790704.855126,69329.000,9722,2,AK,1,100,8850
1669790707.467848,71881.000,9722,2,AK,1,100,RD
1669790707.485764,71898.500,9725,2,AK,1,100,9723
1669790707.503681,71916.000,9725,2,AK,1,100,RD
1669790710.107700,74459.500,10581,2,AK,1,100,9723
1669790712.711720,77003.000,10581,2,AK,1,100,RD
1669790712.749088,77039.500,10584,2,AK,1,100,10582
1669790712.786456,77076.000,10584,2,AK,1,100,RD
1669790715.363857,79593.500,11440,2,AK,1,100,10582
1669790717.941258,82111.000,11440,2,AK,1,100,RD
1669790717.980674,82149.500,11443,2,AK,1,100,11441
1669790718.020090,82188.000,11443,2,AK,1,100,RD
1669790720.591860,84700.000,12281,2,AK,1,100,11441
1669790723.163630,87212.000,12281,2,AK,1,100,RD
1669790723.199975,87247.500,12284,2,AK,1,100,12282
1669790723.236319,87283.000,12284,2,AK,1,100,RD
1669790725.818839,89805.500,13138,2,AK,1,100,12282
1669790728.401359,92328.000,13138,2,AK,1,100,RD
1669790728.437703,92363.500,13141,2,AK,1,100,13139
1669790728.474048,92399.000,13141,2,AK,1,100,RD
1669790731.051449,94916.500,13995,2,AK,1,100,13139
1669790733.628849,97434.000,13995,2,AK,1,100,RD
1669790736.244642,99989.000,14849,2,AK,1,100,13996
1669790738.860435,102544.000,14849,2,AK,1,100,RD
1669790741.484931,105107.500,15706,2,AK,1,100,14850
1669790744.109426,107671.000,15706,2,AK,1,100,RD
1669790744.126830,107688.000,15709,2,AK,1,100,15707
1669790744.144235,107705.000,15709,2,AK,1,100,RD
1669790746.736480,110237.000,16562,2,AK,1,100,15707
1669790749.328726,112769.000,16562,2,AK,1,100,RD
1669790754.562872,117881.500,18257,2,AK,1,100,17417
1669790759.797017,122994.000,18257,2,AK,1,100,RD
1669790759.818517,123015.000,18260,2,AK,1,100,18258
1669790759.840017,123036.000,18260,2,AK,1,100,RD
1669790762.436869,125572.500,19115,2,AK,1,100,18258
1669790765.033722,128109.000,19115,2,AK,1,100,RD
1669790765.076722,128151.000,19118,2,AK,1,100,19116
1669790765.119721,128193.000,19118,2,AK,1,100,RD
