LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1671981902.604753,240113.000,36567,2,EA,1,100,0.079778
1671981902.604753,240113.000,36567,2,EA,1,100,0.079837
1671981902.671280,240178.000,36583,1,EA,1,100,0.079821
1671981902.738831,240244.000,36599,2,EA,1,100,0.079835
1671981902.806382,240310.000,36599,2,EA,1,100,0.079854
1671981902.873933,240376.000,36619,1,EA,1,100,0.079857
1671981902.940460,240441.000,36633,2,EA,1,100,0.079860
1671981903.006988,240506.000,36633,2,EA,1,100,0.079862
1671981903.072492,240570.000,36649,1,EA,1,100,0.079860
1671981903.139019,240635.000,36667,2,EA,1,100,0.079852
1671981903.205546,240700.000,36667,2,EA,1,100,0.079867
1671981903.271562,240764.500,36683,2,EA,1,100,0.079885
1671981903.337578,240829.000,36683,2,EA,1,100,0.079889
1671981903.404105,240894.000,36698,1,EA,1,100,0.079900
1671981903.470633,240959.000,36714,2,EA,1,100,0.079937
1671981903.537160,241024.000,36714,2,EA,1,100,0.079995
1671981903.603687,241089.000,36729,1,EA,1,100,0.080029
1671981903.670982,241154.750,36751,4,EA,1,100,0.080042
1671981903.738277,241220.500,36751,4,EA,1,100,0.080075
1671981903.805573,241286.250,36751,4,EA,1,100,0.080116
1671981903.872867,241352.000,36751,4,EA,1,100,0.080157
1671981903.939395,241417.000,36769,1,EA,1,100,0.080170
1671981904.005922,241482.000,36785,2,EA,1,100,0.080177
1671981904.072450,241547.000,36785,2,EA,1,100,0.080221
1671981904.138465,241611.500,36802,2,EA,1,100,0.080275
1671981904.204481,241676.000,36802,2,EA,1,100,0.080324
1671981904.269985,241740.000,36817,1,EA,1,100,0.080354
1671981904.337024,241805.500,36833,2,EA,1,100,0.080406
1671981904.404063,241871.000,36833,2,EA,1,100,0.080412
1671981904.472637,241938.000,36851,1,EA,1,100,0.080420
1671981904.539677,242003.500,36868,2,EA,1,100,0.080439
1671981904.606716,242069.000,36868,2,EA,1,100,0.080468
1671981904.673243,242134.000,36883,1,EA,1,100,0.080497
1671981904.738747,242198.000,36900,2,EA,1,100,0.080523
1671981904.804251,242262.000,36900,2,EA,1,100,0.080531
1671981904.871802,242328.000,36917,1,EA,1,100,0.080546
1671981904.938841,242393.500,36932,2,EA,1,100,0.080543
1671981905.005880,242459.000,36932,2,EA,1,100,0.080555
