RD,TS_received,TS_sent,AK,RoundTrip,
241253,241275,2022-12-25_17-25-03-842031,241277,22,
246388,251501,2022-12-25_17-25-09-179357,251510,5113,
251522,251543,2022-12-25_17-25-14-352864,251546,21,
256610,256640,2022-12-25_17-25-19-561832,256643,30,
261739,261830,2022-12-25_17-25-24-873315,261832,91,
266856,266929,2022-12-25_17-25-30-088822,266932,73,
271982,277104,2022-12-25_17-25-35-329959,277112,5122,
277125,282253,2022-12-25_17-25-40-656637,282262,5128,
282274,287393,2022-12-25_17-25-45-878475,287409,5119,
287430,287475,2022-12-25_17-25-51-104840,287480,45,
292497,297624,2022-12-25_17-25-56-325149,297640,5127,
297664,297777,2022-12-25_17-26-01-647952,302732,113,
302753,307840,2022-12-25_17-26-06-867286,307856,5087,
307870,312993,2022-12-25_17-26-12-093997,313002,5123,
313014,313102,2022-12-25_17-26-17-315006,313105,88,
318134,318155,2022-12-25_17-26-22-483070,318158,21,
323240,323260,2022-12-25_17-26-27-707064,323263,20,
328365,328385,2022-12-25_17-26-32-950579,328388,20,
333498,333520,2022-12-25_17-26-38-205193,333523,22,
338626,338646,2022-12-25_17-26-43-457858,338650,20,
343734,343813,2022-12-25_17-26-48-728675,343815,79,
348865,353966,2022-12-25_17-26-54-080097,353981,5101,
354002,354108,2022-12-25_17-26-59-300194,359074,106,
359092,364213,2022-12-25_17-27-04-624502,364221,5121,
364238,364320,2022-12-25_17-27-09-746752,364325,82,
369373,369430,2022-12-25_17-27-14-972841,369435,57,
374509,374529,2022-12-25_17-27-20-196995,374532,20,
379667,384805,2022-12-25_17-27-25-617157,384817,5138,
384830,384854,2022-12-25_17-27-30-751600,384857,24,
389911,389935,2022-12-25_17-27-35-960083,389938,24,
395021,395041,2022-12-25_17-27-41-187438,395044,20,
400132,400154,2022-12-25_17-27-46-425996,400157,22,
405267,405287,2022-12-25_17-27-51-678792,405290,20,
410384,410435,2022-12-25_17-27-56-954014,410438,51,
415505,0,,420606,-415505,
420618,420639,2022-12-25_17-28-07-397663,420642,21,
425741,430854,2022-12-25_17-28-12-725967,430869,5113,
430890,430951,2022-12-25_17-28-17-947252,430955,61,
435970,441089,2022-12-25_17-28-23-210380,441105,5119,
441126,441164,2022-12-25_17-28-28-404638,441167,38,
446205,451326,2022-12-25_17-28-33-714289,451332,5121,
451350,451456,2022-12-25_17-28-38-936976,456463,106,
456484,456552,2022-12-25_17-28-44-147985,456555,68,
461602,461668,2022-12-25_17-28-49-381314,461671,66,
466710,471827,2022-12-25_17-28-54-809193,471835,5117,
471847,471867,2022-12-25_17-28-59-827607,471870,20,
476947,482070,2022-12-25_17-29-05-151919,482079,5123,
482090,482150,2022-12-25_17-29-10-333468,482153,60,
487178,492288,2022-12-25_17-29-15-602536,492298,5110,
492316,497428,2022-12-25_17-29-20-923853,497436,5112,
497455,497498,2022-12-25_17-29-26-040919,497503,43,
502547,507675,2022-12-25_17-29-31-366832,507684,5128,
507701,507723,2022-12-25_17-29-36-509189,507725,22,
512785,517891,2022-12-25_17-29-41-811900,517900,5106,
517912,518004,2022-12-25_17-29-47-033623,518010,92,
523022,523103,2022-12-25_17-29-52-256569,523106,81,
528131,533268,2022-12-25_17-29-57-581332,533284,5137,
533304,533324,2022-12-25_17-30-02-715201,533328,20,
538394,538414,2022-12-25_17-30-07-925571,538417,20,
543539,543560,2022-12-25_17-30-13-190473,543563,21,
548686,548720,2022-12-25_17-30-18-471378,548723,34,
553793,558915,2022-12-25_17-30-23-795682,558923,5122,
558942,559029,2022-12-25_17-30-29-018506,559038,87,
564044,564064,2022-12-25_17-30-34-174134,564067,20,
569154,574272,2022-12-25_17-30-39-565662,574287,5118,
574307,0,,579378,-574307,
579400,584523,2022-12-25_17-30-49-958591,584533,5123,
584545,589663,2022-12-25_17-30-55-234228,589679,5118,
589700,589743,2022-12-25_17-31-00-455827,589746,43,
594777,599895,2022-12-25_17-31-05-780631,599911,5118,
599929,605006,2022-12-25_17-31-11-002963,605021,5077,
605036,605056,2022-12-25_17-31-16-126020,605059,20,
610120,610162,2022-12-25_17-31-21-349440,610165,42,
615228,620353,2022-12-25_17-31-26-670652,620362,5125,
620374,620461,2022-12-25_17-31-31-893434,620464,87,
625472,625539,2022-12-25_17-31-37-080436,625542,67,
630587,630606,2022-12-25_17-31-42-264230,630609,19,
635695,635716,2022-12-25_17-31-47-491537,635719,21,
640803,640879,2022-12-25_17-31-52-783001,640882,76,
645918,651023,2022-12-25_17-31-58-041595,651038,5105,
651060,651095,2022-12-25_17-32-03-228650,651098,35,
656162,661279,2022-12-25_17-32-08-552407,661287,5117,
661303,666424,2022-12-25_17-32-13-877078,666440,5121,
666462,671532,2022-12-25_17-32-19-104580,671547,5070,
671568,671601,2022-12-25_17-32-24-220491,671604,33,
676645,681761,2022-12-25_17-32-29-549957,681775,5116,
681787,686872,2022-12-25_17-32-34-772134,686885,5085,
686905,687006,2022-12-25_17-32-39-990299,687011,101,
691978,692007,2022-12-25_17-32-45-112796,692009,29,
