LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1671981903.767447,241249.000,36742,1,TL,1,100,2022-12-25_17-24-58-774548
1671981903.794058,241275.000,36745,1,TL,1,100,2022-12-25_17-25-03-842031
1671981909.022088,246383.000,37565,1,TL,1,100,2022-12-25_17-25-03-988382
1671981914.260353,251501.000,38388,1,TL,1,100,2022-12-25_17-25-09-179357
1671981914.278776,251519.000,38390,1,TL,1,100,2022-12-25_17-25-09-322911
1671981914.303340,251543.000,38393,1,TL,1,100,2022-12-25_17-25-14-352864
1671981919.486336,256607.000,39193,1,TL,1,100,2022-12-25_17-25-14-644934
1671981919.520112,256640.000,39196,1,TL,1,100,2022-12-25_17-25-19-561832
1671981924.734836,261735.000,40018,1,TL,1,100,2022-12-25_17-25-19-762886
1671981924.832068,261830.000,40021,1,TL,1,100,2022-12-25_17-25-24-873315
1671981929.970031,266850.000,40849,1,TL,1,100,2022-12-25_17-25-24-953836
1671981930.050887,266929.000,40852,1,TL,1,100,2022-12-25_17-25-30-088822
1671981935.218531,271978.000,41683,1,TL,1,100,2022-12-25_17-25-30-207411
1671981940.464984,277104.000,42515,1,TL,1,100,2022-12-25_17-25-35-329959
1671981940.483407,277122.000,42517,1,TL,1,100,2022-12-25_17-25-35-437643
1671981945.734977,282253.000,43341,1,TL,1,100,2022-12-25_17-25-40-656637
1671981945.753400,282271.000,43343,1,TL,1,100,2022-12-25_17-25-40-692829
1671981950.995759,287393.000,44172,1,TL,1,100,2022-12-25_17-25-45-878475
1671981951.028511,287425.000,44174,1,TL,1,100,2022-12-25_17-25-46-014235
1671981951.079686,287475.000,44177,1,TL,1,100,2022-12-25_17-25-51-104840
1671981956.216625,292494.000,44994,1,TL,1,100,2022-12-25_17-25-51-224559
1671981961.467172,297624.000,45826,1,TL,1,100,2022-12-25_17-25-56-325149
1671981961.498900,297655.000,45828,1,TL,1,100,2022-12-25_17-25-56-528030
1671981961.623767,297777.000,45831,1,TL,1,100,2022-12-25_17-26-01-647952
1671981966.711578,302748.000,46636,1,TL,1,100,2022-12-25_17-26-01-749741
1671981971.923232,307840.000,47449,1,TL,1,100,2022-12-25_17-26-06-867286
1671981971.949843,307866.000,47451,1,TL,1,100,2022-12-25_17-26-07-078755
1671981977.197319,312993.000,48278,1,TL,1,100,2022-12-25_17-26-12-093997
1671981977.214719,313010.000,48280,1,TL,1,100,2022-12-25_17-26-12-301011
1671981977.308881,313102.000,48283,1,TL,1,100,2022-12-25_17-26-17-315006
1671981982.456054,318131.000,49113,1,TL,1,100,2022-12-25_17-26-17-519804
1671981982.480618,318155.000,49116,1,TL,1,100,2022-12-25_17-26-22-483070
1671981987.682037,323237.000,49951,1,TL,1,100,2022-12-25_17-26-22-743209
1671981987.705578,323260.000,49954,1,TL,1,100,2022-12-25_17-26-27-707064
1671981992.926443,328361.000,50758,1,TL,1,100,2022-12-25_17-26-27-925752
1671981992.951007,328385.000,50761,1,TL,1,100,2022-12-25_17-26-32-950579
1671981998.181084,333495.000,51553,1,TL,1,100,2022-12-25_17-26-33-188330
1671981998.206672,333520.000,51556,1,TL,1,100,2022-12-25_17-26-38-205193
1671982003.429585,338623.000,52350,1,TL,1,100,2022-12-25_17-26-38-408693
1671982003.453125,338646.000,52353,1,TL,1,100,2022-12-25_17-26-43-457858
1671982008.657614,343731.000,53154,1,TL,1,100,2022-12-25_17-26-43-708573
1671982008.741541,343813.000,53157,1,TL,1,100,2022-12-25_17-26-48-728675
1671982013.907138,348860.000,53964,1,TL,1,100,2022-12-25_17-26-48-957413
1671982019.133121,353966.000,54754,1,TL,1,100,2022-12-25_17-26-54-080097
1671982019.163826,353996.000,54756,1,TL,1,100,2022-12-25_17-26-54-105510
1671982019.278458,354108.000,54759,1,TL,1,100,2022-12-25_17-26-59-300194
1671982024.374456,359087.000,55548,1,TL,1,100,2022-12-25_17-26-59-504980
1671982029.620909,364213.000,56349,1,TL,1,100,2022-12-25_17-27-04-624502
1671982029.640356,364232.000,56351,1,TL,1,100,2022-12-25_17-27-04-624861
1671982029.730424,364320.000,56354,1,TL,1,100,2022-12-25_17-27-09-746752
1671982034.896020,369367.000,57160,1,TL,1,100,2022-12-25_17-27-09-949859
1671982034.960501,369430.000,57163,1,TL,1,100,2022-12-25_17-27-14-972841
1671982040.149638,374500.000,57973,1,TL,1,100,2022-12-25_17-27-15-091529
1671982040.179319,374529.000,57976,1,TL,1,100,2022-12-25_17-27-20-196995
1671982045.431913,379661.000,58792,1,TL,1,100,2022-12-25_17-27-20-394431
1671982050.696790,384805.000,59619,1,TL,1,100,2022-12-25_17-27-25-617157
1671982050.718283,384826.000,59621,1,TL,1,100,2022-12-25_17-27-25-622611
1671982050.746941,384854.000,59624,1,TL,1,100,2022-12-25_17-27-30-751600
1671982055.919702,389908.000,60437,1,TL,1,100,2022-12-25_17-27-31-044634
1671982055.947336,389935.000,60440,1,TL,1,100,2022-12-25_17-27-35-960083
1671982061.148756,395017.000,61254,1,TL,1,100,2022-12-25_17-27-36-267031
1671982061.173320,395041.000,61257,1,TL,1,100,2022-12-25_17-27-41-187438
1671982066.380880,400129.000,62064,1,TL,1,100,2022-12-25_17-27-41-387786
1671982066.406467,400154.000,62067,1,TL,1,100,2022-12-25_17-27-46-425996
1671982071.636544,405264.000,62881,1,TL,1,100,2022-12-25_17-27-46-712600
1671982071.660084,405287.000,62884,1,TL,1,100,2022-12-25_17-27-51-678792
1671982076.870715,410378.000,63660,1,TL,1,100,2022-12-25_17-27-51-934325
1671982076.929054,410435.000,63663,1,TL,1,100,2022-12-25_17-27-56-954014
1671982082.112051,415499.000,64493,1,TL,1,100,2022-12-25_17-27-57-156958
1671982087.348269,420615.000,65319,1,TL,1,100,2022-12-25_17-28-02-378982
1671982087.372833,420639.000,65322,1,TL,1,100,2022-12-25_17-28-07-397663
1671982092.591651,425738.000,614,1,TL,1,100,2022-12-25_17-28-07-603346
