LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1671983216.282403,1523630.000,42262,1,SF,1,100,1.6687
1671983216.679520,1524018.000,42328,1,SF,1,100,3.7316
1671983216.944606,1524277.000,42375,1,SF,1,100,3.6885
1671983217.276220,1524601.000,42422,1,SF,1,100,3.6458
1671983217.608857,1524926.000,42468,1,SF,1,100,3.6036
1671983217.938423,1525248.000,42520,1,SF,1,100,3.5619
1671983218.339635,1525640.000,42582,1,SF,1,100,3.5207
1671983218.604721,1525899.000,42628,1,SF,1,100,3.4800
1671983218.941452,1526228.000,42680,1,SF,1,100,3.4398
1671983219.273065,1526552.000,42728,1,SF,1,100,5.4822
1671983219.604679,1526876.000,42765,1,SF,1,100,7.5010
1671983220.003843,1527266.000,42829,1,SF,1,100,7.4143
1671983220.268929,1527525.000,42876,1,SF,1,100,7.3285
1671983220.605660,1527854.000,42923,1,SF,1,100,7.2437
1671983220.936250,1528177.000,42971,1,SF,1,100,7.1599
1671983221.337462,1528569.000,43033,1,SF,1,100,7.0771
1671983221.671122,1528895.000,43085,1,SF,1,100,6.9952
1671983221.936208,1529154.000,43131,1,SF,1,100,6.9143
1671983222.267822,1529478.000,43180,1,SF,1,100,6.8343
1671983222.600459,1529803.000,43227,1,SF,1,100,6.7553
1671983222.999623,1530193.000,43293,1,SF,1,100,6.6771
1671983223.335331,1530521.000,43340,1,SF,1,100,6.5999
1671983223.601440,1530781.000,43389,1,SF,1,100,6.5235
1671983223.932030,1531104.000,43438,1,SF,1,100,6.4481
1671983224.264667,1531429.000,43484,1,SF,1,100,6.3735
1671983224.594234,1531751.000,43534,1,SF,1,100,6.2997
1671983224.926871,1532076.000,43588,1,SF,1,100,6.2269
1671983225.259508,1532401.000,43637,1,SF,1,100,6.1548
1671983225.592145,1532726.000,43683,1,SF,1,100,6.0836
1671983225.991309,1533116.000,43749,1,SF,1,100,6.0133
1671983226.257419,1533376.000,43797,1,SF,1,100,5.9437
1671983226.590056,1533701.000,43845,1,SF,1,100,5.8749
1671983226.921669,1534025.000,43894,1,SF,1,100,5.8070
1671983227.318787,1534413.000,43959,1,SF,1,100,5.7398
1671983227.653471,1534740.000,44007,1,SF,1,100,5.6734
1671983227.919580,1535000.000,44056,1,SF,1,100,5.6078
1671983228.252217,1535325.000,44103,1,SF,1,100,5.5429
1671983228.586901,1535652.000,44152,1,SF,1,100,5.4788
1671983228.988112,1536044.000,44216,1,SF,1,100,5.4154
1671983229.255246,1536305.000,44264,1,SF,1,100,5.3528
1671983229.588906,1536631.000,44312,1,SF,1,100,5.2908
1671983229.921543,1536956.000,44360,1,SF,1,100,5.2296
1671983230.255204,1537282.000,44413,1,SF,1,100,5.1691
1671983230.589888,1537609.000,44459,1,SF,1,100,5.1093
1671983230.923548,1537935.000,44508,1,SF,1,100,5.0502
1671983231.320666,1538323.000,44573,1,SF,1,100,4.9918
1671983231.652279,1538647.000,44621,1,SF,1,100,4.9341
1671983231.917365,1538906.000,44668,1,SF,1,100,4.8770
1671983232.252049,1539233.000,44715,1,SF,1,100,4.8206
1671983232.583663,1539557.000,44762,1,SF,1,100,4.7648
1671983232.981803,1539946.000,44828,1,SF,1,100,4.7097
1671983233.315464,1540272.000,44874,1,SF,1,100,4.6552
1671983233.581573,1540532.000,44922,1,SF,1,100,4.6014
1671983233.913187,1540856.000,44972,1,SF,1,100,4.5481
1671983234.244801,1541180.000,45019,1,SF,1,100,4.4955
1671983234.640894,1541567.000,45083,1,SF,1,100,4.4435
1671983234.976602,1541895.000,45132,1,SF,1,100,4.3921
1671983235.374743,1542284.000,45184,1,SF,1,100,4.3413
1671983235.576372,1542481.000,45216,1,SF,1,100,4.2911
1671983235.910033,1542807.000,45266,1,SF,1,100,4.2414
1671983236.309197,1543197.000,45328,1,SF,1,100,4.1924
