LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1673995940.822345,1226278.000,60197,1,EL,1,100,-15814.200195
1673995940.887860,1226342.000,60213,2,EL,1,100,-15810.400391
1673995940.953376,1226406.000,60213,2,EL,1,100,-15810.000000
1673995941.021450,1226472.500,60228,2,EL,1,100,-15810.000000
1673995941.089525,1226539.000,60228,2,EL,1,100,-15811.000000
1673995941.156064,1226604.000,60244,1,EL,1,100,-15813.000000
1673995941.222604,1226669.000,60260,2,EL,1,100,-15811.200195
1673995941.289143,1226734.000,60260,2,EL,1,100,-15812.000000
1673995941.355682,1226799.000,60276,2,EL,1,100,-15813.000000
1673995941.422221,1226864.000,60276,2,EL,1,100,-15812.599609
1673995941.487736,1226928.000,60291,1,EL,1,100,-15812.400391
1673995941.553764,1226992.500,60307,2,EL,1,100,-15813.599609
1673995941.619791,1227057.000,60307,2,EL,1,100,-15812.000000
1673995941.688378,1227124.000,60324,1,EL,1,100,-15812.000000
1673995941.755429,1227189.500,60342,2,EL,1,100,-15813.000000
1673995941.822480,1227255.000,60342,2,EL,1,100,-15811.599609
1673995941.889019,1227320.000,60357,1,EL,1,100,-15809.400391
1673995941.955558,1227385.000,60374,2,EL,1,100,-15809.599609
1673995942.022097,1227450.000,60374,2,EL,1,100,-15809.599609
1673995942.088637,1227515.000,60388,1,EL,1,100,-15810.000000
1673995942.155858,1227580.667,60405,3,EL,1,100,-15809.200195
1673995942.223080,1227646.333,60405,3,EL,1,100,-15808.400391
1673995942.290302,1227712.000,60405,3,EL,1,100,-15807.599609
1673995942.355817,1227776.000,60420,1,EL,1,100,-15811.599609
1673995942.421844,1227840.500,60436,2,EL,1,100,-15813.200195
1673995942.487872,1227905.000,60436,2,EL,1,100,-15810.799805
1673995942.554411,1227970.000,60452,2,EL,1,100,-15810.000000
1673995942.620950,1228035.000,60452,2,EL,1,100,-15809.599609
1673995942.688513,1228101.000,60470,1,EL,1,100,-15809.400391
1673995942.756076,1228167.000,60486,2,EL,1,100,-15809.799805
1673995942.823639,1228233.000,60486,2,EL,1,100,-15811.200195
1673995942.890178,1228298.000,60502,1,EL,1,100,-15812.599609
1673995942.956205,1228362.500,60518,2,EL,1,100,-15812.200195
