LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-21
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-23
1673995940.875576,1226330.000,60205,17,MY,1,100,-21
1673995940.875576,1226330.000,60205,17,MY,1,100,-21
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-23
1673995940.875576,1226330.000,60205,17,MY,1,100,-21
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.875576,1226330.000,60205,17,MY,1,100,-22
1673995940.915158,1226368.667,60222,3,MY,1,100,-23
1673995940.954741,1226407.333,60222,3,MY,1,100,-23
1673995940.994323,1226446.000,60222,3,MY,1,100,-22
1673995941.035270,1226486.000,60237,2,MY,1,100,-22
1673995941.076217,1226526.000,60237,2,MY,1,100,-22
1673995941.116141,1226565.000,60253,3,MY,1,100,-22
1673995941.156064,1226604.000,60253,3,MY,1,100,-23
1673995941.195988,1226643.000,60253,3,MY,1,100,-23
1673995941.235911,1226682.000,60269,3,MY,1,100,-23
1673995941.275835,1226721.000,60269,3,MY,1,100,-23
1673995941.315758,1226760.000,60269,3,MY,1,100,-22
1673995941.355682,1226799.000,60285,2,MY,1,100,-23
1673995941.395605,1226838.000,60285,2,MY,1,100,-22
1673995941.435529,1226877.000,60299,3,MY,1,100,-22
1673995941.475452,1226916.000,60299,3,MY,1,100,-22
1673995941.515376,1226955.000,60299,3,MY,1,100,-22
1673995941.554276,1226993.000,60316,2,MY,1,100,-21
1673995941.593176,1227031.000,60316,2,MY,1,100,-23
1673995941.634123,1227071.000,60333,3,MY,1,100,-23
1673995941.675070,1227111.000,60333,3,MY,1,100,-22
1673995941.716017,1227151.000,60333,3,MY,1,100,-23
1673995941.751505,1227185.667,60351,3,MY,1,100,-23
1673995941.786992,1227220.333,60351,3,MY,1,100,-21
1673995941.822480,1227255.000,60351,3,MY,1,100,-22
