RD,TS_received,TS_sent,AK,RoundTrip,
282768,287884,2022-11-30_09-08-20-766225,287892,5116,
287905,287948,2022-11-30_09-08-25-793446,287951,43,
293005,298133,2022-11-30_09-08-31-066468,298141,5128,
298154,298257,2022-11-30_09-08-36-345160,298260,103,
303237,308344,2022-11-30_09-08-41-565641,308346,5107,
308347,313467,2022-11-30_09-08-46-789107,313481,5120,
313502,313570,2022-11-30_09-08-52-012831,313573,68,
318577,318599,2022-11-30_09-08-57-151458,318608,22,
323693,328822,2022-11-30_09-09-02-459774,328838,5129,
328859,328905,2022-11-30_09-09-07-691526,328911,46,
333935,339044,2022-11-30_09-09-12-959402,339060,5109,
339077,339101,2022-11-30_09-09-18-127283,339104,24,
344158,344202,2022-11-30_09-09-23-351299,344204,44,
349286,349306,2022-11-30_09-09-28-576045,349309,20,
354410,359531,2022-11-30_09-09-33-899178,359539,5121,
359559,359610,2022-11-30_09-09-39-122805,359613,51,
364691,0,,369801,-364691,
369813,369833,2022-11-30_09-09-49-575125,369835,20,
374963,380077,2022-11-30_09-09-54-997917,380085,5114,
380104,380129,2022-11-30_09-10-00-112296,380132,25,
385196,385237,2022-11-30_09-10-05-335915,385241,41,
390327,390373,2022-11-30_09-10-10-593456,390389,46,
395464,395485,2022-11-30_09-10-15-823604,395488,21,
400591,405729,2022-11-30_09-10-21-360148,405740,5138,
405752,405773,2022-11-30_09-10-26-345477,405776,21,
410847,410868,2022-11-30_09-10-31-561058,410871,21,
415967,415987,2022-11-30_09-10-36-790332,415990,20,
421099,421174,2022-11-30_09-10-42-104965,421177,75,
426246,426329,2022-11-30_09-10-47-367616,426332,83,
431374,431394,2022-11-30_09-10-52-556281,431397,20,
436483,436522,2022-11-30_09-10-57-797090,436525,39,
441648,441732,2022-11-30_09-11-03-129373,441735,84,
446755,446809,2022-11-30_09-11-08-322657,446814,54,
451853,451873,2022-11-30_09-11-13-502404,451876,20,
456988,457030,2022-11-30_09-11-18-774639,457036,42,
462096,462145,2022-11-30_09-11-23-996982,462150,49,
467205,467254,2022-11-30_09-11-29-239356,467257,49,
472313,472339,2022-11-30_09-11-34-439516,472342,26,
477443,477465,2022-11-30_09-11-39-686386,477467,22,
482682,482737,2022-11-30_09-11-45-082018,482740,55,
487831,487851,2022-11-30_09-11-50-313866,487854,20,
492937,492962,2022-11-30_09-11-55-539551,492967,25,
498067,498088,2022-11-30_09-12-00-787069,498091,21,
503183,503203,2022-11-30_09-12-06-012690,503206,20,
508323,508375,2022-11-30_09-12-11-302280,508377,52,
513420,513443,2022-11-30_09-12-16-491109,513447,23,
518553,518579,2022-11-30_09-12-21-758125,518582,26,
523661,523686,2022-11-30_09-12-26-980123,523691,25,
528808,528886,2022-11-30_09-12-32-307309,528889,78,
533914,533972,2022-11-30_09-12-37-518235,533975,58,
539027,539084,2022-11-30_09-12-42-754097,539087,57,
544135,544204,2022-11-30_09-12-47-984360,544208,69,
549242,549282,2022-11-30_09-12-53-187545,549285,40,
554370,554400,2022-11-30_09-12-58-419047,554403,30,
559477,559543,2022-11-30_09-13-03-669745,559546,66,
564582,564612,2022-11-30_09-13-08-868423,564617,30,
569689,569711,2022-11-30_09-13-14-100238,569714,22,
574845,574904,2022-11-30_09-13-19-415596,574908,59,
579953,579999,2022-11-30_09-13-24-636668,580004,46,
585061,590159,2022-11-30_09-13-29-987683,590162,5098,
590162,590183,2022-11-30_09-13-35-061569,590186,21,
595296,595317,2022-11-30_09-13-40-307532,595320,21,
600459,600509,2022-11-30_09-13-45-624702,600512,50,
605559,605661,2022-11-30_09-13-50-888801,605664,102,
610695,610726,2022-11-30_09-13-56-079225,610731,31,
615800,615830,2022-11-30_09-14-01-311612,615833,30,
620911,620941,2022-11-30_09-14-06-532531,620946,30,
626012,626035,2022-11-30_09-14-11-756072,626037,23,
631140,631161,2022-11-30_09-14-17-000446,631164,21,
636255,636274,2022-11-30_09-14-22-234989,636277,19,
641400,641429,2022-11-30_09-14-27-515787,641432,29,
646538,646560,2022-11-30_09-14-32-774144,646563,22,
651656,651678,2022-11-30_09-14-38-007850,651681,22,
656782,656848,2022-11-30_09-14-43-292161,656853,66,
661890,661943,2022-11-30_09-14-48-510506,661946,53,
667009,667030,2022-11-30_09-14-53-722563,667033,21,
672159,672181,2022-11-30_09-14-58-999566,672183,22,
677271,677291,2022-11-30_09-15-04-233483,677293,20,
682379,682399,2022-11-30_09-15-09-456982,682402,20,
687511,687530,2022-11-30_09-15-14-710123,687533,19,
692641,692660,2022-11-30_09-15-19-958304,692663,19,
697749,697769,2022-11-30_09-15-25-196986,697771,20,
702875,702896,2022-11-30_09-15-30-436838,702899,21,
707996,713109,2022-11-30_09-15-35-770918,713118,5113,
713134,713170,2022-11-30_09-15-40-942961,713176,36,
718228,718262,2022-11-30_09-15-46-169422,718267,34,
723381,723401,2022-11-30_09-15-51-439080,723404,20,
728492,728511,2022-11-30_09-15-56-669625,728514,19,
733609,733665,2022-11-30_09-16-01-942081,733667,56,
738726,738751,2022-11-30_09-16-07-137923,738753,25,
743851,743871,2022-11-30_09-16-12-392003,743874,20,
748974,748996,2022-11-30_09-16-17-633998,748999,22,
754117,754170,2022-11-30_09-16-22-936480,754176,53,
759245,759285,2022-11-30_09-16-28-162330,759290,40,
764351,769465,2022-11-30_09-16-33-483965,769474,5114,
769489,769575,2022-11-30_09-16-38-697045,769578,86,
774574,774683,2022-11-30_09-16-43-926999,779702,109,
779723,779810,2022-11-30_09-16-49-169773,779812,87,
784845,784884,2022-11-30_09-16-54-367906,784887,39,
789971,790007,2022-11-30_09-16-59-605717,790012,36,
795095,795116,2022-11-30_09-17-04-852185,795118,21,
800203,800289,2022-11-30_09-17-10-147604,800292,86,
805311,805333,2022-11-30_09-17-15-306559,805336,22,
810445,810499,2022-11-30_09-17-20-593074,810503,54,
815568,815609,2022-11-30_09-17-25-822100,815615,41,
820708,820727,2022-11-30_09-17-31-057079,820731,19,
825839,825945,2022-11-30_09-17-36-383232,830968,106,
830991,831034,2022-11-30_09-17-41-598737,831036,43,
836071,836095,2022-11-30_09-17-46-791596,836098,24,
841206,841226,2022-11-30_09-17-52-038666,841229,20,
846326,846347,2022-11-30_09-17-57-276550,846349,21,
851443,851522,2022-11-30_09-18-02-577932,851526,79,
856544,856567,2022-11-30_09-18-07-748440,856570,23,
861653,861735,2022-11-30_09-18-13-028889,861739,82,
866773,866795,2022-11-30_09-18-18-214177,866798,22,
871914,871942,2022-11-30_09-18-23-481310,871944,28,
877027,877135,2022-11-30_09-18-28-805384,882172,108,
882193,882234,2022-11-30_09-18-34-018773,882237,41,
887278,887311,2022-11-30_09-18-39-212099,887314,33,
892385,892443,2022-11-30_09-18-44-466863,892447,58,
897502,897534,2022-11-30_09-18-49-679520,897537,32,
902610,902662,2022-11-30_09-18-54-912740,902665,52,
907715,907754,2022-11-30_09-19-00-138837,907758,39,
912852,912872,2022-11-30_09-19-05-382307,912875,20,
917996,918016,2022-11-30_09-19-10-648632,918019,20,
923113,923143,2022-11-30_09-19-15-896173,923146,30,
928216,928263,2022-11-30_09-19-21-130376,928265,47,
933329,933381,2022-11-30_09-19-26-356320,933384,52,
938427,938449,2022-11-30_09-19-31-565252,938452,22,
943542,943566,2022-11-30_09-19-36-804335,943569,24,
948651,948674,2022-11-30_09-19-42-029460,948677,23,
953757,953782,2022-11-30_09-19-47-253296,953787,25,
958862,958884,2022-11-30_09-19-52-480730,958887,22,
964004,964085,2022-11-30_09-19-57-804730,964090,81,
969113,969188,2022-11-30_09-20-03-026837,969192,75,
