LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1689086676.248254,216860.500,32406,4,EM,1,100,RB
1689086676.299676,216910.750,32406,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086676.351099,216961.000,32406,4,EM,1,100,PS
1689086676.402522,217011.250,32436,4,EM,1,100,RS
1689086676.453945,217061.500,32436,4,EM,1,100,RB
1689086676.505368,217111.750,32436,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086676.556791,217162.000,32436,4,EM,1,100,PS
1689086676.608214,217212.250,32472,4,EM,1,100,RS
1689086676.659636,217262.500,32472,4,EM,1,100,RB
1689086676.711059,217312.750,32472,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086676.762482,217363.000,32472,4,EM,1,100,PS
1689086676.813905,217413.250,32504,4,EM,1,100,RS
1689086676.865328,217463.500,32504,4,EM,1,100,RB
1689086676.916751,217513.750,32504,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086676.968174,217564.000,32504,4,EM,1,100,PS
1689086677.019597,217614.250,32534,4,EM,1,100,RS
1689086677.071019,217664.500,32534,4,EM,1,100,RB
1689086677.122442,217714.750,32534,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086677.173865,217765.000,32534,4,EM,1,100,PS
1689086677.225288,217815.250,32568,4,EM,1,100,RS
1689086677.276711,217865.500,32568,4,EM,1,100,RB
1689086677.328134,217915.750,32568,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086677.379557,217966.000,32568,4,EM,1,100,PS
1689086677.430979,218016.250,32598,4,EM,1,100,RS
1689086677.482403,218066.500,32598,4,EM,1,100,RB
1689086677.533825,218116.750,32598,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086677.585248,218167.000,32598,4,EM,1,100,PS
1689086677.636671,218217.250,32632,4,EM,1,100,RS
1689086677.688094,218267.500,32632,4,EM,1,100,RB
1689086677.739517,218317.750,32632,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086677.790940,218368.000,32632,4,EM,1,100,PS
1689086677.842363,218418.250,32663,4,EM,1,100,RS
1689086677.893785,218468.500,32663,4,EM,1,100,RB
1689086677.945208,218518.750,32663,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086677.996631,218569.000,32663,4,EM,1,100,PS
1689086678.087708,218658.000,32697,4,EM,1,100,RS
1689086678.178786,218747.000,32697,4,EM,1,100,RB
1689086678.269863,218836.000,32697,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086678.360940,218925.000,32697,4,EM,1,100,PS
1689086678.412364,218975.250,32731,4,EM,1,100,RS
1689086678.463786,219025.500,32731,4,EM,1,100,RB
1689086678.515209,219075.750,32731,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086678.566632,219126.000,32731,4,EM,1,100,PS
1689086678.618055,219176.250,32764,4,EM,1,100,RS
1689086678.669478,219226.500,32764,4,EM,1,100,RB
1689086678.720901,219276.750,32764,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086678.772324,219327.000,32764,4,EM,1,100,PS
1689086678.823746,219377.250,32796,4,EM,1,100,RS
1689086678.875169,219427.500,32796,4,EM,1,100,RB
1689086678.926592,219477.750,32796,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086678.978015,219528.000,32796,4,EM,1,100,PS
1689086679.029438,219578.250,32826,4,EM,1,100,RS
1689086679.080861,219628.500,32826,4,EM,1,100,RB
1689086679.132284,219678.750,32826,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086679.183707,219729.000,32826,4,EM,1,100,PS
1689086679.235129,219779.250,32858,4,EM,1,100,RS
1689086679.286552,219829.500,32858,4,EM,1,100,RB
1689086679.337975,219879.750,32858,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086679.389398,219930.000,32858,4,EM,1,100,PS
1689086679.440821,219980.250,32890,4,EM,1,100,RS
1689086679.492244,220030.500,32890,4,EM,1,100,RB
1689086679.543667,220080.750,32890,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086679.595090,220131.000,32890,4,EM,1,100,PS
1689086679.646513,220181.250,32922,4,EM,1,100,RS
1689086679.697935,220231.500,32922,4,EM,1,100,RB
1689086679.749358,220281.750,32922,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086679.800781,220332.000,32922,4,EM,1,100,PS
1689086679.852204,220382.250,32954,4,EM,1,100,RS
1689086679.903627,220432.500,32954,4,EM,1,100,RB
1689086679.955050,220482.750,32954,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086680.006473,220533.000,32954,4,EM,1,100,PS
1689086680.057895,220583.250,32984,4,EM,1,100,RS
1689086680.109318,220633.500,32984,4,EM,1,100,RB
1689086680.160741,220683.750,32984,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086680.212164,220734.000,32984,4,EM,1,100,PS
1689086680.263587,220784.250,33016,4,EM,1,100,RS
1689086680.315010,220834.500,33016,4,EM,1,100,RB
1689086680.366433,220884.750,33016,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086680.417856,220935.000,33016,4,EM,1,100,PS
1689086680.495118,221010.500,33049,4,EM,1,100,RS
1689086680.572380,221086.000,33049,4,EM,1,100,RB
1689086680.649642,221161.500,33049,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086680.726905,221237.000,33049,4,EM,1,100,PS
1689086680.778327,221287.250,33080,4,EM,1,100,RS
1689086680.829750,221337.500,33080,4,EM,1,100,RB
1689086680.881173,221387.750,33080,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086680.932596,221438.000,33080,4,EM,1,100,PS
1689086680.984019,221488.250,33112,4,EM,1,100,RS
1689086681.035442,221538.500,33112,4,EM,1,100,RB
1689086681.086865,221588.750,33112,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086681.138288,221639.000,33112,4,EM,1,100,PS
1689086681.189710,221689.250,33143,4,EM,1,100,RS
1689086681.241133,221739.500,33143,4,EM,1,100,RB
1689086681.292556,221789.750,33143,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086681.343979,221840.000,33143,4,EM,1,100,PS
1689086681.395402,221890.250,33174,4,EM,1,100,RS
1689086681.446825,221940.500,33174,4,EM,1,100,RB
1689086681.498248,221990.750,33174,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086681.549670,222041.000,33174,4,EM,1,100,PS
1689086681.601349,222091.500,33207,4,EM,1,100,RS
1689086681.653028,222142.000,33207,4,EM,1,100,RB
1689086681.704707,222192.500,33207,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086681.756385,222243.000,33207,4,EM,1,100,PS
1689086681.807808,222293.250,33238,4,EM,1,100,RS
1689086681.859231,222343.500,33238,4,EM,1,100,RB
1689086681.910654,222393.750,33238,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086681.962077,222444.000,33238,4,EM,1,100,PS
1689086682.013500,222494.250,33272,4,EM,1,100,RS
1689086682.064923,222544.500,33272,4,EM,1,100,RB
1689086682.116345,222594.750,33272,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086682.167768,222645.000,33272,4,EM,1,100,PS
1689086682.219191,222695.250,33303,4,EM,1,100,RS
1689086682.270614,222745.500,33303,4,EM,1,100,RB
1689086682.322037,222795.750,33303,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086682.373460,222846.000,33303,4,EM,1,100,PS
1689086682.424883,222896.250,33334,4,EM,1,100,RS
1689086682.476306,222946.500,33334,4,EM,1,100,RB
1689086682.527729,222996.750,33334,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086682.579151,223047.000,33334,4,EM,1,100,PS
1689086682.630574,223097.250,33367,4,EM,1,100,RS
1689086682.681997,223147.500,33367,4,EM,1,100,RB
1689086682.733420,223197.750,33367,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086682.784843,223248.000,33367,4,EM,1,100,PS
1689086682.848546,223310.250,33399,4,EM,1,100,RS
1689086682.912249,223372.500,33399,4,EM,1,100,RB
1689086682.975952,223434.750,33399,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086683.039655,223497.000,33399,4,EM,1,100,PS
1689086683.091078,223547.250,33432,4,EM,1,100,RS
1689086683.142500,223597.500,33432,4,EM,1,100,RB
1689086683.193923,223647.750,33432,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086683.245346,223698.000,33432,4,EM,1,100,PS
1689086683.296769,223748.250,33463,4,EM,1,100,RS
1689086683.348192,223798.500,33463,4,EM,1,100,RB
1689086683.399615,223848.750,33463,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086683.451038,223899.000,33463,4,EM,1,100,PS
1689086683.517555,223964.000,33500,4,EM,1,100,RS
1689086683.584072,224029.000,33500,4,EM,1,100,RB
1689086683.650589,224094.000,33500,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086683.717106,224159.000,33500,4,EM,1,100,PS
1689086683.771343,224212.000,33531,4,EM,1,100,RS
1689086683.825581,224265.000,33531,4,EM,1,100,RB
1689086683.879817,224318.000,33531,4,EM,1,100,2023-07-11_16-44-31-368816.csv
1689086683.934055,224371.000,33531,4,EM,1,100,PS
