RD,TS_received,TS_sent,AK,RoundTrip,
213633,
218873,218921,2023-07-11_16-44-38-349683,218925,48,
223992,229104,2023-07-11_16-44-43-668717,229115,5112,
229136,234209,2023-07-11_16-44-48-919872,234218,5073,
234230,234255,2023-07-11_16-44-54-035008,234258,25,
239320,239344,2023-07-11_16-44-59-246670,239347,24,
244437,244459,2023-07-11_16-45-04-479925,244462,22,
249571,249596,2023-07-11_16-45-09-745866,249599,25,
254698,254746,2023-07-11_16-45-15-012601,254749,48,
259806,259855,2023-07-11_16-45-20-234481,259859,49,
264915,264941,2023-07-11_16-45-25-455021,264945,26,
270024,270050,2023-07-11_16-45-30-671543,270052,26,
275126,280273,2023-07-11_16-45-36-025472,280281,5147,
280294,280316,2023-07-11_16-45-41-185150,280319,22,
285419,285464,2023-07-11_16-45-46-441421,285468,45,
290512,290570,2023-07-11_16-45-51-671052,290576,58,
295651,295675,2023-07-11_16-45-56-897845,295678,24,
300787,300849,2023-07-11_16-46-02-195395,300851,62,
305908,305969,2023-07-11_16-46-07-438967,305972,61,
311037,311067,2023-07-11_16-46-12-661404,311070,30,
316168,316191,2023-07-11_16-46-17-902971,316194,23,
321297,321320,2023-07-11_16-46-23-156787,321323,23,
326444,326468,2023-07-11_16-46-28-429260,326471,24,
331554,331578,2023-07-11_16-46-33-652535,331581,24,
336662,336769,2023-07-11_16-46-38-967570,341767,107,
341779,341802,2023-07-11_16-46-44-123300,341805,23,
346878,346902,2023-07-11_16-46-49-336406,346904,24,
351995,357098,2023-07-11_16-46-54-707121,357108,5103,
357129,357207,2023-07-11_16-46-59-866212,357210,78,
362211,362234,2023-07-11_16-47-05-025898,362237,23,
367393,367418,2023-07-11_16-47-10-333200,367421,25,
372524,372547,2023-07-11_16-47-15-576458,372550,23,
377645,377709,2023-07-11_16-47-20-860061,377712,64,
382788,382810,2023-07-11_16-47-26-084999,382813,22,
387921,387945,2023-07-11_16-47-31-333144,387949,24,
393046,393066,2023-07-11_16-47-36-571543,393069,20,
