LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1700428353.873534,39366,2558,1,HR,1,100, 6
1700428354.962876,40431,2734,1,HR,1,100,12
1700428355.842531,41291,2863,1,HR,1,100,19
1700428356.569782,42002,2975,1,HR,1,100,26
1700428357.331809,42747,3094,1,HR,1,100,33
1700428358.105088,43503,3207,1,HR,1,100,38
1700428359.511514,44878,3415,1,HR,1,100,39
1700428360.680638,46021,3607,1,HR,1,100,40
1700428361.359814,46685,3704,1,HR,1,100,46
1700428362.171961,47479,3833,1,HR,1,100,49
1700428363.010702,48299,3950,1,HR,1,100,52
1700428364.497934,49753,4175,1,HR,1,100,51
1700428365.666035,50895,4349,1,HR,1,100,51
1700428367.229981,52424,4605,1,HR,1,100,49
1700428370.171714,55300,4997,1,HR,1,100,46
1700428373.104240,58167,5447,1,HR,1,100,43
1700428374.556695,59587,5669,1,HR,1,100,43
1700428376.736400,61718,6004,1,HR,1,100,41
1700428378.139758,63090,6215,1,HR,1,100,41
1700428379.395824,64318,6406,1,HR,1,100,42
1700428381.041599,65927,6662,1,HR,1,100,41
1700428383.130270,67969,6979,1,HR,1,100,40
1700428384.858896,69659,7234,1,HR,1,100,39
1700428388.607661,73324,7807,1,HR,1,100,37
1700428389.664271,74357,7967,1,HR,1,100,39
1700428391.594399,76244,8253,1,HR,1,100,38
1700428392.241867,76877,8367,1,HR,1,100,45
1700428394.493171,79078,8703,1,HR,1,100,43
1700428395.746169,80303,8894,1,HR,1,100,43
1700428399.086815,83569,9404,1,HR,1,100,40
1700428402.483718,86890,9927,1,HR,1,100,38
1700428406.588438,90903,10546,1,HR,1,100,35
1700428408.322178,92598,10801,1,HR,1,100,35
1700428412.139474,96330,11390,1,HR,1,100,33
1700428413.187901,97355,11549,1,HR,1,100,36
1700428415.567063,99681,11902,1,HR,1,100,34
1700428418.297064,102350,12316,1,HR,1,100,33
1700428423.363267,107303,13077,1,HR,1,100,30
1700428425.866195,109750,13461,1,HR,1,100,30
1700428436.250224,119902,15055,1,HR,1,100,27
1700428445.531615,128976,16451,1,HR,1,100,25
1700428485.761544,168307,22470,1,HR,1,100,22
1700428487.290713,169802,22708,1,HR,1,100,24
1700428508.834095,190864,25982,1,HR,1,100,21
1700428511.413736,193386,26378,1,HR,1,100,22
1700428536.065576,217487,30106,1,HR,1,100,19
1700428540.293038,221620,30743,1,HR,1,100,19
1700428561.488649,242342,33951,1,HR,1,100,17
1700428564.305593,245096,34381,1,HR,1,100,17
1700428567.124583,247852,34798,1,HR,1,100,18
1700428568.497255,249194,35005,1,HR,1,100,21
1700428570.305664,250962,35276,1,HR,1,100,22
1700428571.557639,252186,35468,1,HR,1,100,26
1700428576.070477,256598,36151,1,HR,1,100,24
1700428579.386575,259840,36630,1,HR,1,100,23
1700428582.798820,263176,37114,1,HR,1,100,23
1700428583.450380,263813,37210,1,HR,1,100,31
1700428584.695195,265030,37403,1,HR,1,100,33
1700428587.835361,268100,37883,1,HR,1,100,32
1700428589.277587,269510,38105,1,HR,1,100,33
1700428590.808802,271007,38345,1,HR,1,100,34
1700428592.654033,272811,38617,1,HR,1,100,33
1700428594.183202,274306,38855,1,HR,1,100,34
1700428595.677594,275767,39079,1,HR,1,100,35
1700428597.050266,277109,39301,1,HR,1,100,36
1700428597.744785,277788,39399,1,HR,1,100,42
1700428599.308731,279317,39638,1,HR,1,100,42
1700428601.279773,281244,39940,1,HR,1,100,40
1700428602.530726,282467,40133,1,HR,1,100,41
1700428604.221506,284120,40373,1,HR,1,100,41
1700428605.958314,285818,40644,1,HR,1,100,40
1700428607.411792,287239,40867,1,HR,1,100,40
