LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1700429565.532799,1223951.000,2273,6,PG,1,100,12695
1700429322.812261,986654.000,2273,6,PG,1,100,12692
1700429080.091723,749357.000,2273,6,PG,1,100,12695
1700428837.371185,512060.000,2273,6,PG,1,100,12695
1700428594.650647,274763.000,2273,6,PG,1,100,12708
1700428351.930109,37466.000,2273,6,PG,1,100,12700
1700428351.974092,37509.000,2290,3,PG,1,100,12710
1700428352.018075,37552.000,2290,3,PG,1,100,12714
1700428352.062057,37595.000,2290,3,PG,1,100,12707
1700428352.102631,37634.667,2307,3,PG,1,100,12703
1700428352.143204,37674.333,2307,3,PG,1,100,12707
1700428352.183777,37714.000,2307,3,PG,1,100,12711
1700428352.223669,37753.000,2323,2,PG,1,100,12702
1700428352.263560,37792.000,2323,2,PG,1,100,12718
1700428352.303451,37831.000,2339,3,PG,1,100,12712
1700428352.343343,37870.000,2339,3,PG,1,100,12714
1700428352.383234,37909.000,2339,3,PG,1,100,12725
1700428352.423125,37948.000,2355,2,PG,1,100,12724
1700428352.463017,37987.000,2355,2,PG,1,100,12719
1700428352.502908,38026.000,2369,3,PG,1,100,12720
1700428352.542799,38065.000,2369,3,PG,1,100,12733
1700428352.582691,38104.000,2369,3,PG,1,100,12737
1700428352.622241,38142.667,2386,3,PG,1,100,12735
1700428352.661792,38181.333,2386,3,PG,1,100,12741
1700428352.701342,38220.000,2386,3,PG,1,100,12729
1700428352.742256,38260.000,2401,2,PG,1,100,12733
1700428352.783170,38300.000,2401,2,PG,1,100,12728
1700428352.823062,38339.000,2417,3,PG,1,100,12725
1700428352.862953,38378.000,2417,3,PG,1,100,12736
1700428352.902845,38417.000,2417,3,PG,1,100,12725
1700428352.942736,38456.000,2433,3,PG,1,100,12731
1700428352.982627,38495.000,2433,3,PG,1,100,12732
1700428353.022519,38534.000,2433,3,PG,1,100,12736
1700428353.062410,38573.000,2450,2,PG,1,100,12746
