LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1700428357.093483,42514.000,3055,2,AK,1,100,2270
1700428357.093483,42514.000,3055,2,AK,1,100,RD
1700428357.099621,42520.000,3057,2,AK,1,100,2270
1700428357.105758,42526.000,3057,2,AK,1,100,RD
1700428359.711482,45073.500,3850,2,AK,1,100,3058
1700428362.317206,47621.000,3850,2,AK,1,100,RD
1700428362.323344,47627.000,3852,2,AK,1,100,3058
1700428362.329481,47633.000,3852,2,AK,1,100,RD
1700428364.935716,50181.000,4639,2,AK,1,100,3853
1700428367.541952,52729.000,4639,2,AK,1,100,RD
1700428367.548601,52735.500,4641,2,AK,1,100,3853
1700428367.555249,52742.000,4641,2,AK,1,100,RD
1700428370.161485,55290.000,5393,2,AK,1,100,4642
1700428372.767721,57838.000,5393,2,AK,1,100,RD
1700428372.773347,57843.500,5395,2,AK,1,100,4642
1700428372.778972,57849.000,5395,2,AK,1,100,RD
1700428375.394925,60406.500,6196,2,AK,1,100,5396
1700428378.010878,62964.000,6196,2,AK,1,100,RD
1700428385.871523,70649.000,8588,2,AK,1,100,7788
1700428393.732167,78334.000,8588,2,AK,1,100,RD
1700428404.196490,88564.500,11770,2,AK,1,100,10975
1700428414.660813,98795.000,11770,2,AK,1,100,RD
1700428414.662859,98797.000,11771,2,AK,1,100,10975
1700428414.664905,98799.000,11771,2,AK,1,100,RD
1700428419.889139,103906.500,13347,2,AK,1,100,12551
1700428425.113373,109014.000,13347,2,AK,1,100,RD
1700428425.126670,109027.000,13350,2,AK,1,100,13348
1700428425.139967,109040.000,13350,2,AK,1,100,RD
1700428427.749783,111591.500,14159,2,AK,1,100,13348
1700428430.359599,114143.000,14159,2,AK,1,100,RD
1700428432.987315,116712.000,14952,2,AK,1,100,14160
1700428435.615031,119281.000,14952,2,AK,1,100,RD
1700428435.628839,119294.500,14956,2,AK,1,100,14954
1700428435.642648,119308.000,14956,2,AK,1,100,RD
1700428438.237632,121845.000,15750,2,AK,1,100,14954
1700428440.832616,124382.000,15750,2,AK,1,100,RD
1700428443.444989,126936.000,16533,2,AK,1,100,15751
1700428446.057362,129490.000,16533,2,AK,1,100,RD
