LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1700428353.873534,39366,2557,1,BI,1,100,9320
1700428354.962876,40431,2733,1,BI,1,100,1080
1700428355.842531,41291,2862,1,BI,1,100,880
1700428356.569782,42002,2974,1,BI,1,100,720
1700428357.331809,42747,3093,1,BI,1,100,760
1700428358.105088,43503,3206,1,BI,1,100,760
1700428359.511514,44878,3414,1,BI,1,100,1400
1700428360.680638,46021,3606,1,BI,1,100,1160
1700428361.359814,46685,3703,1,BI,1,100,680
1700428362.171961,47479,3832,1,BI,1,100,800
1700428363.010702,48299,3949,1,BI,1,100,840
1700428364.497934,49753,4174,1,BI,1,100,1480
1700428365.666035,50895,4348,1,BI,1,100,1160
1700428367.229981,52424,4604,1,BI,1,100,1560
1700428370.171714,55300,4996,1,BI,1,100,2920
1700428373.104240,58167,5446,1,BI,1,100,2920
1700428374.556695,59587,5668,1,BI,1,100,1440
1700428376.736400,61718,6003,1,BI,1,100,2160
1700428378.139758,63090,6214,1,BI,1,100,1400
1700428379.395824,64318,6405,1,BI,1,100,1240
1700428381.041599,65927,6661,1,BI,1,100,1640
1700428383.130270,67969,6978,1,BI,1,100,2080
1700428384.858896,69659,7233,1,BI,1,100,1720
1700428388.607661,73324,7806,1,BI,1,100,3720
1700428389.664271,74357,7966,1,BI,1,100,1040
1700428391.594399,76244,8252,1,BI,1,100,1920
1700428392.241867,76877,8366,1,BI,1,100,640
1700428394.493171,79078,8702,1,BI,1,100,2240
1700428395.746169,80303,8893,1,BI,1,100,1240
1700428399.086815,83569,9403,1,BI,1,100,3320
1700428402.483718,86890,9926,1,BI,1,100,3360
1700428406.588438,90903,10545,1,BI,1,100,4080
1700428408.322178,92598,10800,1,BI,1,100,1720
1700428412.139474,96330,11389,1,BI,1,100,3800
1700428413.187901,97355,11548,1,BI,1,100,1040
1700428415.567063,99681,11901,1,BI,1,100,2360
1700428418.297064,102350,12315,1,BI,1,100,2720
1700428423.363267,107303,13076,1,BI,1,100,5040
1700428425.866195,109750,13460,1,BI,1,100,2480
1700428436.250224,119902,15054,1,BI,1,100,10320
1700428445.531615,128976,16450,1,BI,1,100,9200
1700428485.761544,168307,22469,1,BI,1,100,39960
1700428487.290713,169802,22707,1,BI,1,100,1520
1700428508.834095,190864,25981,1,BI,1,100,21400
1700428511.413736,193386,26377,1,BI,1,100,2560
1700428536.065576,217487,30105,1,BI,1,100,24480
1700428540.293038,221620,30742,1,BI,1,100,4200
1700428561.488649,242342,33950,1,BI,1,100,21040
1700428564.305593,245096,34380,1,BI,1,100,2800
1700428567.124583,247852,34797,1,BI,1,100,2800
1700428568.497255,249194,35004,1,BI,1,100,1360
1700428570.305664,250962,35275,1,BI,1,100,1800
1700428571.557639,252186,35467,1,BI,1,100,1240
1700428576.070477,256598,36150,1,BI,1,100,4480
1700428579.386575,259840,36629,1,BI,1,100,3280
1700428582.798820,263176,37113,1,BI,1,100,3400
1700428583.450380,263813,37209,1,BI,1,100,640
1700428584.695195,265030,37402,1,BI,1,100,1240
1700428587.835361,268100,37882,1,BI,1,100,3120
1700428589.277587,269510,38104,1,BI,1,100,1440
1700428590.808802,271007,38344,1,BI,1,100,1520
1700428592.654033,272811,38616,1,BI,1,100,1840
1700428594.183202,274306,38854,1,BI,1,100,1520
1700428595.677594,275767,39078,1,BI,1,100,1480
1700428597.050266,277109,39300,1,BI,1,100,1360
1700428597.744785,277788,39398,1,BI,1,100,680
1700428599.308731,279317,39637,1,BI,1,100,1560
1700428601.279773,281244,39939,1,BI,1,100,1960
1700428602.530726,282467,40132,1,BI,1,100,1240
1700428604.221506,284120,40372,1,BI,1,100,1680
1700428605.958314,285818,40643,1,BI,1,100,1720
1700428607.411792,287239,40866,1,BI,1,100,1440
1700428608.612624,288413,41046,1,BI,1,100,1200
1700428608.984944,288777,41095,1,BI,1,100,360
1700428610.751415,290504,41365,1,BI,1,100,1760
1700428611.995208,291720,41572,1,BI,1,100,1240
1700428613.043634,292745,41733,1,BI,1,100,1040
1700428613.965227,293646,41864,1,BI,1,100,920
1700428614.813174,294475,41993,1,BI,1,100,840
1700428616.866045,296482,42311,1,BI,1,100,2040
1700428617.755930,297352,42455,1,BI,1,100,880
1700428621.414684,300929,42997,1,BI,1,100,3640
1700428622.700413,302186,43206,1,BI,1,100,1280
1700428625.249369,304678,43592,1,BI,1,100,2520
1700428626.378601,305782,43769,1,BI,1,100,1120
1700428627.508857,306887,43929,1,BI,1,100,1120
1700428628.998134,308343,44167,1,BI,1,100,1480
1700428631.976689,311255,44615,1,BI,1,100,2960
1700428633.183659,312435,44807,1,BI,1,100,1200
1700428634.139006,313369,44951,1,BI,1,100,960
1700428636.040494,315228,45226,1,BI,1,100,1880
1700428637.496018,316651,45449,1,BI,1,100,1440
1700428638.290776,317428,45576,1,BI,1,100,800
1700428639.263512,318379,45720,1,BI,1,100,960
1700428640.190219,319285,45866,1,BI,1,100,920
1700428641.064760,320140,45995,1,BI,1,100,880
1700428643.451082,322473,46377,1,BI,1,100,2360
1700428644.501555,323500,46537,1,BI,1,100,1040
1700428645.261536,324243,46636,1,BI,1,100,760
1700428646.914471,325859,46891,1,BI,1,100,1640
1700428648.118372,327036,47083,1,BI,1,100,1200
1700428649.902232,328780,47353,1,BI,1,100,1760
1700428651.668703,330507,47629,1,BI,1,100,1760
1700428652.914541,331725,47819,1,BI,1,100,1240
1700428654.564407,333338,48074,1,BI,1,100,1640
1700428655.929919,334673,48271,1,BI,1,100,1360
1700428658.709018,337390,48700,1,BI,1,100,2760
1700428660.756774,339392,49008,1,BI,1,100,2040
1700428662.244006,340846,49246,1,BI,1,100,1480
1700428664.468717,343021,49582,1,BI,1,100,2200
1700428665.188807,343725,49692,1,BI,1,100,720
1700428667.411472,345898,50029,1,BI,1,100,2200
1700428669.060315,347510,50282,1,BI,1,100,1640
1700428671.677802,350069,50656,1,BI,1,100,2600
1700428675.389745,353698,51227,1,BI,1,100,3680
1700428676.306223,354594,51354,1,BI,1,100,920
1700428677.554107,355814,51552,1,BI,1,100,1240
1700428679.281710,357503,51808,1,BI,1,100,1720
1700428683.689194,361812,52464,1,BI,1,100,4360
1700428685.020952,363114,52670,1,BI,1,100,1320
1700428686.587967,364646,52911,1,BI,1,100,1560
1700428688.520141,366535,53157,1,BI,1,100,1920
1700428690.209898,368187,53429,1,BI,1,100,1680
1700428692.018306,369955,53698,1,BI,1,100,1800
1700428695.122673,372990,54175,1,BI,1,100,3080
1700428697.018024,374843,54462,1,BI,1,100,1880
1700428698.747673,376534,54724,1,BI,1,100,1720
1700428700.607224,378352,55012,1,BI,1,100,1840
1700428704.192333,381857,55536,1,BI,1,100,3560
1700428706.772997,384380,55934,1,BI,1,100,2560
1700428707.325339,384920,56032,1,BI,1,100,560
1700428708.061795,385640,56132,1,BI,1,100,720
1700428708.861668,386422,56262,1,BI,1,100,800
1700428709.998060,387533,56422,1,BI,1,100,1120
1700428710.967727,388481,56581,1,BI,1,100,960
1700428713.380643,390840,56935,1,BI,1,100,2400
1700428715.346571,392762,57238,1,BI,1,100,1960
1700428716.637415,394024,57444,1,BI,1,100,1280
1700428718.330241,395679,57688,1,BI,1,100,1680
1700428721.623836,398899,58195,1,BI,1,100,3280
1700428723.641929,400872,58498,1,BI,1,100,2000
1700428724.975733,402176,58706,1,BI,1,100,1320
1700428726.146903,403321,58881,1,BI,1,100,1160
1700428728.234550,405362,59216,1,BI,1,100,2080
1700428729.883394,406974,59458,1,BI,1,100,1640
1700428732.458944,409492,59856,1,BI,1,100,2560
1700428733.228131,410244,59968,1,BI,1,100,760
1700428734.959825,411937,60225,1,BI,1,100,1720
1700428736.289537,413237,60434,1,BI,1,100,1320
1700428789.143549,464910,2896,1,BI,1,100,52480
1700428791.593288,467305,3247,1,BI,1,100,2440
1700428795.220333,470851,3804,1,BI,1,100,3600
1700428809.876830,485180,5956,1,BI,1,100,14560
1700428820.156527,495230,7515,1,BI,1,100,10200
1700428822.858912,497872,7927,1,BI,1,100,2680
1700428826.435837,501369,8470,1,BI,1,100,3560
1700428828.167531,503062,8742,1,BI,1,100,1720
1700428832.724353,507517,9425,1,BI,1,100,4520
1700428861.204741,535361,13743,1,BI,1,100,28280
1700428863.093955,537208,14030,1,BI,1,100,1880
1700428864.022708,538116,14173,1,BI,1,100,920
1700428867.200720,541223,14651,1,BI,1,100,3160
1700428868.826037,542812,14906,1,BI,1,100,1600
1700428870.098469,544056,15098,1,BI,1,100,1280
1700428872.323180,546231,15436,1,BI,1,100,2200
1700428875.909311,549737,15984,1,BI,1,100,3560
1700428878.354959,552128,16348,1,BI,1,100,2440
1700428880.098927,553833,16620,1,BI,1,100,1720
1700428882.149753,555838,16927,1,BI,1,100,2040
1700428884.328435,557968,17261,1,BI,1,100,2160
1700428886.337323,559932,17564,1,BI,1,100,2000
1700428889.032547,562567,17978,1,BI,1,100,2680
1700428890.286568,563793,18168,1,BI,1,100,1240
1700428894.951812,568354,18870,1,BI,1,100,4640
1700428895.683153,569069,18981,1,BI,1,100,720
1700428900.236906,573521,19667,1,BI,1,100,4520
1700428901.689361,574941,19880,1,BI,1,100,1440
1700428904.503236,577692,20311,1,BI,1,100,2800
1700428909.309634,582391,20996,1,BI,1,100,4760
1700428911.277608,584315,21299,1,BI,1,100,1960
1700428913.122839,586119,21587,1,BI,1,100,1840
1700428915.503024,588446,21950,1,BI,1,100,2360
1700428917.730803,590624,22288,1,BI,1,100,2200
