LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1669722215.896180,1055004.000,35613,16,GZ,1,100,-0.244
1669722215.896180,1055004.000,35613,16,GZ,1,100,0.122
1669722215.896180,1055004.000,35613,16,GZ,1,100,-0.031
1669722215.896180,1055004.000,35613,16,GZ,1,100,1.038
1669722215.896180,1055004.000,35613,16,GZ,1,100,0.916
1669722215.896180,1055004.000,35613,16,GZ,1,100,-0.397
1669722215.896180,1055004.000,35613,16,GZ,1,100,0.122
1669722215.896180,1055004.000,35613,16,GZ,1,100,1.587
1669722215.896180,1055004.000,35613,16,GZ,1,100,0.916
1669722215.896180,1055004.000,35613,16,GZ,1,100,0.031
1669722215.896180,1055004.000,35613,16,GZ,1,100,0.153
1669722215.896180,1055004.000,35613,16,GZ,1,100,0.122
1669722215.896180,1055004.000,35613,16,GZ,1,100,-0.305
1669722215.896180,1055004.000,35613,16,GZ,1,100,-0.092
1669722215.896180,1055004.000,35613,16,GZ,1,100,-0.153
1669722215.896180,1055004.000,35613,16,GZ,1,100,-0.641
1669722215.932350,1055039.333,35629,3,GZ,1,100,-0.488
1669722215.968521,1055074.667,35629,3,GZ,1,100,-0.061
1669722216.004691,1055110.000,35629,3,GZ,1,100,-0.092
1669722216.044615,1055149.000,35647,3,GZ,1,100,-0.305
1669722216.084539,1055188.000,35647,3,GZ,1,100,-0.305
1669722216.124464,1055227.000,35647,3,GZ,1,100,0.000
1669722216.164388,1055266.000,35662,2,GZ,1,100,0.122
1669722216.204312,1055305.000,35662,2,GZ,1,100,0.061
1669722216.243553,1055343.333,35678,3,GZ,1,100,0.092
1669722216.282795,1055381.667,35678,3,GZ,1,100,0.092
1669722216.322037,1055420.000,35678,3,GZ,1,100,-0.092
1669722216.361961,1055459.000,35697,2,GZ,1,100,0.214
1669722216.401885,1055498.000,35697,2,GZ,1,100,0.580
1669722216.441809,1055537.000,35713,3,GZ,1,100,0.183
1669722216.481733,1055576.000,35713,3,GZ,1,100,0.092
1669722216.521657,1055615.000,35713,3,GZ,1,100,0.488
1669722216.562605,1055655.000,35729,3,GZ,1,100,0.580
1669722216.603552,1055695.000,35729,3,GZ,1,100,0.153
1669722216.644500,1055735.000,35729,3,GZ,1,100,0.092
1669722216.684424,1055774.000,35749,2,GZ,1,100,0.153
1669722216.724348,1055813.000,35749,2,GZ,1,100,0.122
1669722216.764272,1055852.000,35771,6,GZ,1,100,0.092
1669722216.804196,1055891.000,35771,6,GZ,1,100,-0.031
1669722216.844121,1055930.000,35771,6,GZ,1,100,-0.061
1669722216.884045,1055969.000,35771,6,GZ,1,100,0.031
1669722216.923969,1056008.000,35771,6,GZ,1,100,0.153
1669722216.963893,1056047.000,35771,6,GZ,1,100,0.244
1669722217.003817,1056086.000,35786,2,GZ,1,100,0.092
1669722217.043741,1056125.000,35786,2,GZ,1,100,0.092
1669722217.083324,1056163.667,35802,3,GZ,1,100,0.061
1669722217.122906,1056202.333,35802,3,GZ,1,100,0.183
1669722217.162489,1056241.000,35802,3,GZ,1,100,0.000
1669722217.203437,1056281.000,35816,2,GZ,1,100,-0.214
1669722217.244385,1056321.000,35816,2,GZ,1,100,0.031
1669722217.284309,1056360.000,35835,3,GZ,1,100,0.031
1669722217.324233,1056399.000,35835,3,GZ,1,100,0.153
1669722217.364157,1056438.000,35835,3,GZ,1,100,0.214
1669722217.404081,1056477.000,35850,2,GZ,1,100,0.061
1669722217.444005,1056516.000,35850,2,GZ,1,100,-0.061
1669722217.479493,1056550.667,35866,3,GZ,1,100,-0.183
1669722217.514981,1056585.333,35866,3,GZ,1,100,-0.061
1669722217.550469,1056620.000,35866,3,GZ,1,100,0.122
1669722217.590394,1056659.000,35882,3,GZ,1,100,-0.183
