LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1669722215.896180,1055004.000,35605,4,PG,1,100,11656
1669722215.896180,1055004.000,35605,4,PG,1,100,11638
1669722215.896180,1055004.000,35605,4,PG,1,100,11602
1669722215.896180,1055004.000,35605,4,PG,1,100,11580
1669722215.936786,1055043.667,35620,3,PG,1,100,11572
1669722215.977393,1055083.333,35620,3,PG,1,100,11573
1669722216.017999,1055123.000,35620,3,PG,1,100,11569
1669722216.057923,1055162.000,35638,2,PG,1,100,11576
1669722216.097847,1055201.000,35638,2,PG,1,100,11567
1669722216.137772,1055240.000,35653,3,PG,1,100,11554
1669722216.177696,1055279.000,35653,3,PG,1,100,11553
1669722216.217620,1055318.000,35653,3,PG,1,100,11554
1669722216.256520,1055356.000,35670,3,PG,1,100,11569
1669722216.295420,1055394.000,35670,3,PG,1,100,11573
1669722216.334321,1055432.000,35670,3,PG,1,100,11583
1669722216.374245,1055471.000,35688,2,PG,1,100,11593
1669722216.414169,1055510.000,35688,2,PG,1,100,11601
1669722216.454434,1055549.333,35704,3,PG,1,100,11618
1669722216.494699,1055588.667,35704,3,PG,1,100,11624
1669722216.534965,1055628.000,35704,3,PG,1,100,11612
1669722216.582567,1055674.500,35720,2,PG,1,100,11577
1669722216.630168,1055721.000,35720,2,PG,1,100,11538
1669722216.670434,1055760.333,35740,3,PG,1,100,11529
1669722216.710699,1055799.667,35740,3,PG,1,100,11519
1669722216.750964,1055839.000,35740,3,PG,1,100,11519
1669722216.790888,1055878.000,35762,5,PG,1,100,11517
1669722216.830812,1055917.000,35762,5,PG,1,100,11519
1669722216.870737,1055956.000,35762,5,PG,1,100,11510
1669722216.910661,1055995.000,35762,5,PG,1,100,11497
1669722216.950585,1056034.000,35762,5,PG,1,100,11504
1669722216.990509,1056073.000,35777,2,PG,1,100,11507
1669722217.030433,1056112.000,35777,2,PG,1,100,11507
1669722217.069674,1056150.333,35793,3,PG,1,100,11521
1669722217.108916,1056188.667,35793,3,PG,1,100,11524
1669722217.148158,1056227.000,35793,3,PG,1,100,11542
1669722217.189106,1056267.000,35808,3,PG,1,100,11545
1669722217.230053,1056307.000,35808,3,PG,1,100,11555
1669722217.271001,1056347.000,35808,3,PG,1,100,11562
1669722217.310925,1056386.000,35826,2,PG,1,100,11544
1669722217.350849,1056425.000,35826,2,PG,1,100,11513
1669722217.390773,1056464.000,35841,3,PG,1,100,11484
1669722217.430697,1056503.000,35841,3,PG,1,100,11472
1669722217.470621,1056542.000,35841,3,PG,1,100,11474
1669722217.510545,1056581.000,35857,2,PG,1,100,11470
1669722217.550469,1056620.000,35857,2,PG,1,100,11474
1669722217.590394,1056659.000,35873,3,PG,1,100,11462
1669722217.630318,1056698.000,35873,3,PG,1,100,11468
1669722217.670242,1056737.000,35873,3,PG,1,100,11459
1669722217.709483,1056775.333,35889,3,PG,1,100,11459
1669722217.748725,1056813.667,35889,3,PG,1,100,11469
1669722217.787966,1056852.000,35889,3,PG,1,100,11479
1669722217.827891,1056891.000,35903,2,PG,1,100,11492
1669722217.867815,1056930.000,35903,2,PG,1,100,11499
1669722217.907739,1056969.000,35920,3,PG,1,100,11515
1669722217.947663,1057008.000,35920,3,PG,1,100,11526
1669722217.987587,1057047.000,35920,3,PG,1,100,11533
1669722218.033653,1057092.000,35937,2,PG,1,100,11547
1669722218.079719,1057137.000,35937,2,PG,1,100,11521
1669722218.119985,1057176.333,35953,3,PG,1,100,11501
1669722218.160250,1057215.667,35953,3,PG,1,100,11467
1669722218.200515,1057255.000,35953,3,PG,1,100,11453
1669722218.241463,1057295.000,35970,2,PG,1,100,11454
1669722218.282411,1057335.000,35970,2,PG,1,100,11453
1669722218.322676,1057374.333,35988,3,PG,1,100,11451
1669722218.362941,1057413.667,35988,3,PG,1,100,11450
1669722218.403207,1057453.000,35988,3,PG,1,100,11434
1669722218.443131,1057492.000,36003,2,PG,1,100,11435
1669722218.483055,1057531.000,36003,2,PG,1,100,11441
1669722218.521955,1057569.000,36020,3,PG,1,100,11450
1669722218.560856,1057607.000,36020,3,PG,1,100,11458
1669722218.599756,1057645.000,36020,3,PG,1,100,11468
1669722218.639680,1057684.000,36035,3,PG,1,100,11476
1669722218.679604,1057723.000,36035,3,PG,1,100,11486
1669722218.719528,1057762.000,36035,3,PG,1,100,11496
1669722218.759964,1057801.500,36050,2,PG,1,100,11506
1669722218.800400,1057841.000,36050,2,PG,1,100,11521
1669722218.841348,1057881.000,36065,3,PG,1,100,11510
1669722218.882296,1057921.000,36065,3,PG,1,100,11473
1669722218.923243,1057961.000,36065,3,PG,1,100,11454
1669722218.963167,1058000.000,36084,2,PG,1,100,11430
1669722219.003091,1058039.000,36084,2,PG,1,100,11428
1669722219.043015,1058078.000,36099,3,PG,1,100,11429
1669722219.082940,1058117.000,36099,3,PG,1,100,11435
1669722219.122864,1058156.000,36099,3,PG,1,100,11438
1669722219.161764,1058194.000,36114,3,PG,1,100,11427
