RD,TS_received,TS_sent,AK,RoundTrip,
1055938,1055994,2022-11-29_13-43-36-893924,1055998,56,
1061073,1061094,2022-11-29_13-43-42-119977,1061097,21,
1066300,1066394,2022-11-29_13-43-47-542335,1066397,94,
1071439,1071493,2022-11-29_13-43-52-769615,1071496,54,
1076566,1076650,2022-11-29_13-43-58-028071,1076653,84,
1081688,1081763,2022-11-29_13-44-03-284538,1081766,75,
1086809,1086892,2022-11-29_13-44-08-530328,1086896,83,
1091933,1091998,2022-11-29_13-44-13-762725,1092001,65,
1097057,1097104,2022-11-29_13-44-18-978973,1097107,47,
1102155,1102213,2022-11-29_13-44-24-205851,1102215,58,
1107295,1107319,2022-11-29_13-44-29-438103,1107322,24,
1112416,1112435,2022-11-29_13-44-34-679242,1112444,19,
1117535,1117611,2022-11-29_13-44-39-980296,1117614,76,
1122645,1122667,2022-11-29_13-44-45-158466,1122669,22,
1127783,1127816,2022-11-29_13-44-50-426916,1127820,33,
1132920,1132941,2022-11-29_13-44-55-669693,1132943,21,
1138034,1138053,2022-11-29_13-45-00-903453,1138056,19,
