RD,TS_received,TS_sent,AK,RoundTrip,
37681,42797,2023-11-20_23-51-46-089603,42800,5116,
42800,0,,47901,-42800,
47903,53015,2023-11-20_23-51-56-987265,53024,5112,
53036,0,,58156,-53036,
58157,63287,2023-11-20_23-52-09-395313,63290,5130,
63291,68410,2023-11-20_23-52-13-329643,68413,5119,
68413,73538,2023-11-20_23-52-17-295577,73540,5125,
73541,
78637,
83746,0,,88856,-83746,
88856,93969,2023-11-20_23-52-40-174171,93972,5113,
93973,
99104,104220,2023-11-20_23-52-51-355678,104223,5116,
104223,109343,2023-11-20_23-52-56-029227,109346,5120,
109347,114453,2023-11-20_23-53-01-666324,114456,5106,
114456,119568,2023-11-20_23-53-06-326881,119578,5112,
119590,
124679,129795,2023-11-20_23-53-16-838661,129798,5116,
129798,134916,2023-11-20_23-53-22-232132,134925,5118,
134937,140044,2023-11-20_23-53-27-851503,140046,5107,
140047,
145163,150317,2023-11-20_23-53-37-972217,150320,5154,
150320,155431,2023-11-20_23-53-43-375397,155434,5111,
155434,
160545,165698,2023-11-20_23-53-53-398595,165701,5153,
165701,
170830,
175938,181055,2023-11-20_23-54-08-838744,181064,5117,
181076,186194,2023-11-20_23-54-14-793366,186203,5118,
186215,0,,191329,-186215,
191341,
196466,
201574,
206730,211846,2023-11-20_23-54-41-077908,211855,5116,
211867,216954,2023-11-20_23-54-46-117423,216957,5087,
216957,
222069,227186,2023-11-20_23-54-56-733448,227195,5117,
227208,232334,2023-11-20_23-55-02-071079,232343,5126,
232355,0,,237455,-232355,
237455,242579,2023-11-20_23-55-12-250010,242581,5124,
242582,247693,2023-11-20_23-55-17-458683,247696,5111,
247696,252801,2023-11-20_23-55-22-667264,252804,5105,
252804,257912,2023-11-20_23-55-27-455420,257916,5108,
257916,263022,2023-11-20_23-55-32-671512,263025,5106,
263025,268129,2023-11-20_23-55-38-305486,268132,5104,
268132,
273229,278358,2023-11-20_23-55-48-702969,278367,5129,
278380,283492,2023-11-20_23-55-54-246585,283496,5112,
283496,288603,2023-11-20_23-55-59-512517,288605,5107,
288606,0,,293710,-288606,
293711,298848,2023-11-20_23-56-09-849932,298851,5137,
298851,303955,2023-11-20_23-56-14-760207,303964,5104,
303977,0,,309057,-303977,
309057,314210,2023-11-20_23-56-25-451335,314213,5153,
314213,319317,2023-11-20_23-56-30-640151,319326,5104,
319338,324466,2023-11-20_23-56-35-628711,324475,5128,
324487,
329594,334711,2023-11-20_23-56-46-627194,334721,5117,
334733,
339810,
344918,
350026,355142,2023-11-20_23-57-07-814784,355151,5116,
355163,360278,2023-11-20_23-57-12-711931,360287,5115,
360299,
365408,0,,370524,-365408,
370525,
375630,
380738,
385846,390963,2023-11-20_23-57-44-316691,390965,5117,
390966,396071,2023-11-20_23-57-49-773553,396073,5105,
396074,401193,2023-11-20_23-57-54-710373,401201,5119,
