LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1700520703.315168,35705,1031,1,SA,1,100,0.000192
1700520705.054616,37406,1192,1,SA,1,100,0.000162
1700520706.253107,38578,1372,1,SA,1,100,0.000068
1700520707.446484,39745,1548,1,SA,1,100,0.000060
1700520708.376030,40654,1659,1,SA,1,100,0.000009
1700520708.706331,40977,1725,1,SA,1,100,0.000030
1700520709.107191,41369,1841,1,SA,1,100,0.000108
1700520709.971291,42214,1936,1,SA,1,100,0.000060
1700520710.505089,42736,1989,1,SA,1,100,0.000014
1700520710.835390,43059,2117,1,SA,1,100,0.000181
1700520712.894912,45073,2405,1,SA,1,100,0.000069
1700520713.626073,45788,2582,1,SA,1,100,0.000240
1700520714.685490,46824,2635,1,SA,1,100,0.000021
1700520715.547544,47667,2846,1,SA,1,100,0.000120
1700520716.213259,48318,2879,1,SA,1,100,0.000030
1700520717.144850,49229,3088,1,SA,1,100,0.000107
1700520718.010995,50076,3154,1,SA,1,100,0.000013
1700520718.477302,50532,3254,1,SA,1,100,0.000040
1700520718.808625,50856,3288,1,SA,1,100,0.000015
1700520719.008033,51051,3400,1,SA,1,100,0.000127
1700520719.873155,51897,3629,1,SA,1,100,0.000842
1700520722.467498,54434,3853,1,SA,1,100,0.000051
1700520723.668034,55608,4031,1,SA,1,100,0.000016
1700520724.399195,56323,4160,1,SA,1,100,0.000031
1700520725.199893,57106,4289,1,SA,1,100,0.000054
1700520725.664155,57560,4370,1,SA,1,100,0.000041
1700520726.126371,58012,4422,1,SA,1,100,0.000014
1700520726.459740,58338,4535,1,SA,1,100,0.000158
1700520727.260438,59121,4619,1,SA,1,100,0.000066
1700520727.659253,59511,4698,1,SA,1,100,0.000209
1700520728.192029,60032,4764,1,SA,1,100,0.000092
1700520728.787184,60614,4881,1,SA,1,100,0.000185
1700520729.320983,61136,4914,1,SA,1,100,0.000028
1700520729.654351,61462,4996,1,SA,1,100,0.000095
1700520730.122704,61920,5060,1,SA,1,100,0.000108
1700520732.052355,63807,5385,1,SA,1,100,0.000059
1700520732.587177,64330,5532,1,SA,1,100,0.000145
1700520733.647616,65367,5678,1,SA,1,100,0.000154
1700520734.578184,66277,5744,1,SA,1,100,0.000046
1700520734.911553,66603,5777,1,SA,1,100,0.000014
1700520735.114028,66801,5829,1,SA,1,100,0.000023
1700520735.511821,67190,5910,1,SA,1,100,0.000071
1700520735.908591,67578,5993,1,SA,1,100,0.000074
1700520736.504768,68161,6062,1,SA,1,100,0.000052
1700520736.906651,68554,6144,1,SA,1,100,0.000090
1700520737.505897,69140,6195,1,SA,1,100,0.000042
1700520737.771773,69400,6293,1,SA,1,100,0.000113
1700520738.906862,70510,6455,1,SA,1,100,0.000084
1700520739.505085,71095,6521,1,SA,1,100,0.000027
1700520739.904923,71486,6603,1,SA,1,100,0.000081
1700520740.502123,72070,6669,1,SA,1,100,0.000023
1700520740.700508,72264,6752,1,SA,1,100,0.000092
1700520741.433714,72981,6833,1,SA,1,100,0.000047
1700520741.902066,73439,6919,1,SA,1,100,0.000069
1700520742.368373,73895,6985,1,SA,1,100,0.000060
1700520742.963528,74477,7065,1,SA,1,100,0.000048
1700520743.430858,74934,7147,1,SA,1,100,0.000044
1700520744.027035,75517,7229,1,SA,1,100,0.000042
1700520744.423805,75905,7295,1,SA,1,100,0.000033
1700520744.692750,76168,7328,1,SA,1,100,0.000027
1700520744.958627,76428,7394,1,SA,1,100,0.000061
1700520745.417775,76877,7554,1,SA,1,100,0.000195
1700520746.484350,77920,7620,1,SA,1,100,0.000048
1700520746.949635,78375,7704,1,SA,1,100,0.000067
1700520747.745219,79153,7851,1,SA,1,100,0.000106
1700520748.943710,80325,8012,1,SA,1,100,0.000079
1700520749.871211,81232,8157,1,SA,1,100,0.000112
1700520750.802802,82143,8302,1,SA,1,100,0.000210
1700520751.867332,83184,8464,1,SA,1,100,0.000049
1700520752.330571,83637,8514,1,SA,1,100,0.000015
1700520752.527933,83830,8596,1,SA,1,100,0.000116
1700520753.395101,84678,8681,1,SA,1,100,0.000006
1700520753.728469,85004,8777,1,SA,1,100,0.000085
1700520754.190686,85456,8844,1,SA,1,100,0.000089
1700520754.719371,85973,8925,1,SA,1,100,0.000067
1700520755.251125,86493,8992,1,SA,1,100,0.000043
1700520755.715387,86947,9074,1,SA,1,100,0.000067
1700520756.180671,87402,9139,1,SA,1,100,0.000097
1700520756.778894,87987,9220,1,SA,1,100,0.000040
1700520757.176686,88376,9270,1,SA,1,100,0.000036
1700520757.637880,88827,9372,1,SA,1,100,0.000077
1700520758.174747,89352,9518,1,SA,1,100,0.000216
1700520759.108383,90265,9582,1,SA,1,100,0.000035
1700520759.507198,90655,9665,1,SA,1,100,0.000110
1700520759.903968,91043,9715,1,SA,1,100,0.000105
1700520760.906119,92023,9877,1,SA,1,100,0.000112
1700520761.435827,92541,9943,1,SA,1,100,0.000069
1700520761.900089,92995,10039,1,SA,1,100,0.000142
1700520762.432865,93516,10107,1,SA,1,100,0.000076
