LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1672252025.315451,59046,7298,1,HR,1,100,36
1672252027.247051,60933,7602,1,HR,1,100,35
1672252028.541950,62198,7800,1,HR,1,100,36
1672252031.129700,64726,8187,1,HR,1,100,35
1672252034.884394,68394,8791,1,HR,1,100,33
1672252036.119922,69601,8983,1,HR,1,100,35
1672252038.497826,71924,9357,1,HR,1,100,33
1672252040.032256,73423,9588,1,HR,1,100,34
1672252041.523692,74880,9835,1,HR,1,100,35
1672252042.772527,76100,10028,1,HR,1,100,37
1672252043.569939,76879,10163,1,HR,1,100,41
1672252044.340736,77632,10276,1,HR,1,100,46
1672252045.710361,78970,10494,1,HR,1,100,45
1672252046.838407,80072,10679,1,HR,1,100,46
1672252047.680858,80895,10809,1,HR,1,100,49
1672252048.159920,81363,10875,1,HR,1,100,58
1672252049.009537,82193,11006,1,HR,1,100,60
1672252049.896005,83059,11141,1,HR,1,100,61
1672252051.268700,84400,11352,1,HR,1,100,59
1672252052.065088,85178,11484,1,HR,1,100,61
1672252052.877855,85972,11616,1,HR,1,100,62
1672252053.555501,86634,11729,1,HR,1,100,65
1672252055.325366,88363,11980,1,HR,1,100,62
1672252056.895623,89897,12226,1,HR,1,100,59
1672252068.921290,101645,14051,1,HR,1,100,53
1672252072.627874,105266,14573,1,HR,1,100,48
1672252073.440640,106060,14708,1,HR,1,100,51
1672252074.811288,107399,14922,1,HR,1,100,51
1672252075.607676,108177,15053,1,HR,1,100,54
1672252079.762611,112236,15708,1,HR,1,100,49
1672252081.612320,114043,15972,1,HR,1,100,47
1672252086.407028,118727,16737,1,HR,1,100,43
1672252087.613894,119906,16901,1,HR,1,100,44
1672252088.500362,120772,17050,1,HR,1,100,47
1672252089.181080,121437,17148,1,HR,1,100,52
1672252091.880406,124074,17589,1,HR,1,100,48
1672252092.730023,124904,17720,1,HR,1,100,51
1672252098.813488,130847,18650,1,HR,1,100,46
1672252102.797476,134739,19286,1,HR,1,100,42
1672252103.997176,135911,19464,1,HR,1,100,43
1672252105.783420,137656,19757,1,HR,1,100,42
1672252106.740519,138591,19902,1,HR,1,100,45
1672252109.045746,140843,20241,1,HR,1,100,42
1672252109.760243,141541,20357,1,HR,1,100,47
1672252111.252703,142999,20585,1,HR,1,100,46
1672252113.236508,144937,20897,1,HR,1,100,45
1672252115.725989,147369,21286,1,HR,1,100,42
1672252117.991294,149582,21646,1,HR,1,100,40
1672252121.014089,152535,22114,1,HR,1,100,38
1672252126.697312,158087,22983,1,HR,1,100,35
1672252127.259288,158636,23067,1,HR,1,100,43
1672252129.244117,160575,23375,1,HR,1,100,42
1672252132.155335,163419,23821,1,HR,1,100,39
1672252134.680644,165886,24194,1,HR,1,100,37
1672252135.848612,167027,24387,1,HR,1,100,39
1672252136.981776,168134,24569,1,HR,1,100,41
1672252140.736470,171802,25140,1,HR,1,100,38
1672252143.111304,174122,25516,1,HR,1,100,36
1672252148.471058,179358,26372,1,HR,1,100,33
1672252149.887769,180742,26590,1,HR,1,100,35
1672252150.723056,181558,26723,1,HR,1,100,39
1672252152.176618,182978,26951,1,HR,1,100,39
1672252154.282236,185035,27293,1,HR,1,100,38
1672252155.491149,186216,27481,1,HR,1,100,39
1672252156.903765,187596,27707,1,HR,1,100,40
1672252158.595834,189249,27969,1,HR,1,100,39
1672252159.602068,190232,28131,1,HR,1,100,42
1672252160.282786,190897,28233,1,HR,1,100,47
1672252161.776269,192356,28486,1,HR,1,100,46
1672252164.404965,194924,28885,1,HR,1,100,44
1672252166.411290,196884,29218,1,HR,1,100,42
