LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1672252028.850064,62499.000,7832,1,TL,1,100,2022-12-28_20-27-08-838523
1672252034.012257,67542.000,8640,1,TL,1,100,2022-12-28_20-27-08-937875
1672252034.035800,67565.000,8643,1,TL,1,100,2022-12-28_20-27-14-022590
1672252039.271695,72680.000,9468,1,TL,1,100,2022-12-28_20-27-14-070693
1672252039.296262,72704.000,9471,1,TL,1,100,2022-12-28_20-27-19-290685
1672252044.545464,77832.000,10310,1,TL,1,100,2022-12-28_20-27-19-384827
1672252049.789547,82955.000,11134,1,TL,1,100,2022-12-28_20-27-24-768485
1672252049.807972,82973.000,11136,1,TL,1,100,2022-12-28_20-27-24-772665
1672252055.026465,88071.000,11940,1,TL,1,100,2022-12-28_20-27-29-988961
1672252055.047961,88092.000,11942,1,TL,1,100,2022-12-28_20-27-29-990493
1672252060.258265,93182.000,12742,1,TL,1,100,2022-12-28_20-27-35-189861
1672252060.335037,93257.000,12745,1,TL,1,100,2022-12-28_20-27-40-332959
1672252065.514632,98317.000,13552,1,TL,1,100,2022-12-28_20-27-40-433956
1672252070.817063,103497.000,14299,1,TL,1,100,2022-12-28_20-27-45-657828
1672252070.841630,103521.000,14301,1,TL,1,100,2022-12-28_20-27-45-741238
1672252070.919426,103597.000,14304,1,TL,1,100,2022-12-28_20-27-50-917738
1672252076.043745,108603.000,15116,1,TL,1,100,2022-12-28_20-27-51-084794
1672252076.070359,108629.000,15119,1,TL,1,100,2022-12-28_20-27-56-067741
1672252081.294993,113733.000,15933,1,TL,1,100,2022-12-28_20-27-56-203656
1672252086.562620,118879.000,16752,1,TL,1,100,2022-12-28_20-28-01-426287
1672252086.589235,118905.000,16754,1,TL,1,100,2022-12-28_20-28-01-528650
1672252091.822058,124017.000,17567,1,TL,1,100,2022-12-28_20-28-06-752565
1672252091.874264,124068.000,17570,1,TL,1,100,2022-12-28_20-28-11-874866
1672252097.049764,129124.000,18382,1,TL,1,100,2022-12-28_20-28-11-973638
1672252102.282587,134236.000,19195,1,TL,1,100,2022-12-28_20-28-17-196500
1672252102.301013,134254.000,19197,1,TL,1,100,2022-12-28_20-28-17-298500
1672252102.354242,134306.000,19200,1,TL,1,100,2022-12-28_20-28-22-361808
1672252107.519506,139352.000,20014,1,TL,1,100,2022-12-28_20-28-22-521760
1672252112.774849,144486.000,20828,1,TL,1,100,2022-12-28_20-28-27-712028
1672252118.030192,149620.000,21639,1,TL,1,100,2022-12-28_20-28-32-966284
1672252118.089563,149678.000,21642,1,TL,1,100,2022-12-28_20-28-38-092073
1672252123.257898,154727.000,22448,1,TL,1,100,2022-12-28_20-28-38-190270
1672252123.307032,154775.000,22451,1,TL,1,100,2022-12-28_20-28-43-310835
1672252128.496863,159845.000,23259,1,TL,1,100,2022-12-28_20-28-43-513248
1672252133.740947,164968.000,24062,1,TL,1,100,2022-12-28_20-28-48-633294
1672252138.992196,170098.000,24871,1,TL,1,100,2022-12-28_20-28-53-958188
1672252139.086370,170190.000,24874,1,TL,1,100,2022-12-28_20-28-59-081552
1672252144.231161,175216.000,25696,1,TL,1,100,2022-12-28_20-28-59-223381
1672252144.256752,175241.000,25699,1,TL,1,100,2022-12-28_20-29-04-245506
1672252149.497764,180361.000,26536,1,TL,1,100,2022-12-28_20-29-04-307830
1672252149.574537,180436.000,26539,1,TL,1,100,2022-12-28_20-29-09-564163
1672252154.717281,185460.000,27360,1,TL,1,100,2022-12-28_20-29-09-677132
1672252154.810431,185551.000,27363,1,TL,1,100,2022-12-28_20-29-14-792808
1672252159.947033,190569.000,28178,1,TL,1,100,2022-12-28_20-29-14-856963
1672252159.970577,190592.000,28181,1,TL,1,100,2022-12-28_20-29-19-958024
1672252165.218755,195719.000,29016,1,TL,1,100,2022-12-28_20-29-20-016285
1672252165.248440,195748.000,29019,1,TL,1,100,2022-12-28_20-29-25-231766
1672252170.490476,200869.000,29852,1,TL,1,100,2022-12-28_20-29-25-340439
1672252170.577486,200954.000,29855,1,TL,1,100,2022-12-28_20-29-30-567644
1672252175.717158,205975.000,30677,1,TL,1,100,2022-12-28_20-29-30-665111
1672252175.739678,205997.000,30680,1,TL,1,100,2022-12-28_20-29-35-730178
1672252180.946911,211084.000,31498,1,TL,1,100,2022-12-28_20-29-35-785042
1672252181.012424,211148.000,31501,1,TL,1,100,2022-12-28_20-29-41-008010
1672252186.175640,216192.000,32297,1,TL,1,100,2022-12-28_20-29-41-110399
1672252186.240129,216255.000,32300,1,TL,1,100,2022-12-28_20-29-46-230534
1672252191.400274,221296.000,33102,1,TL,1,100,2022-12-28_20-29-46-327449
1672252191.423818,221319.000,33105,1,TL,1,100,2022-12-28_20-29-51-424624
1672252196.657665,226432.000,33909,1,TL,1,100,2022-12-28_20-29-51-579880
1672252196.684279,226458.000,33912,1,TL,1,100,2022-12-28_20-29-56-684121
1672252201.884347,231538.000,34715,1,TL,1,100,2022-12-28_20-29-56-884329
1672252201.911985,231565.000,34718,1,TL,1,100,2022-12-28_20-30-01-916941
1672252207.120241,236653.000,35534,1,TL,1,100,2022-12-28_20-30-02-109235
1672252207.147879,236680.000,35537,1,TL,1,100,2022-12-28_20-30-07-155973
1672252212.360230,241772.000,36359,1,TL,1,100,2022-12-28_20-30-07-328189
1672252212.438026,241848.000,36362,1,TL,1,100,2022-12-28_20-30-12-448638
1672252217.606361,246897.000,37182,1,TL,1,100,2022-12-28_20-30-12-540972
1672252217.631952,246922.000,37185,1,TL,1,100,2022-12-28_20-30-17-644102
1672252222.858633,252028.000,37997,1,TL,1,100,2022-12-28_20-30-17-779907
1672252222.889342,252058.000,38000,1,TL,1,100,2022-12-28_20-30-22-902993
1672252228.116024,257164.000,38805,1,TL,1,100,2022-12-28_20-30-23-101255
1672252228.139568,257187.000,38808,1,TL,1,100,2022-12-28_20-30-28-151622
1672252233.357037,262284.000,39605,1,TL,1,100,2022-12-28_20-30-28-317649
1672252233.429715,262355.000,39608,1,TL,1,100,2022-12-28_20-30-33-440652
1672252238.585766,267392.000,40401,1,TL,1,100,2022-12-28_20-30-33-544754
1672252238.660491,267465.000,40404,1,TL,1,100,2022-12-28_20-30-38-659991
1672252243.912764,272596.000,41207,1,TL,1,100,2022-12-28_20-30-38-786554
1672252243.975205,272657.000,41210,1,TL,1,100,2022-12-28_20-30-43-987459
1672252249.135351,277698.000,42010,1,TL,1,100,2022-12-28_20-30-44-099338
1672252249.158894,277721.000,42013,1,TL,1,100,2022-12-28_20-30-49-160536
1672252254.370222,282812.000,42779,1,TL,1,100,2022-12-28_20-30-49-309685
1672252254.424474,282865.000,42782,1,TL,1,100,2022-12-28_20-30-54-429701
1672252259.632730,287953.000,43578,1,TL,1,100,2022-12-28_20-30-54-557046
1672252259.657298,287977.000,43581,1,TL,1,100,2022-12-28_20-30-59-666944
1672252264.875790,293075.000,44378,1,TL,1,100,2022-12-28_20-30-59-808498
1672252264.925948,293124.000,44381,1,TL,1,100,2022-12-28_20-31-04-943629
1672252270.104519,298183.000,45177,1,TL,1,100,2022-12-28_20-31-05-070170
1672252270.135228,298213.000,45180,1,TL,1,100,2022-12-28_20-31-10-145061
1672252275.345532,303303.000,45977,1,TL,1,100,2022-12-28_20-31-10-305564
1672252275.448919,303404.000,45980,1,TL,1,100,2022-12-28_20-31-15-457516
1672252280.584497,308421.000,46776,1,TL,1,100,2022-12-28_20-31-15-534622
1672252280.609065,308445.000,46779,1,TL,1,100,2022-12-28_20-31-20-616075
1672252285.829604,313545.000,47593,1,TL,1,100,2022-12-28_20-31-20-755596
1672252285.870550,313585.000,47596,1,TL,1,100,2022-12-28_20-31-25-876941
1672252291.084948,318679.000,48412,1,TL,1,100,2022-12-28_20-31-26-053244
1672252291.108491,318702.000,48415,1,TL,1,100,2022-12-28_20-31-31-115782
1672252296.321866,323795.000,49224,1,TL,1,100,2022-12-28_20-31-31-252532
1672252296.346433,323819.000,49227,1,TL,1,100,2022-12-28_20-31-36-356351
1672252301.577209,328929.000,50043,1,TL,1,100,2022-12-28_20-31-36-522609
1672252301.647840,328998.000,50046,1,TL,1,100,2022-12-28_20-31-41-646308
1672252306.832553,334063.000,50859,1,TL,1,100,2022-12-28_20-31-41-760640
1672252306.862238,334092.000,50862,1,TL,1,100,2022-12-28_20-31-46-868897
1672252312.074589,339184.000,51672,1,TL,1,100,2022-12-28_20-31-47-067956
1672252312.128842,339237.000,51675,1,TL,1,100,2022-12-28_20-31-52-139934
1672252317.313555,344302.000,52470,1,TL,1,100,2022-12-28_20-31-52-322867
1672252317.432296,344418.000,52473,1,TL,1,100,2022-12-28_20-31-57-438724
1672252322.594489,349461.000,53291,1,TL,1,100,2022-12-28_20-31-57-506611
1672252322.625198,349491.000,53294,1,TL,1,100,2022-12-28_20-32-02-634777
1672252327.831407,354577.000,54106,1,TL,1,100,2022-12-28_20-32-02-862535
1672252327.864163,354609.000,54109,1,TL,1,100,2022-12-28_20-32-07-865725
1672252333.065254,359690.000,54913,1,TL,1,100,2022-12-28_20-32-08-062436
1672252333.089821,359714.000,54916,1,TL,1,100,2022-12-28_20-32-13-107200
1672252338.315479,364819.000,55720,1,TL,1,100,2022-12-28_20-32-13-281960
1672252338.394299,364896.000,55723,1,TL,1,100,2022-12-28_20-32-18-410988
1672252343.568776,369951.000,56525,1,TL,1,100,2022-12-28_20-32-18-504424
1672252343.605626,369987.000,56528,1,TL,1,100,2022-12-28_20-32-23-616164
1672252348.822072,375083.000,57340,1,TL,1,100,2022-12-28_20-32-23-751525
1672252348.845615,375106.000,57343,1,TL,1,100,2022-12-28_20-32-28-857947
1672252354.070250,380210.000,58150,1,TL,1,100,2022-12-28_20-32-29-002102
