LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1672252025.315451,59046,7297,1,BI,1,100,2000
1672252027.247051,60933,7601,1,BI,1,100,1920
1672252028.541950,62198,7799,1,BI,1,100,1280
1672252031.129700,64726,8186,1,BI,1,100,2560
1672252034.884394,68394,8790,1,BI,1,100,3720
1672252036.119922,69601,8982,1,BI,1,100,1240
1672252038.497826,71924,9356,1,BI,1,100,2360
1672252040.032256,73423,9587,1,BI,1,100,1520
1672252041.523692,74880,9834,1,BI,1,100,1480
1672252042.772527,76100,10027,1,BI,1,100,1240
1672252043.569939,76879,10162,1,BI,1,100,800
1672252044.340736,77632,10275,1,BI,1,100,760
1672252045.710361,78970,10493,1,BI,1,100,1360
1672252046.838407,80072,10678,1,BI,1,100,1120
1672252047.680858,80895,10808,1,BI,1,100,840
1672252048.159920,81363,10874,1,BI,1,100,480
1672252049.009537,82193,11005,1,BI,1,100,840
1672252049.896005,83059,11140,1,BI,1,100,880
1672252051.268700,84400,11351,1,BI,1,100,1360
1672252052.065088,85178,11483,1,BI,1,100,800
1672252052.877855,85972,11615,1,BI,1,100,800
1672252053.555501,86634,11728,1,BI,1,100,680
1672252055.325366,88363,11979,1,BI,1,100,1760
1672252056.895623,89897,12225,1,BI,1,100,1560
1672252068.921290,101645,14050,1,BI,1,100,11920
1672252072.627874,105266,14572,1,BI,1,100,3680
1672252073.440640,106060,14707,1,BI,1,100,800
1672252074.811288,107399,14921,1,BI,1,100,1360
1672252075.607676,108177,15052,1,BI,1,100,800
1672252079.762611,112236,15707,1,BI,1,100,4120
1672252081.612320,114043,15971,1,BI,1,100,1840
1672252086.407028,118727,16736,1,BI,1,100,4760
1672252087.613894,119906,16900,1,BI,1,100,1200
1672252088.500362,120772,17049,1,BI,1,100,880
1672252089.181080,121437,17147,1,BI,1,100,680
1672252091.880406,124074,17588,1,BI,1,100,2680
1672252092.730023,124904,17719,1,BI,1,100,840
1672252098.813488,130847,18649,1,BI,1,100,6040
1672252102.797476,134739,19285,1,BI,1,100,3960
1672252103.997176,135911,19463,1,BI,1,100,1200
1672252105.783420,137656,19756,1,BI,1,100,1760
1672252106.740519,138591,19901,1,BI,1,100,960
1672252109.045746,140843,20240,1,BI,1,100,2280
1672252109.760243,141541,20356,1,BI,1,100,720
1672252111.252703,142999,20584,1,BI,1,100,1480
1672252113.236508,144937,20896,1,BI,1,100,1960
1672252115.725989,147369,21285,1,BI,1,100,2480
1672252117.991294,149582,21645,1,BI,1,100,2240
1672252121.014089,152535,22113,1,BI,1,100,3000
1672252126.697312,158087,22982,1,BI,1,100,5640
1672252127.259288,158636,23066,1,BI,1,100,560
1672252129.244117,160575,23374,1,BI,1,100,1960
1672252132.155335,163419,23820,1,BI,1,100,2880
