LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1672252024.453550,58204,7300,1,SR,1,100,0.333333
1672252027.664694,61341,7700,1,SR,1,100,0.133333
1672252028.062888,61730,7779,1,SR,1,100,0.333333
1672252030.392682,64006,8121,1,SR,1,100,0.200000
1672252030.726387,64332,8169,1,SR,1,100,0.133333
1672252030.996627,64596,8189,1,SR,1,100,0.066667
1672252031.329309,64921,8301,1,SR,1,100,0.400000
1672252032.127744,65701,8366,1,SR,1,100,0.066667
1672252032.860667,66417,8510,1,SR,1,100,0.200000
1672252033.195396,66744,8544,1,SR,1,100,0.066667
1672252034.061391,67590,8693,1,SR,1,100,0.133333
1672252034.858803,68369,8950,1,SR,1,100,1.066667
1672252037.116942,70575,9144,1,SR,1,100,0.066667
1672252037.845771,71287,9272,1,SR,1,100,0.066667
1672252038.044356,71481,9291,1,SR,1,100,0.066667
1672252038.778302,72198,9421,1,SR,1,100,0.066667
1672252039.378153,72784,9524,1,SR,1,100,0.133333
1672252039.777370,73174,9621,1,SR,1,100,0.400000
1672252040.308637,73693,9654,1,SR,1,100,0.066667
1672252040.777462,74151,9752,1,SR,1,100,0.133333
1672252041.043607,74411,9816,1,SR,1,100,0.333333
1672252042.174724,75516,9980,1,SR,1,100,0.266667
1672252042.569847,75902,10030,1,SR,1,100,0.133333
1672252042.839063,76165,10063,1,SR,1,100,0.133333
1672252043.240329,76557,10127,1,SR,1,100,0.133333
1672252043.901597,77203,10244,1,SR,1,100,0.200000
1672252044.367351,77658,10315,1,SR,1,100,0.066667
1672252044.564913,77851,10332,1,SR,1,100,0.066667
1672252044.766569,78048,10382,1,SR,1,100,0.200000
1672252045.363348,78631,10496,1,SR,1,100,0.266667
1672252045.765637,79024,10515,1,SR,1,100,0.066667
1672252046.099342,79350,10579,1,SR,1,100,0.133333
1672252046.366511,79611,10645,1,SR,1,100,0.200000
1672252047.095339,80323,10791,1,SR,1,100,0.400000
1672252047.627629,80843,10842,1,SR,1,100,0.266667
1672252048.292992,81493,10926,1,SR,1,100,0.133333
1672252049.089381,82271,11070,1,SR,1,100,0.200000
1672252049.816162,82981,11159,1,SR,1,100,0.066667
1672252050.280892,83435,11304,1,SR,1,100,0.600000
1672252051.013815,84151,11385,1,SR,1,100,0.333333
1672252051.612641,84736,11468,1,SR,1,100,0.266667
1672252052.146979,85258,11534,1,SR,1,100,0.200000
1672252053.142976,86231,11746,1,SR,1,100,0.533333
1672252053.809363,86882,11779,1,SR,1,100,0.133333
1672252054.072437,87139,11828,1,SR,1,100,0.200000
1672252054.939456,87986,12016,1,SR,1,100,0.533333
1672252055.607890,88639,12094,1,SR,1,100,0.400000
1672252056.138133,89157,12128,1,SR,1,100,0.066667
1672252056.470814,89482,12244,1,SR,1,100,0.400000
1672252057.805635,90786,12403,1,SR,1,100,0.133333
1672252058.337925,91306,12501,1,SR,1,100,0.266667
1672252059.072895,92024,12630,1,SR,1,100,0.333333
1672252059.937867,92869,12725,1,SR,1,100,0.066667
1672252060.405668,93326,12924,1,SR,1,100,0.933333
