LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1700121928.195561,115811.000,13585,1,SF,1,100,100.4571
1700121928.526276,116134.000,13634,1,SF,1,100,101.3772
1700121928.794533,116396.000,13683,1,SF,1,100,102.2867
1700121929.128319,116722.000,13732,1,SF,1,100,103.1857
1700121929.459033,117045.000,13780,1,SF,1,100,101.9921
1700121929.790771,117369.000,13830,1,SF,1,100,102.8945
1700121930.121486,117692.000,13865,1,SF,1,100,103.7864
1700121930.523872,118085.000,13931,1,SF,1,100,102.5858
1700121930.856634,118410.000,13979,1,SF,1,100,101.3991
1700121931.124891,118672.000,14025,1,SF,1,100,100.2261
1700121931.456630,118996.000,14076,1,SF,1,100,101.1489
1700121931.857992,119388.000,14143,1,SF,1,100,102.0611
1700121932.189730,119712.000,14193,1,SF,1,100,100.8805
1700121932.522492,120037.000,14240,1,SF,1,100,99.7135
1700121932.790749,120299.000,14289,1,SF,1,100,100.6422
1700121933.123511,120624.000,14336,1,SF,1,100,99.4780
1700121933.458321,120951.000,14386,1,SF,1,100,100.4095
1700121933.858660,121342.000,14449,1,SF,1,100,99.2479
1700121934.190398,121666.000,14500,1,SF,1,100,100.1821
1700121934.522136,121990.000,14548,1,SF,1,100,101.1054
1700121934.856946,122317.000,14600,1,SF,1,100,102.0181
1700121935.253188,122704.000,14652,1,SF,1,100,100.8379
1700121935.455917,122902.000,14688,1,SF,1,100,101.7537
1700121935.788679,123227.000,14736,1,SF,1,100,102.6588
1700121936.186970,123616.000,14800,1,SF,1,100,101.4713
1700121936.518708,123940.000,14853,1,SF,1,100,104.4619
1700121936.782870,124198.000,14902,1,SF,1,100,105.3358
1700121937.114608,124522.000,14949,1,SF,1,100,104.1172
1700121937.446346,124846.000,14999,1,SF,1,100,104.9951
1700121937.845661,125236.000,15063,1,SF,1,100,105.8627
1700121938.178423,125561.000,15115,1,SF,1,100,106.7204
1700121938.511185,125886.000,15164,1,SF,1,100,107.5681
1700121938.844971,126212.000,15216,1,SF,1,100,108.4060
1700121939.176709,126536.000,15250,1,SF,1,100,109.2342
1700121939.443943,126797.000,15301,1,SF,1,100,110.0528
1700121939.774657,127120.000,15352,1,SF,1,100,110.8619
1700121940.108443,127446.000,15398,1,SF,1,100,109.5795
1700121940.509805,127838.000,15474,1,SF,1,100,112.4764
1700121940.841543,128162.000,15521,1,SF,1,100,111.1752
1700121941.110824,128425.000,15573,1,SF,1,100,114.0536
1700121941.442563,128749.000,15623,1,SF,1,100,112.7343
1700121941.773277,129072.000,15671,1,SF,1,100,113.5124
1700121942.172591,129462.000,15737,1,SF,1,100,114.2815
1700121942.503305,129785.000,15786,1,SF,1,100,115.0418
1700121942.774635,130050.000,15835,1,SF,1,100,113.7110
1700121943.105349,130373.000,15884,1,SF,1,100,114.4778
1700121943.440159,130700.000,15936,1,SF,1,100,115.2358
1700121943.838449,131089.000,16001,1,SF,1,100,115.9850
1700121944.169163,131412.000,16050,1,SF,1,100,114.6432
1700121944.436397,131673.000,16098,1,SF,1,100,115.3993
1700121944.767111,131996.000,16148,1,SF,1,100,116.1466
1700121945.101921,132323.000,16194,1,SF,1,100,114.8030
1700121945.502259,132714.000,16260,1,SF,1,100,115.5572
1700121945.768469,132974.000,16298,1,SF,1,100,116.3027
1700121946.103279,133301.000,16347,1,SF,1,100,117.0396
