RD,TS_received,TS_sent,AK,RoundTrip,
778209,783342,2023-11-16_09-16-48-129236,783345,5133,
783345,0,,788455,-783345,
788456,793596,2023-11-16_09-16-59-033299,793604,5140,
793616,798702,2023-11-16_09-17-04-305517,798711,5086,
798724,803825,2023-11-16_09-17-09-626511,803834,5101,
803846,
808939,
814047,819172,2023-11-16_09-17-25-163673,819181,5125,
819193,
831080,0,,836190,-831080,
836190,841316,2023-11-16_09-17-46-024364,841325,5126,
841337,841357,2023-11-16_09-17-51-059934,841360,20,
846426,846517,2023-11-16_09-17-56-339085,846520,91,
851535,851558,2023-11-16_09-18-01-506045,851561,23,
856656,861767,2023-11-16_09-18-07-028425,861776,5111,
861788,867011,2023-11-16_09-18-12-056977,867013,5223,
867014,867036,2023-11-16_09-18-17-353279,867039,22,
872131,872152,2023-11-16_09-18-22-592593,872156,21,
877238,882367,2023-11-16_09-18-28-168911,882377,5129,
882389,882412,2023-11-16_09-18-33-097746,882414,23,
887479,887507,2023-11-16_09-18-38-314688,887510,28,
892633,892654,2023-11-16_09-18-43-583080,892657,21,
897742,
902871,908012,2023-11-16_09-18-55-694642,908020,5141,
908032,0,,913147,-908032,
913147,
918252,0,,923362,-918252,
923362,
928468,933602,2023-11-16_09-19-22-011982,933611,5134,
933623,938731,2023-11-16_09-19-26-464137,938739,5108,
938751,943846,2023-11-16_09-19-30-813987,943854,5095,
943866,948954,2023-11-16_09-19-37-083846,948957,5088,
948957,954061,2023-11-16_09-19-43-131061,954070,5104,
954082,959195,2023-11-16_09-19-48-349634,959198,5113,
959199,964305,2023-11-16_09-19-52-703121,964314,5106,
964326,969412,2023-11-16_09-19-57-549800,969421,5086,
969434,969535,2023-11-16_09-20-02-264119,969538,101,
974552,979668,2023-11-16_09-20-07-976184,979672,5116,
979672,984785,2023-11-16_09-20-13-731380,984788,5113,
984788,989916,2023-11-16_09-20-18-623628,989926,5128,
989938,995059,2023-11-16_09-20-23-875944,995063,5121,
995063,1000185,2023-11-16_09-20-29-294284,1000195,5122,
1000207,1005293,2023-11-16_09-20-34-666051,1005296,5086,
1005296,1010401,2023-11-16_09-20-39-619709,1010410,5105,
1010423,
1015521,1020640,2023-11-16_09-20-51-049143,1020649,5119,
1020661,1025765,2023-11-16_09-20-55-932425,1025774,5104,
1025787,1030911,2023-11-16_09-21-00-245601,1030921,5124,
1030933,1036019,2023-11-16_09-21-05-356043,1036027,5086,
1036040,1041166,2023-11-16_09-21-10-511576,1041176,5126,
1041189,1046275,2023-11-16_09-21-15-685696,1046284,5086,
1046296,1051383,2023-11-16_09-21-21-332391,1051392,5087,
1051404,1051424,2023-11-16_09-21-26-143493,1051427,20,
1056494,
1061600,
1066725,
1071833,
1076952,
1082101,
1087210,
1092322,1097453,2023-11-16_09-22-09-823764,1097456,5131,
1097457,
1102562,1107678,2023-11-16_09-22-19-301173,1107680,5116,
1107681,
1112783,
1117891,
1133484,
1138592,
1143700,1148822,2023-11-16_09-23-02-450225,1148832,5122,
1148844,1153929,2023-11-16_09-23-08-390603,1153932,5085,
1153933,
1159063,1164185,2023-11-16_09-23-18-633655,1164189,5122,
1164189,1169295,2023-11-16_09-23-23-789555,1169303,5106,
1169315,
1174409,
1179517,1184672,2023-11-16_09-23-39-501523,1184681,5155,
1184693,
1189772,
1194883,1199999,2023-11-16_09-23-54-606978,1200008,5116,
1200021,1205133,2023-11-16_09-24-00-308685,1205136,5112,
1205136,
1210248,
1215356,1220472,2023-11-16_09-24-15-181004,1220481,5116,
1220494,1225614,2023-11-16_09-24-19-679877,1225624,5120,
1225636,1230734,2023-11-16_09-24-24-966599,1230742,5098,
1230754,1235857,2023-11-16_09-24-31-742216,1235860,5103,
1235860,1240972,2023-11-16_09-24-36-937675,1240981,5112,
1240994,1246123,2023-11-16_09-24-42-350519,1246126,5129,
1246126,1251248,2023-11-16_09-24-47-956761,1251251,5122,
1251251,
1256410,
1261515,1266720,2023-11-16_09-25-03-370644,1266723,5205,
1266724,1271828,2023-11-16_09-25-08-430569,1271836,5104,
1271849,
1276953,
1282061,
1287229,1292349,2023-11-16_09-25-29-974416,1292357,5120,
1292369,1297489,2023-11-16_09-25-34-885893,1297491,5120,
1297492,
1302599,1307742,2023-11-16_09-25-45-502599,1307751,5143,
1307763,1312861,2023-11-16_09-25-50-806422,1312870,5098,
1312883,1318000,2023-11-16_09-25-55-054417,1318008,5117,
1318020,1323106,2023-11-16_09-26-00-359966,1323115,5086,
1323127,
1328240,
1333356,
1338464,1343580,2023-11-16_09-26-21-987115,1343595,5116,
1343608,
1348715,1353831,2023-11-16_09-26-33-415229,1353834,5116,
1353834,1358938,2023-11-16_09-26-38-101651,1358941,5104,
1358942,1364047,2023-11-16_09-26-43-022811,1364056,5105,
1364068,1369195,2023-11-16_09-26-47-851791,1369197,5127,
1369198,1374296,2023-11-16_09-26-53-527768,1374299,5098,
1374299,1379408,2023-11-16_09-26-59-011879,1379411,5109,
1379411,1384521,2023-11-16_09-27-04-614493,1384524,5110,
1384524,
1389625,1394792,2023-11-16_09-27-12-437157,1394801,5167,
1394813,1399880,2023-11-16_09-27-20-143947,1399883,5067,
1399884,1405000,2023-11-16_09-27-25-462988,1405003,5116,
1405004,1410128,2023-11-16_09-27-30-484282,1410131,5124,
1410131,1415245,2023-11-16_09-27-35-169522,1415261,5114,
1415273,1420388,2023-11-16_09-27-38-809563,1420397,5115,
1420410,1425497,2023-11-16_09-27-44-555185,1425499,5087,
1425500,
1430596,1435712,2023-11-16_09-27-56-858417,1435715,5116,
1435715,1440850,2023-11-16_09-28-01-674281,1440859,5135,
1440872,1446006,2023-11-16_09-28-07-316090,1446021,5134,
1446033,
1451145,1456260,2023-11-16_09-28-17-211605,1456270,5115,
1456282,1461382,2023-11-16_09-28-22-948829,1461386,5100,
1461386,
1466519,
1471632,
1476740,1481866,2023-11-16_09-28-44-304586,1481869,5126,
1481870,1486982,2023-11-16_09-28-49-547197,1486985,5112,
1486986,1492103,2023-11-16_09-28-54-605534,1492112,5117,
1492123,1497230,2023-11-16_09-28-59-076570,1497238,5107,
1497252,
1502354,1507542,2023-11-16_09-29-07-866729,1507551,5188,
1507564,
1512582,1517703,2023-11-16_09-29-20-396991,1517711,5121,
1517723,
1522813,
1527921,
1533057,
1559610,0,,1564720,-1559610,
1564720,1564750,2023-11-16_09-30-11-716192,1564753,30,
1569837,
1574934,1580098,2023-11-16_09-30-22-477099,1580107,5164,
1580110,1585210,2023-11-16_09-30-28-457577,1585213,5100,
1585213,
1590310,1595429,2023-11-16_09-30-40-869256,1595431,5119,
1595432,1600536,2023-11-16_09-30-45-507552,1600539,5104,
1600539,1605645,2023-11-16_09-30-50-083653,1605654,5106,
1605666,1610784,2023-11-16_09-30-55-693889,1610792,5118,
1610805,
1615907,
1621030,1626165,2023-11-16_09-31-11-851308,1626174,5135,
1626186,1631299,2023-11-16_09-31-17-023510,1631303,5113,
1631303,1636407,2023-11-16_09-31-22-419007,1636410,5104,
1636410,1641525,2023-11-16_09-31-27-122169,1641534,5115,
1641546,
1646662,1651778,2023-11-16_09-31-37-579673,1651781,5116,
1651781,1656902,2023-11-16_09-31-43-173244,1656905,5121,
1656905,1662011,2023-11-16_09-31-48-668444,1662019,5106,
1662032,
1667144,1672273,2023-11-16_09-31-59-154636,1672276,5129,
1672276,
1677371,
1682479,1687596,2023-11-16_09-32-14-118420,1687604,5117,
1687616,0,,1692726,-1687616,
1692726,1697862,2023-11-16_09-32-25-461875,1697865,5136,
1697865,
1702982,1708105,2023-11-16_09-32-35-974969,1708108,5123,
1708108,1713223,2023-11-16_09-32-41-225064,1713226,5115,
1713226,1718331,2023-11-16_09-32-45-845622,1718340,5105,
1718352,1723439,2023-11-16_09-32-50-885574,1723442,5087,
1723442,1728547,2023-11-16_09-32-55-766154,1728556,5105,
1728568,1733685,2023-11-16_09-33-01-430855,1733693,5117,
1733705,1738791,2023-11-16_09-33-06-282930,1738800,5086,
1738812,1743923,2023-11-16_09-33-11-432981,1743932,5111,
