LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1700426840.223548,27931.000,2006,15,MX,1,100,33
1700426840.223548,27931.000,2006,15,MX,1,100,32
1700426840.223548,27931.000,2006,15,MX,1,100,34
1700426840.223548,27931.000,2006,15,MX,1,100,33
1700426840.223548,27931.000,2006,15,MX,1,100,34
1700426840.223548,27931.000,2006,15,MX,1,100,36
1700426840.223548,27931.000,2006,15,MX,1,100,37
1700426840.223548,27931.000,2006,15,MX,1,100,38
1700426840.223548,27931.000,2006,15,MX,1,100,39
1700426840.223548,27931.000,2006,15,MX,1,100,41
1700426840.223548,27931.000,2006,15,MX,1,100,42
1700426840.223548,27931.000,2006,15,MX,1,100,44
1700426840.223548,27931.000,2006,15,MX,1,100,46
1700426840.223548,27931.000,2006,15,MX,1,100,48
1700426840.223548,27931.000,2006,15,MX,1,100,49
1700426840.263392,27970.000,2022,3,MX,1,100,49
1700426840.303236,28009.000,2022,3,MX,1,100,50
1700426840.343080,28048.000,2022,3,MX,1,100,51
1700426840.382924,28087.000,2039,2,MX,1,100,52
1700426840.422768,28126.000,2039,2,MX,1,100,53
1700426840.462612,28165.000,2055,3,MX,1,100,52
1700426840.502456,28204.000,2055,3,MX,1,100,53
1700426840.542300,28243.000,2055,3,MX,1,100,53
1700426840.577376,28277.333,2073,3,MX,1,100,54
1700426840.612452,28311.667,2073,3,MX,1,100,54
1700426840.647529,28346.000,2073,3,MX,1,100,52
1700426840.687372,28385.000,2088,2,MX,1,100,53
1700426840.727216,28424.000,2088,2,MX,1,100,53
1700426840.767061,28463.000,2103,3,MX,1,100,53
1700426840.806905,28502.000,2103,3,MX,1,100,53
1700426840.846748,28541.000,2103,3,MX,1,100,52
1700426840.886592,28580.000,2119,2,MX,1,100,53
1700426840.926436,28619.000,2119,2,MX,1,100,53
1700426840.965940,28657.667,2135,3,MX,1,100,53
1700426841.005443,28696.333,2135,3,MX,1,100,53
1700426841.044947,28735.000,2135,3,MX,1,100,53
1700426841.085472,28774.667,2151,3,MX,1,100,53
1700426841.125997,28814.333,2151,3,MX,1,100,54
1700426841.166522,28854.000,2151,3,MX,1,100,53
1700426841.206877,28893.500,2165,2,MX,1,100,53
1700426841.247231,28933.000,2165,2,MX,1,100,54
1700426841.287076,28972.000,2184,3,MX,1,100,53
1700426841.326919,29011.000,2184,3,MX,1,100,53
1700426841.366763,29050.000,2184,3,MX,1,100,53
1700426841.406607,29089.000,2199,2,MX,1,100,53
1700426841.446451,29128.000,2199,2,MX,1,100,52
1700426841.486295,29167.000,2215,3,MX,1,100,53
1700426841.526139,29206.000,2215,3,MX,1,100,53
1700426841.565983,29245.000,2215,3,MX,1,100,53
1700426841.605146,29283.333,2230,3,MX,1,100,53
1700426841.644309,29321.667,2230,3,MX,1,100,53
1700426841.683472,29360.000,2230,3,MX,1,100,53
1700426841.724338,29400.000,2249,3,MX,1,100,52
1700426841.765203,29440.000,2249,3,MX,1,100,53
1700426841.806069,29480.000,2249,3,MX,1,100,53
1700426841.845913,29519.000,2265,3,MX,1,100,53
1700426841.885757,29558.000,2265,3,MX,1,100,53
1700426841.925601,29597.000,2265,3,MX,1,100,53
1700426841.965445,29636.000,2282,3,MX,1,100,52
1700426842.005289,29675.000,2282,3,MX,1,100,53
1700426842.045133,29714.000,2282,3,MX,1,100,52
1700426842.084977,29753.000,2297,2,MX,1,100,53
1700426842.124820,29792.000,2297,2,MX,1,100,53
1700426842.164665,29831.000,2313,3,MX,1,100,53
1700426842.204509,29870.000,2313,3,MX,1,100,52
1700426842.244353,29909.000,2313,3,MX,1,100,53
1700426842.279429,29943.333,2329,3,MX,1,100,53
1700426842.314505,29977.667,2329,3,MX,1,100,52
1700426842.349581,30012.000,2329,3,MX,1,100,53
1700426842.389426,30051.000,2346,2,MX,1,100,53
1700426842.429269,30090.000,2346,2,MX,1,100,53
1700426842.468432,30128.333,2363,3,MX,1,100,53
1700426842.507595,30166.667,2363,3,MX,1,100,53
1700426842.546758,30205.000,2363,3,MX,1,100,53
1700426842.586602,30244.000,2380,2,MX,1,100,52
1700426842.626446,30283.000,2380,2,MX,1,100,53
1700426842.666631,30322.333,2395,3,MX,1,100,53
1700426842.706815,30361.667,2395,3,MX,1,100,52
1700426842.747000,30401.000,2395,3,MX,1,100,53
1700426842.787865,30441.000,2410,3,MX,1,100,53
1700426842.828731,30481.000,2410,3,MX,1,100,52
1700426842.869596,30521.000,2410,3,MX,1,100,52
1700426842.909440,30560.000,2428,2,MX,1,100,53
1700426842.949284,30599.000,2428,2,MX,1,100,53
1700426842.989128,30638.000,2444,3,MX,1,100,52
1700426843.028972,30677.000,2444,3,MX,1,100,52
1700426843.068816,30716.000,2444,3,MX,1,100,51
1700426843.108149,30754.500,2459,2,MX,1,100,52
1700426843.147483,30793.000,2459,2,MX,1,100,52
1700426843.186986,30831.667,2474,3,MX,1,100,52
1700426843.226489,30870.333,2474,3,MX,1,100,52
1700426843.265993,30909.000,2474,3,MX,1,100,52
1700426843.306177,30948.333,2492,3,MX,1,100,53
1700426843.346362,30987.667,2492,3,MX,1,100,53
1700426843.386546,31027.000,2492,3,MX,1,100,52
1700426843.427412,31067.000,2508,2,MX,1,100,52
1700426843.468278,31107.000,2508,2,MX,1,100,53
1700426843.508122,31146.000,2523,3,MX,1,100,52
1700426843.547966,31185.000,2523,3,MX,1,100,53
1700426843.587810,31224.000,2523,3,MX,1,100,52
1700426843.627654,31263.000,2540,2,MX,1,100,52
1700426843.667497,31302.000,2540,2,MX,1,100,53
1700426843.707341,31341.000,2554,3,MX,1,100,53
1700426843.747185,31380.000,2554,3,MX,1,100,53
1700426843.787030,31419.000,2554,3,MX,1,100,52
1700426843.826873,31458.000,2570,3,MX,1,100,52
1700426843.866717,31497.000,2570,3,MX,1,100,53
1700426843.906561,31536.000,2570,3,MX,1,100,53
1700426843.945384,31574.000,2588,2,MX,1,100,53
1700426843.984206,31612.000,2588,2,MX,1,100,53
1700426844.019964,31647.000,2604,3,MX,1,100,53
1700426844.055721,31682.000,2604,3,MX,1,100,52
1700426844.091478,31717.000,2604,3,MX,1,100,54
1700426844.131322,31756.000,2619,3,MX,1,100,53
1700426844.171166,31795.000,2619,3,MX,1,100,51
1700426844.211010,31834.000,2619,3,MX,1,100,53
1700426844.250854,31873.000,2635,2,MX,1,100,53
1700426844.290698,31912.000,2635,2,MX,1,100,53
1700426844.330542,31951.000,2652,3,MX,1,100,52
1700426844.370386,31990.000,2652,3,MX,1,100,52
1700426844.410230,32029.000,2652,3,MX,1,100,52
