LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1700426840.223548,27931.000,1995,3,PR,1,100,111352
1700426840.223548,27931.000,1995,3,PR,1,100,111333
1700426840.223548,27931.000,1995,3,PR,1,100,111338
1700426840.263392,27970.000,2012,3,PR,1,100,111334
1700426840.303236,28009.000,2012,3,PR,1,100,111362
1700426840.343080,28048.000,2012,3,PR,1,100,111367
1700426840.382924,28087.000,2028,2,PR,1,100,111379
1700426840.422768,28126.000,2028,2,PR,1,100,111380
1700426840.462612,28165.000,2044,3,PR,1,100,111394
1700426840.502456,28204.000,2044,3,PR,1,100,111392
1700426840.542300,28243.000,2044,3,PR,1,100,111380
1700426840.588273,28288.000,2062,2,PR,1,100,111390
1700426840.634247,28333.000,2062,2,PR,1,100,111388
1700426840.674091,28372.000,2078,3,PR,1,100,111382
1700426840.713935,28411.000,2078,3,PR,1,100,111365
1700426840.753779,28450.000,2078,3,PR,1,100,111359
1700426840.793623,28489.000,2092,2,PR,1,100,111356
1700426840.833467,28528.000,2092,2,PR,1,100,111339
1700426840.873311,28567.000,2108,3,PR,1,100,111348
1700426840.913155,28606.000,2108,3,PR,1,100,111345
1700426840.952999,28645.000,2108,3,PR,1,100,111345
1700426840.992332,28683.500,2124,2,PR,1,100,111345
1700426841.031665,28722.000,2124,2,PR,1,100,111349
1700426841.071850,28761.333,2140,3,PR,1,100,111355
1700426841.112034,28800.667,2140,3,PR,1,100,111357
1700426841.152219,28840.000,2140,3,PR,1,100,111351
1700426841.192744,28879.667,2155,3,PR,1,100,111337
1700426841.233269,28919.333,2155,3,PR,1,100,111342
1700426841.273794,28959.000,2155,3,PR,1,100,111341
1700426841.313638,28998.000,2173,2,PR,1,100,111333
1700426841.353482,29037.000,2173,2,PR,1,100,111335
1700426841.393326,29076.000,2188,3,PR,1,100,111343
1700426841.433170,29115.000,2188,3,PR,1,100,111329
1700426841.473014,29154.000,2188,3,PR,1,100,111333
1700426841.512858,29193.000,2204,2,PR,1,100,111327
1700426841.552702,29232.000,2204,2,PR,1,100,111351
1700426841.591865,29270.333,2220,3,PR,1,100,111349
1700426841.631028,29308.667,2220,3,PR,1,100,111356
1700426841.670191,29347.000,2220,3,PR,1,100,111369
1700426841.710801,29386.750,2238,4,PR,1,100,111383
1700426841.751411,29426.500,2238,4,PR,1,100,111403
1700426841.792021,29466.250,2238,4,PR,1,100,111401
1700426841.832631,29506.000,2238,4,PR,1,100,111430
1700426841.872475,29545.000,2255,2,PR,1,100,111440
1700426841.912319,29584.000,2255,2,PR,1,100,111446
1700426841.956590,29627.333,2271,3,PR,1,100,111455
1700426842.000861,29670.667,2271,3,PR,1,100,111456
1700426842.045133,29714.000,2271,3,PR,1,100,111458
1700426842.084977,29753.000,2286,2,PR,1,100,111458
1700426842.124820,29792.000,2286,2,PR,1,100,111466
1700426842.164665,29831.000,2302,3,PR,1,100,111469
1700426842.204509,29870.000,2302,3,PR,1,100,111485
1700426842.244353,29909.000,2302,3,PR,1,100,111488
1700426842.284196,29948.000,2318,2,PR,1,100,111485
1700426842.324040,29987.000,2318,2,PR,1,100,111491
1700426842.363544,30025.667,2336,3,PR,1,100,111490
1700426842.403047,30064.333,2336,3,PR,1,100,111515
1700426842.442551,30103.000,2336,3,PR,1,100,111510
1700426842.481373,30141.000,2352,3,PR,1,100,111535
1700426842.520195,30179.000,2352,3,PR,1,100,111561
1700426842.559018,30217.000,2352,3,PR,1,100,111559
1700426842.598862,30256.000,2369,2,PR,1,100,111569
1700426842.638706,30295.000,2369,2,PR,1,100,111575
1700426842.679231,30334.667,2384,3,PR,1,100,111564
1700426842.719756,30374.333,2384,3,PR,1,100,111556
1700426842.760281,30414.000,2384,3,PR,1,100,111552
1700426842.801147,30454.000,2400,2,PR,1,100,111560
1700426842.842012,30494.000,2400,2,PR,1,100,111551
1700426842.882197,30533.333,2417,3,PR,1,100,111551
1700426842.922381,30572.667,2417,3,PR,1,100,111551
1700426842.962566,30612.000,2417,3,PR,1,100,111540
1700426843.002410,30651.000,2433,2,PR,1,100,111562
1700426843.042253,30690.000,2433,2,PR,1,100,111573
1700426843.081416,30728.333,2448,3,PR,1,100,111577
1700426843.120579,30766.667,2448,3,PR,1,100,111595
1700426843.159742,30805.000,2448,3,PR,1,100,111601
1700426843.199246,30843.667,2464,3,PR,1,100,111614
1700426843.238749,30882.333,2464,3,PR,1,100,111610
1700426843.278253,30921.000,2464,3,PR,1,100,111610
1700426843.318607,30960.500,2481,2,PR,1,100,111614
1700426843.358962,31000.000,2481,2,PR,1,100,111611
1700426843.399828,31040.000,2497,2,PR,1,100,111617
1700426843.440693,31080.000,2497,2,PR,1,100,111615
1700426843.485305,31123.667,2512,3,PR,1,100,111625
1700426843.529917,31167.333,2512,3,PR,1,100,111624
1700426843.574528,31211.000,2512,3,PR,1,100,111620
1700426843.614372,31250.000,2529,3,PR,1,100,111611
1700426843.654216,31289.000,2529,3,PR,1,100,111615
1700426843.694060,31328.000,2529,3,PR,1,100,111625
1700426843.733904,31367.000,2544,2,PR,1,100,111619
1700426843.773748,31406.000,2544,2,PR,1,100,111633
1700426843.813592,31445.000,2559,3,PR,1,100,111611
1700426843.853436,31484.000,2559,3,PR,1,100,111629
1700426843.893280,31523.000,2559,3,PR,1,100,111633
1700426843.932443,31561.333,2577,3,PR,1,100,111640
1700426843.971606,31599.667,2577,3,PR,1,100,111663
1700426844.010769,31638.000,2577,3,PR,1,100,111657
1700426844.051123,31677.500,2593,2,PR,1,100,111680
1700426844.091478,31717.000,2593,2,PR,1,100,111657
1700426844.131322,31756.000,2608,3,PR,1,100,111630
1700426844.171166,31795.000,2608,3,PR,1,100,111626
1700426844.211010,31834.000,2608,3,PR,1,100,111628
1700426844.250854,31873.000,2625,2,PR,1,100,111653
1700426844.290698,31912.000,2625,2,PR,1,100,111638
1700426844.330542,31951.000,2641,3,PR,1,100,111633
1700426844.370386,31990.000,2641,3,PR,1,100,111625
1700426844.410230,32029.000,2641,3,PR,1,100,111637
1700426844.450074,32068.000,2657,3,PR,1,100,111628
1700426844.489918,32107.000,2657,3,PR,1,100,111611
1700426844.529762,32146.000,2657,3,PR,1,100,111625
1700426844.568584,32184.000,2675,2,PR,1,100,111639
1700426844.607407,32222.000,2675,2,PR,1,100,111659
1700426844.647251,32261.000,2691,3,PR,1,100,111676
1700426844.687095,32300.000,2691,3,PR,1,100,111658
1700426844.726938,32339.000,2691,3,PR,1,100,111670
1700426844.766783,32378.000,2705,2,PR,1,100,111648
1700426844.806627,32417.000,2705,2,PR,1,100,111644
1700426844.850557,32460.000,2721,3,PR,1,100,111648
1700426844.894488,32503.000,2721,3,PR,1,100,111643
1700426844.938418,32546.000,2721,3,PR,1,100,111640
1700426844.978773,32585.500,2739,2,PR,1,100,111638
1700426845.019128,32625.000,2739,2,PR,1,100,111632
1700426845.059993,32665.000,2755,3,PR,1,100,111623
1700426845.100859,32705.000,2755,3,PR,1,100,111625
1700426845.141725,32745.000,2755,3,PR,1,100,111625
1700426845.181569,32784.000,2772,2,PR,1,100,111620
1700426845.221412,32823.000,2772,2,PR,1,100,111628
1700426845.261256,32862.000,2788,3,PR,1,100,111624
1700426845.301100,32901.000,2788,3,PR,1,100,111626
1700426845.340945,32940.000,2788,3,PR,1,100,111610
1700426845.379767,32978.000,2805,3,PR,1,100,111602
1700426845.418589,33016.000,2805,3,PR,1,100,111616
1700426845.457412,33054.000,2805,3,PR,1,100,111621
1700426845.497255,33093.000,2821,2,PR,1,100,111623
1700426845.537099,33132.000,2821,2,PR,1,100,111653
1700426845.577284,33171.333,2837,3,PR,1,100,111663
1700426845.617468,33210.667,2837,3,PR,1,100,111675
1700426845.657653,33250.000,2837,3,PR,1,100,111657
1700426845.698519,33290.000,2854,2,PR,1,100,111676
1700426845.739384,33330.000,2854,2,PR,1,100,111675
1700426845.779569,33369.333,2871,3,PR,1,100,111671
1700426845.819753,33408.667,2871,3,PR,1,100,111675
1700426845.859938,33448.000,2871,3,PR,1,100,111700
1700426845.899782,33487.000,2888,2,PR,1,100,111714
1700426845.939626,33526.000,2888,2,PR,1,100,111692
1700426845.979129,33564.667,2903,3,PR,1,100,111707
1700426846.018633,33603.333,2903,3,PR,1,100,111709
1700426846.058136,33642.000,2903,3,PR,1,100,111709
1700426846.098661,33681.667,2919,3,PR,1,100,111696
1700426846.139186,33721.333,2919,3,PR,1,100,111694
1700426846.179711,33761.000,2919,3,PR,1,100,111673
1700426846.220066,33800.500,2933,2,PR,1,100,111663
1700426846.260421,33840.000,2933,2,PR,1,100,111659
1700426846.300265,33879.000,2952,2,PR,1,100,111647
1700426846.340109,33918.000,2952,2,PR,1,100,111635
1700426846.384380,33961.333,2967,3,PR,1,100,111651
1700426846.428651,34004.667,2967,3,PR,1,100,111653
1700426846.472922,34048.000,2967,3,PR,1,100,111649
1700426846.512766,34087.000,2983,3,PR,1,100,111652
1700426846.552610,34126.000,2983,3,PR,1,100,111643
1700426846.592454,34165.000,2983,3,PR,1,100,111651
1700426846.632298,34204.000,3000,2,PR,1,100,111647
1700426846.672142,34243.000,3000,2,PR,1,100,111653
1700426846.711986,34282.000,3016,3,PR,1,100,111654
1700426846.751830,34321.000,3016,3,PR,1,100,111676
1700426846.791674,34360.000,3016,3,PR,1,100,111673
1700426846.830496,34398.000,3031,2,PR,1,100,111669
1700426846.869318,34436.000,3031,2,PR,1,100,111691
1700426846.909163,34475.000,3053,4,PR,1,100,111683
1700426846.949006,34514.000,3053,4,PR,1,100,111676
1700426846.988850,34553.000,3053,4,PR,1,100,111671
1700426847.028694,34592.000,3053,4,PR,1,100,111688
1700426847.068538,34631.000,3070,3,PR,1,100,111694
1700426847.108382,34670.000,3070,3,PR,1,100,111683
1700426847.148226,34709.000,3070,3,PR,1,100,111697
1700426847.188070,34748.000,3086,3,PR,1,100,111692
1700426847.227914,34787.000,3086,3,PR,1,100,111690
1700426847.267758,34826.000,3086,3,PR,1,100,111691
1700426847.307602,34865.000,3103,2,PR,1,100,111697
1700426847.347446,34904.000,3103,2,PR,1,100,111693
1700426847.386950,34942.667,3119,3,PR,1,100,111702
1700426847.426453,34981.333,3119,3,PR,1,100,111716
1700426847.465956,35020.000,3119,3,PR,1,100,111714
1700426847.505290,35058.500,3134,2,PR,1,100,111717
1700426847.544623,35097.000,3134,2,PR,1,100,111730
1700426847.584126,35135.667,3153,3,PR,1,100,111730
1700426847.623630,35174.333,3153,3,PR,1,100,111722
1700426847.663133,35213.000,3153,3,PR,1,100,111724
1700426847.703999,35253.000,3168,3,PR,1,100,111730
1700426847.744864,35293.000,3168,3,PR,1,100,111729
1700426847.785730,35333.000,3168,3,PR,1,100,111733
1700426847.833236,35379.500,3183,2,PR,1,100,111760
1700426847.880743,35426.000,3183,2,PR,1,100,111745
1700426847.920586,35465.000,3199,2,PR,1,100,111756
1700426847.960430,35504.000,3199,2,PR,1,100,111757
1700426848.000274,35543.000,3215,3,PR,1,100,111748
1700426848.040118,35582.000,3215,3,PR,1,100,111751
1700426848.079962,35621.000,3215,3,PR,1,100,111744
1700426848.119806,35660.000,3230,3,PR,1,100,111751
1700426848.159650,35699.000,3230,3,PR,1,100,111741
1700426848.199494,35738.000,3230,3,PR,1,100,111754
1700426848.238827,35776.500,3246,2,PR,1,100,111751
1700426848.278161,35815.000,3246,2,PR,1,100,111726
1700426848.318005,35854.000,3263,3,PR,1,100,111716
1700426848.357848,35893.000,3263,3,PR,1,100,111695
1700426848.397692,35932.000,3263,3,PR,1,100,111669
1700426848.438558,35972.000,3279,2,PR,1,100,111657
1700426848.479424,36012.000,3279,2,PR,1,100,111681
1700426848.519268,36051.000,3295,3,PR,1,100,111692
1700426848.559112,36090.000,3295,3,PR,1,100,111682
1700426848.598956,36129.000,3295,3,PR,1,100,111708
1700426848.638800,36168.000,3313,3,PR,1,100,111703
1700426848.678644,36207.000,3313,3,PR,1,100,111688
1700426848.718488,36246.000,3313,3,PR,1,100,111691
1700426848.758332,36285.000,3327,2,PR,1,100,111689
1700426848.798176,36324.000,3327,2,PR,1,100,111681
1700426848.837679,36362.667,3343,3,PR,1,100,111656
1700426848.877182,36401.333,3343,3,PR,1,100,111652
1700426848.916686,36440.000,3343,3,PR,1,100,111639
1700426848.956019,36478.500,3359,2,PR,1,100,111604
1700426848.995352,36517.000,3359,2,PR,1,100,111588
1700426849.036218,36557.000,3375,3,PR,1,100,111584
1700426849.077083,36597.000,3375,3,PR,1,100,111576
1700426849.117949,36637.000,3375,3,PR,1,100,111551
1700426849.157793,36676.000,3389,2,PR,1,100,111544
1700426849.197637,36715.000,3389,2,PR,1,100,111554
1700426849.241908,36758.333,3406,3,PR,1,100,111539
1700426849.286179,36801.667,3406,3,PR,1,100,111554
1700426849.330450,36845.000,3406,3,PR,1,100,111558
1700426849.370294,36884.000,3423,2,PR,1,100,111577
1700426849.410138,36923.000,3423,2,PR,1,100,111567
1700426849.451004,36963.000,3439,3,PR,1,100,111549
1700426849.491869,37003.000,3439,3,PR,1,100,111539
1700426849.532735,37043.000,3439,3,PR,1,100,111544
