RD,TS_received,TS_sent,AK,RoundTrip,
29404,0,,34521,-29404,
34524,39628,2023-11-19_21-47-29-223793,39637,5104,
39650,
44747,
49866,
54975,
60075,
65248,
70338,
75459,
80565,
85699,
90809,
95926,101031,2023-11-19_21-48-32-605713,101046,5105,
101058,106183,2023-11-19_21-48-37-844354,106192,5125,
106204,111314,2023-11-19_21-48-42-989353,111318,5110,
111318,
116433,121540,2023-11-19_21-48-53-443007,121543,5107,
121543,
126642,131758,2023-11-19_21-49-03-330296,131766,5116,
131778,136866,2023-11-19_21-49-08-971943,136869,5088,
136869,141975,2023-11-19_21-49-13-870847,141978,5106,
141979,
147076,152191,2023-11-19_21-49-24-610686,152194,5115,
152194,
157300,
162437,
167545,
172666,177769,2023-11-19_21-49-51-290734,177773,5103,
177774,
182870,187986,2023-11-19_21-50-01-106770,187995,5116,
188007,
193099,
198228,
203323,
208441,213564,2023-11-19_21-50-28-019514,213573,5123,
213585,
218679,
223803,
228902,234028,2023-11-19_21-50-48-444987,234030,5126,
234031,239126,2023-11-19_21-50-53-796255,239135,5095,
239148,
244253,
249373,
254469,
259589,
264697,
269841,
274931,
280051,
285177,
290365,
295503,
300608,
305727,310879,2023-11-19_21-52-07-354728,310882,5152,
310882,316008,2023-11-19_21-52-12-173800,316017,5126,
316035,321144,2023-11-19_21-52-17-844365,321147,5109,
321148,
326255,
331393,
336513,341635,2023-11-19_21-52-38-952745,341644,5122,
341656,346729,2023-11-19_21-52-44-027899,346738,5073,
346750,
351846,
356956,362083,2023-11-19_21-53-00-139579,362093,5127,
362105,367222,2023-11-19_21-53-04-914052,367226,5117,
367226,372343,2023-11-19_21-53-09-988170,372352,5117,
372365,
377460,382601,2023-11-19_21-53-20-535892,382609,5141,
382621,
387700,
392827,
397955,
403064,408198,2023-11-19_21-53-46-632149,408207,5134,
408219,0,,413283,-408219,
413283,418418,2023-11-19_21-53-56-472610,418426,5135,
418438,
423572,
428680,0,,433790,-428680,
433790,
438896,
444004,
449143,
454232,
459352,
464473,469598,2023-11-19_21-54-49-525591,469601,5125,
469601,
474702,479818,2023-11-19_21-55-00-120337,479821,5116,
479821,
484930,490062,2023-11-19_21-55-10-828224,490070,5132,
490083,495169,2023-11-19_21-55-15-588915,495172,5086,
495172,500277,2023-11-19_21-55-20-834108,500286,5105,
500298,
505399,
577139,
582247,587363,2023-11-19_21-56-49-041486,587366,5116,
587366,592484,2023-11-19_21-56-54-925119,592493,5118,
592505,597621,2023-11-19_21-57-00-770845,597624,5116,
597625,
602721,607876,2023-11-19_21-57-10-912212,607879,5155,
607879,612984,2023-11-19_21-57-16-075371,612992,5105,
613004,
618107,
623215,
668030,
673138,678254,2023-11-19_21-58-21-564665,678263,5116,
678275,0,,683374,-678275,
683377,
688484,
693592,698708,2023-11-19_21-58-44-417199,698711,5116,
698711,
703808,
708916,
714053,
719177,
724277,729393,2023-11-19_21-59-16-086532,729396,5116,
729397,
734493,
739601,
744724,
749826,754942,2023-11-19_21-59-42-058489,754944,5116,
754945,
760048,
765168,
770354,
775463,780579,2023-11-19_22-00-08-307489,780582,5116,
780582,
785679,
790787,795921,2023-11-19_22-00-24-159422,795924,5134,
795924,
801031,
806156,
811313,
816458,
821553,
826693,831798,2023-11-19_22-01-00-454516,831801,5105,
831801,836905,2023-11-19_22-01-05-486737,836908,5104,
836908,
842005,847147,2023-11-19_22-01-16-419629,847156,5142,
847168,852274,2023-11-19_22-01-21-827888,852276,5106,
852277,
857373,
862522,
867628,872749,2023-11-19_22-01-42-862444,872759,5121,
872771,877841,2023-11-19_22-01-47-314103,877849,5070,
877861,
882959,
888067,
893186,
898284,
903392,
908529,
913619,918723,2023-11-19_22-02-29-406566,918727,5104,
918727,923832,2023-11-19_22-02-34-665124,923835,5105,
923836,928941,2023-11-19_22-02-39-383709,928945,5105,
928945,
934046,939162,2023-11-19_22-02-50-624462,939171,5116,
939183,
944292,
949400,
954513,
959621,
964760,
969867,974983,2023-11-19_22-03-26-953420,974992,5116,
975004,
980083,
985191,
990299,995434,2023-11-19_22-03-48-190524,995442,5135,
995454,1000556,2023-11-19_22-03-52-278135,1000566,5102,
1000578,1005693,2023-11-19_22-03-57-286477,1005696,5115,
1005696,1010816,2023-11-19_22-04-03-445532,1010819,5120,
1010820,1015946,2023-11-19_22-04-08-352578,1015955,5126,
1015967,1021077,2023-11-19_22-04-13-815191,1021079,5110,
1021080,1026192,2023-11-19_22-04-19-608930,1026195,5112,
1026195,1031318,2023-11-19_22-04-24-331988,1031328,5123,
1031341,1036454,2023-11-19_22-04-29-326877,1036457,5113,
1036457,1041570,2023-11-19_22-04-33-625453,1041578,5113,
1041590,1046698,2023-11-19_22-04-38-404540,1046707,5108,
1046719,1051806,2023-11-19_22-04-43-712094,1051820,5087,
1051832,1056946,2023-11-19_22-04-49-109080,1056956,5114,
1056968,1062080,2023-11-19_22-04-54-008993,1062082,5112,
1062083,1067190,2023-11-19_22-05-00-283006,1067193,5107,
1067194,1072296,2023-11-19_22-05-06-402821,1072300,5102,
1072301,
1077397,1082514,2023-11-19_22-05-16-784056,1082522,5117,
1082534,
