LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1700426841.912319,29584,2252,1,BI,1,100,5760
1700426845.859938,33448,2868,1,BI,1,100,3920
1700426847.066495,34629,3067,1,BI,1,100,1200
1700426850.369458,37862,3569,1,BI,1,100,3280
1700426851.697591,39162,3780,1,BI,1,100,1320
1700426853.063524,40499,4001,1,BI,1,100,1360
1700426855.199774,42590,4333,1,BI,1,100,2120
1700426860.272219,47555,5105,1,BI,1,100,5040
1700426861.003713,48271,5221,1,BI,1,100,720
1700426862.036592,49282,5383,1,BI,1,100,1040
1700426863.011236,50236,5532,1,BI,1,100,960
1700426863.939908,51145,5678,1,BI,1,100,920
1700426864.859384,52045,5824,1,BI,1,100,920
1700426865.864678,53029,5986,1,BI,1,100,1000
1700426866.793349,53938,6133,1,BI,1,100,920
1700426867.832357,54955,6298,1,BI,1,100,1040
1700426868.681341,55786,6430,1,BI,1,100,840
1700426869.698895,56782,6576,1,BI,1,100,1000
1700426870.653106,57716,6737,1,BI,1,100,960
1700426871.664531,58706,6884,1,BI,1,100,1000
1700426872.558466,59581,7029,1,BI,1,100,880
1700426873.473856,60477,7162,1,BI,1,100,920
1700426874.439306,61422,7324,1,BI,1,100,960
1700426876.372249,63314,7615,1,BI,1,100,1920
1700426877.379587,64300,7777,1,BI,1,100,1000
1700426878.304171,65205,7929,1,BI,1,100,920
1700426879.307422,66187,8075,1,BI,1,100,1000
1700426880.437356,67293,8237,1,BI,1,100,1120
1700426882.127150,68947,8497,1,BI,1,100,1680
1700426883.176374,69974,8678,1,BI,1,100,1040
1700426883.895609,70678,8781,1,BI,1,100,720
1700426884.670013,71436,8894,1,BI,1,100,760
1700426886.710228,73433,9220,1,BI,1,100,2040
1700426887.640943,74344,9370,1,BI,1,100,920
1700426889.645401,76306,9683,1,BI,1,100,2000
1700426890.578159,77219,9817,1,BI,1,100,920
1700426891.256528,77883,9936,1,BI,1,100,680
1700426892.743015,79338,10134,1,BI,1,100,1480
1700426893.597106,80174,10270,1,BI,1,100,840
1700426894.765863,81318,10448,1,BI,1,100,1160
1700426896.257458,82778,10677,1,BI,1,100,1480
1700426897.783788,84272,10921,1,BI,1,100,1520
1700426899.309098,85765,11159,1,BI,1,100,1520
1700426900.358322,86792,11323,1,BI,1,100,1040
