LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1700035540.824433,276159.000,41692,2,RD,1,100,TU
1700035543.439493,278713.500,42491,2,RD,1,100,TL
1700035546.054554,281268.000,42491,2,RD,1,100,TU
1700035548.678315,283831.000,43292,2,RD,1,100,TL
1700035551.302077,286394.000,43292,2,RD,1,100,TU
1700035553.931469,288962.500,44099,2,RD,1,100,TL
1700035556.560861,291531.000,44099,2,RD,1,100,TU
1700035559.173874,294083.500,44903,2,RD,1,100,TL
1700035561.786886,296636.000,44903,2,RD,1,100,TU
1700035564.409112,299197.500,45706,2,RD,1,100,TL
1700035567.031339,301759.000,45706,2,RD,1,100,TU
1700035569.639745,304307.000,46498,2,RD,1,100,TL
1700035572.248151,306855.000,46498,2,RD,1,100,TU
1700035574.886244,309432.000,47293,2,RD,1,100,TL
1700035577.524338,312009.000,47293,2,RD,1,100,TU
1700035580.132232,314556.500,48070,2,RD,1,100,TL
1700035582.740126,317104.000,48070,2,RD,1,100,TU
1700035585.359281,319662.500,48839,2,RD,1,100,TL
1700035587.978436,322221.000,48839,2,RD,1,100,TU
1700035590.622160,324803.500,49648,2,RD,1,100,TL
1700035593.265884,327386.000,49648,2,RD,1,100,TU
1700035595.873267,329933.000,50454,2,RD,1,100,TL
1700035598.480649,332480.000,50454,2,RD,1,100,TU
1700035601.116695,335055.000,51258,2,RD,1,100,TL
1700035603.752741,337630.000,51258,2,RD,1,100,TU
1700035606.371385,340188.000,52050,2,RD,1,100,TL
1700035608.990028,342746.000,52050,2,RD,1,100,TU
1700035611.609694,345305.000,52895,2,RD,1,100,TL
1700035614.229361,347864.000,52895,2,RD,1,100,TU
1700035616.843910,350418.000,53736,2,RD,1,100,TL
1700035619.458458,352972.000,53736,2,RD,1,100,TU
1700035622.078637,355531.500,54579,2,RD,1,100,TL
1700035624.698815,358091.000,54579,2,RD,1,100,TU
1700035627.320018,360651.500,55420,2,RD,1,100,TL
1700035629.941220,363212.000,55420,2,RD,1,100,TU
1700035632.555768,365766.000,56264,2,RD,1,100,TL
1700035635.170317,368320.000,56264,2,RD,1,100,TU
1700035637.799709,370888.500,57113,2,RD,1,100,TL
1700035640.429101,373457.000,57113,2,RD,1,100,TU
1700035643.028805,375996.500,57943,2,RD,1,100,TL
1700035645.628510,378536.000,57943,2,RD,1,100,TU
1700035648.243058,381090.000,58786,2,RD,1,100,TL
1700035650.857607,383644.000,58786,2,RD,1,100,TU
1700035653.478297,386204.000,59629,2,RD,1,100,TL
1700035656.098988,388764.000,59629,2,RD,1,100,TU
1700035658.723773,391328.000,60486,2,RD,1,100,TL
1700035661.348559,393892.000,60486,2,RD,1,100,TU
1700035663.971808,396454.500,61335,2,RD,1,100,TL
1700035666.595058,399017.000,61335,2,RD,1,100,TU
1700035669.206024,401567.500,62176,2,RD,1,100,TL
1700035671.816989,404118.000,62176,2,RD,1,100,TU
1700035674.449452,406689.500,63020,2,RD,1,100,TL
1700035677.081915,409261.000,63020,2,RD,1,100,TU
1700035679.738948,411856.500,63881,2,RD,1,100,TL
1700035682.395980,414452.000,63881,2,RD,1,100,TU
