LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1700035289.686523,30837.000,2630,1,B%,1,100, 8
1700035290.686685,31814.000,2790,1,B%,1,100, 8
1700035291.687871,32792.000,2936,1,B%,1,100, 8
1700035292.690080,33771.000,3099,1,B%,1,100, 8
1700035293.686147,34744.000,3264,1,B%,1,100, 8
1700035294.682214,35717.000,3419,1,B%,1,100, 8
1700035295.680329,36692.000,3564,1,B%,1,100, 8
1700035296.674349,37663.000,3731,1,B%,1,100, 8
1700035297.676558,38642.000,3895,1,B%,1,100, 8
1700035298.675697,39618.000,4046,1,B%,1,100,10
1700035299.671764,40591.000,4211,1,B%,1,100,10
1700035300.671926,41568.000,4345,1,B%,1,100,10
1700035301.666969,42540.000,4510,1,B%,1,100, 9
1700035302.667131,43517.000,4676,1,B%,1,100, 8
1700035303.667293,44494.000,4819,1,B%,1,100, 8
1700035304.663360,45467.000,4986,1,B%,1,100, 9
1700035305.662498,46443.000,5153,1,B%,1,100, 8
1700035306.660613,47418.000,5302,1,B%,1,100, 9
1700035307.655657,48390.000,5464,1,B%,1,100, 9
1700035308.651724,49363.000,5605,1,B%,1,100, 8
1700035309.647791,50336.000,5768,1,B%,1,100, 9
1700035310.644882,51310.000,5918,1,B%,1,100, 9
1700035311.648115,52290.000,6078,1,B%,1,100,10
1700035312.641111,53260.000,6222,1,B%,1,100, 9
1700035313.636154,54232.000,6384,1,B%,1,100, 9
1700035314.638364,55211.000,6529,1,B%,1,100, 9
1700035315.637502,56187.000,6682,1,B%,1,100, 8
1700035316.640735,57167.000,6845,1,B%,1,100, 8
1700035317.637826,58141.000,7007,1,B%,1,100, 8
1700035318.637988,59118.000,7152,1,B%,1,100, 8
1700035319.640197,60097.000,7317,1,B%,1,100, 9
1700035320.635241,61069.000,7470,1,B%,1,100, 9
1700035321.636426,62047.000,7618,1,B%,1,100, 8
1700035322.634541,63022.000,7760,1,B%,1,100, 9
1700035323.632656,63997.000,7923,1,B%,1,100,10
1700035324.631794,64973.000,8085,1,B%,1,100,10
1700035325.631956,65950.000,8230,1,B%,1,100,10
1700035326.632118,66927.000,8385,1,B%,1,100,10
