LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1700035289.293420,30453.000,2555,15,AZ,1,100,0.241
1700035289.293420,30453.000,2555,15,AZ,1,100,0.246
1700035289.293420,30453.000,2555,15,AZ,1,100,0.240
1700035289.293420,30453.000,2555,15,AZ,1,100,0.234
1700035289.293420,30453.000,2555,15,AZ,1,100,0.242
1700035289.293420,30453.000,2555,15,AZ,1,100,0.242
1700035289.293420,30453.000,2555,15,AZ,1,100,0.242
1700035289.293420,30453.000,2555,15,AZ,1,100,0.239
1700035289.293420,30453.000,2555,15,AZ,1,100,0.245
1700035289.293420,30453.000,2555,15,AZ,1,100,0.236
1700035289.293420,30453.000,2555,15,AZ,1,100,0.231
1700035289.293420,30453.000,2555,15,AZ,1,100,0.250
1700035289.293420,30453.000,2555,15,AZ,1,100,0.238
1700035289.293420,30453.000,2555,15,AZ,1,100,0.236
1700035289.293420,30453.000,2555,15,AZ,1,100,0.247
1700035289.332662,30491.333,2572,3,AZ,1,100,0.244
1700035289.371904,30529.667,2572,3,AZ,1,100,0.236
1700035289.411146,30568.000,2572,3,AZ,1,100,0.236
1700035289.446635,30602.667,2589,3,AZ,1,100,0.239
1700035289.482123,30637.333,2589,3,AZ,1,100,0.234
1700035289.517612,30672.000,2589,3,AZ,1,100,0.239
1700035289.558048,30711.500,2604,2,AZ,1,100,0.245
1700035289.598484,30751.000,2604,2,AZ,1,100,0.242
1700035289.639433,30791.000,2622,3,AZ,1,100,0.246
1700035289.680381,30831.000,2622,3,AZ,1,100,0.237
1700035289.721329,30871.000,2622,3,AZ,1,100,0.235
1700035289.761254,30910.000,2640,2,AZ,1,100,0.245
1700035289.801178,30949.000,2640,2,AZ,1,100,0.235
1700035289.841103,30988.000,2655,3,AZ,1,100,0.240
1700035289.881027,31027.000,2655,3,AZ,1,100,0.245
1700035289.920952,31066.000,2655,3,AZ,1,100,0.244
1700035289.960877,31105.000,2670,3,AZ,1,100,0.242
1700035290.000801,31144.000,2670,3,AZ,1,100,0.249
1700035290.040726,31183.000,2670,3,AZ,1,100,0.250
1700035290.080651,31222.000,2686,2,AZ,1,100,0.242
1700035290.120575,31261.000,2686,2,AZ,1,100,0.248
1700035290.160158,31299.667,2702,3,AZ,1,100,0.244
1700035290.199742,31338.333,2702,3,AZ,1,100,0.246
1700035290.239325,31377.000,2702,3,AZ,1,100,0.264
1700035290.280273,31417.000,2719,2,AZ,1,100,0.265
1700035290.321222,31457.000,2719,2,AZ,1,100,0.255
1700035290.361146,31496.000,2736,3,AZ,1,100,0.244
1700035290.401071,31535.000,2736,3,AZ,1,100,0.254
1700035290.440995,31574.000,2736,3,AZ,1,100,0.248
1700035290.480920,31613.000,2750,2,AZ,1,100,0.239
