LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1700035477.903291,214695.000,31967,2,AK,1,100,RD
1700035477.912504,214704.000,31969,2,AK,1,100,31145
1700035477.921717,214713.000,31969,2,AK,1,100,RD
1700035477.927860,214719.000,31971,2,AK,1,100,31145
1700035477.934002,214725.000,31971,2,AK,1,100,RD
1700035480.532683,217263.500,32745,2,AK,1,100,31972
1700035483.131364,219802.000,32745,2,AK,1,100,RD
1700035485.757684,222367.500,33565,2,AK,1,100,32746
1700035488.384006,224933.000,33565,2,AK,1,100,RD
1700035488.390148,224939.000,33567,2,AK,1,100,32746
1700035488.396290,224945.000,33567,2,AK,1,100,RD
1700035491.010838,227499.000,34392,2,AK,1,100,33568
1700035493.625387,230053.000,34392,2,AK,1,100,RD
1700035498.864208,235170.500,36017,2,AK,1,100,34393
1700035504.103030,240288.000,36017,2,AK,1,100,RD
1700035504.108661,240293.500,36019,2,AK,1,100,34393
1700035504.114291,240299.000,36019,2,AK,1,100,RD
1700035506.739588,242863.500,36828,2,AK,1,100,36020
1700035509.364886,245428.000,36828,2,AK,1,100,RD
1700035514.600636,250542.500,38432,2,AK,1,100,37632
1700035519.836387,255657.000,38432,2,AK,1,100,RD
1700035519.842529,255663.000,38434,2,AK,1,100,37632
1700035519.848671,255669.000,38434,2,AK,1,100,RD
1700035525.098242,260797.000,40073,2,AK,1,100,39254
1700035530.347813,265925.000,40073,2,AK,1,100,RD
1700035530.353955,265931.000,40075,2,AK,1,100,39254
1700035530.360098,265937.000,40075,2,AK,1,100,RD
1700035535.581516,271037.500,41688,2,AK,1,100,40076
1700035540.802935,276138.000,41688,2,AK,1,100,RD
1700035540.811637,276146.500,41690,2,AK,1,100,40076
1700035540.820338,276155.000,41690,2,AK,1,100,RD
1700035540.822386,276157.000,41691,2,AK,1,100,40870
1700035540.824433,276159.000,41691,2,AK,1,100,RD
1700035546.094478,281307.000,43294,2,AK,1,100,42491
1700035551.364523,286455.000,43294,2,AK,1,100,RD
1700035553.956550,288987.000,44096,2,AK,1,100,43292
1700035556.548576,291519.000,44096,2,AK,1,100,RD
1700035556.554719,291525.000,44098,2,AK,1,100,43292
1700035556.560861,291531.000,44098,2,AK,1,100,RD
1700035559.173874,294083.500,44902,2,AK,1,100,44099
1700035561.786886,296636.000,44902,2,AK,1,100,RD
1700035564.409112,299197.500,45705,2,AK,1,100,44903
1700035567.031339,301759.000,45705,2,AK,1,100,RD
1700035572.277838,306884.000,47292,2,AK,1,100,45706
1700035577.524338,312009.000,47292,2,AK,1,100,RD
