LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1700035292.467936,33554.000,3057,3,AX,1,100,0.162
1700035292.507860,33593.000,3057,3,AX,1,100,0.156
1700035292.548809,33633.000,3072,2,AX,1,100,0.160
1700035292.589757,33673.000,3072,2,AX,1,100,0.155
1700035292.630023,33712.333,3089,3,AX,1,100,0.156
1700035292.670289,33751.667,3089,3,AX,1,100,0.155
1700035292.710554,33791.000,3089,3,AX,1,100,0.156
1700035292.750479,33830.000,3105,3,AX,1,100,0.157
1700035292.790404,33869.000,3105,3,AX,1,100,0.158
1700035292.830328,33908.000,3105,3,AX,1,100,0.159
1700035292.870253,33947.000,3123,2,AX,1,100,0.161
1700035292.910177,33986.000,3123,2,AX,1,100,0.159
1700035292.945666,34020.667,3140,3,AX,1,100,0.158
1700035292.981154,34055.333,3140,3,AX,1,100,0.159
1700035293.016643,34090.000,3140,3,AX,1,100,0.165
1700035293.055885,34128.333,3157,3,AX,1,100,0.162
1700035293.095127,34166.667,3157,3,AX,1,100,0.164
1700035293.134369,34205.000,3157,3,AX,1,100,0.165
1700035293.174294,34244.000,3172,2,AX,1,100,0.168
1700035293.214218,34283.000,3172,2,AX,1,100,0.162
1700035293.254143,34322.000,3189,3,AX,1,100,0.161
1700035293.294068,34361.000,3189,3,AX,1,100,0.170
1700035293.333992,34400.000,3189,3,AX,1,100,0.166
1700035293.373917,34439.000,3205,3,AX,1,100,0.163
1700035293.413841,34478.000,3205,3,AX,1,100,0.168
1700035293.453766,34517.000,3205,3,AX,1,100,0.160
1700035293.493690,34556.000,3221,2,AX,1,100,0.162
1700035293.533615,34595.000,3221,2,AX,1,100,0.171
1700035293.573540,34634.000,3238,3,AX,1,100,0.161
1700035293.613464,34673.000,3238,3,AX,1,100,0.171
1700035293.653389,34712.000,3238,3,AX,1,100,0.158
1700035293.692290,34750.000,3254,2,AX,1,100,0.153
1700035293.731190,34788.000,3254,2,AX,1,100,0.175
1700035293.771115,34827.000,3271,3,AX,1,100,0.149
1700035293.811040,34866.000,3271,3,AX,1,100,0.158
1700035293.850964,34905.000,3271,3,AX,1,100,0.159
1700035293.890889,34944.000,3287,3,AX,1,100,0.141
1700035293.930814,34983.000,3287,3,AX,1,100,0.161
1700035293.970738,35022.000,3287,3,AX,1,100,0.154
1700035294.010663,35061.000,3303,2,AX,1,100,0.156
1700035294.050587,35100.000,3303,2,AX,1,100,0.146
1700035294.090512,35139.000,3323,3,AX,1,100,0.164
1700035294.130436,35178.000,3323,3,AX,1,100,0.147
1700035294.170361,35217.000,3323,3,AX,1,100,0.154
1700035294.210797,35256.500,3337,2,AX,1,100,0.147
1700035294.251234,35296.000,3337,2,AX,1,100,0.145
