LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1667057458.891213,72578.000,9819,2,EA,1,100,0.030195
1667057458.891213,72578.000,9819,2,EA,1,100,0.030195
1667057458.957765,72643.000,9837,2,EA,1,100,0.030195
1667057459.024318,72708.000,9837,2,EA,1,100,0.030195
1667057459.089847,72772.000,9853,1,EA,1,100,0.030195
1667057459.156399,72837.000,9871,2,EA,1,100,0.030195
1667057459.222952,72902.000,9871,2,EA,1,100,0.030195
1667057459.289505,72967.000,9890,1,EA,1,100,0.030196
1667057459.356057,73032.000,9906,2,EA,1,100,0.030196
1667057459.422610,73097.000,9906,2,EA,1,100,0.030195
1667057459.489162,73162.000,9922,1,EA,1,100,0.030195
1667057459.557763,73229.000,9942,2,EA,1,100,0.030196
1667057459.626363,73296.000,9942,2,EA,1,100,0.030195
1667057459.692916,73361.000,9958,2,EA,1,100,0.030196
1667057459.759469,73426.000,9958,2,EA,1,100,0.030196
1667057459.826021,73491.000,9975,1,EA,1,100,0.030196
1667057459.891550,73555.000,9991,2,EA,1,100,0.030196
1667057459.957078,73619.000,9991,2,EA,1,100,0.030196
1667057460.025679,73686.000,10008,1,EA,1,100,0.030196
1667057460.092232,73751.000,10024,2,EA,1,100,0.030196
1667057460.158784,73816.000,10024,2,EA,1,100,0.030196
1667057460.225337,73881.000,10042,1,EA,1,100,0.030196
1667057460.291889,73946.000,10057,2,EA,1,100,0.030196
1667057460.358442,74011.000,10057,2,EA,1,100,0.030196
1667057460.423971,74075.000,10074,1,EA,1,100,0.030196
1667057460.490011,74139.500,10091,2,EA,1,100,0.030196
1667057460.556052,74204.000,10091,2,EA,1,100,0.030196
1667057460.624141,74270.500,10110,2,EA,1,100,0.030196
1667057460.692229,74337.000,10110,2,EA,1,100,0.030196
1667057460.758782,74402.000,10126,1,EA,1,100,0.030196
1667057460.825334,74467.000,10143,2,EA,1,100,0.030196
1667057460.891887,74532.000,10143,2,EA,1,100,0.030196
1667057460.958440,74597.000,10159,1,EA,1,100,0.030196
1667057461.024992,74662.000,10178,2,EA,1,100,0.030196
1667057461.091545,74727.000,10178,2,EA,1,100,0.030196
1667057461.157073,74791.000,10194,1,EA,1,100,0.030196
1667057461.224138,74856.500,10211,2,EA,1,100,0.030196
1667057461.291203,74922.000,10211,2,EA,1,100,0.030196
1667057461.355707,74985.000,10227,1,EA,1,100,0.030196
1667057461.422260,75050.000,10244,2,EA,1,100,0.030196
1667057461.488813,75115.000,10244,2,EA,1,100,0.030196
1667057461.554853,75179.500,10261,2,EA,1,100,0.030196
1667057461.620894,75244.000,10261,2,EA,1,100,0.030196
1667057461.689494,75311.000,10280,1,EA,1,100,0.030196
1667057461.756047,75376.000,10295,2,EA,1,100,0.030196
1667057461.822600,75441.000,10295,2,EA,1,100,0.030196
1667057461.889152,75506.000,10315,1,EA,1,100,0.030196
1667057461.954681,75570.000,10331,2,EA,1,100,0.030196
1667057462.020210,75634.000,10331,2,EA,1,100,0.030196
1667057462.085738,75698.000,10348,1,EA,1,100,0.030196
1667057462.152803,75763.500,10364,2,EA,1,100,0.030196
1667057462.219868,75829.000,10364,2,EA,1,100,0.030196
1667057462.288468,75896.000,10381,1,EA,1,100,0.030196
1667057462.355533,75961.500,10397,2,EA,1,100,0.030196
1667057462.422597,76027.000,10397,2,EA,1,100,0.030196
1667057462.489150,76092.000,10415,2,EA,1,100,0.030196
1667057462.555702,76157.000,10415,2,EA,1,100,0.030196
1667057462.621743,76221.500,10435,2,EA,1,100,0.030196
1667057462.687784,76286.000,10435,2,EA,1,100,0.030196
1667057462.755360,76352.000,10452,1,EA,1,100,0.030196
1667057462.821913,76417.000,10468,2,EA,1,100,0.030196
1667057462.888465,76482.000,10468,2,EA,1,100,0.030196
1667057462.957066,76549.000,10485,1,EA,1,100,0.030196
1667057463.023618,76614.000,10501,2,EA,1,100,0.030196
1667057463.090171,76679.000,10501,2,EA,1,100,0.030196
1667057463.156724,76744.000,10518,1,EA,1,100,0.030196
1667057463.222764,76808.500,10535,2,EA,1,100,0.030196
1667057463.288805,76873.000,10535,2,EA,1,100,0.030196
1667057463.354846,76937.500,10551,2,EA,1,100,0.030196
1667057463.420887,77002.000,10551,2,EA,1,100,0.030196
1667057463.486415,77066.000,10569,1,EA,1,100,0.030196
1667057463.552968,77131.000,10589,2,EA,1,100,0.030196
