LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1667057458.983363,72668,9831,1,BI,1,100,880
1667057461.050589,74687,10172,1,BI,1,100,2040
1667057461.846149,75464,10308,1,BI,1,100,800
1667057462.661163,76260,10429,1,BI,1,100,800
1667057463.458770,77039,10563,1,BI,1,100,800
1667057464.229757,77792,10684,1,BI,1,100,760
1667057465.031460,78575,10794,1,BI,1,100,800
1667057467.376160,80865,11149,1,BI,1,100,2320
1667057468.907894,82361,11404,1,BI,1,100,1520
1667057469.801747,83234,11562,1,BI,1,100,880
1667057471.417440,84812,11816,1,BI,1,100,1600
1667057473.425281,86773,12153,1,BI,1,100,2000
1667057476.566565,89841,12667,1,BI,1,100,3120
1667057477.421510,90676,12801,1,BI,1,100,840
1667057478.179186,91416,12920,1,BI,1,100,760
1667057478.911265,92131,13041,1,BI,1,100,720
1667057479.636176,92839,13161,1,BI,1,100,720
1667057480.524910,93707,13317,1,BI,1,100,880
1667057481.259036,94424,13438,1,BI,1,100,720
1667057482.019784,95167,13558,1,BI,1,100,760
1667057482.956640,96082,13710,1,BI,1,100,920
1667057483.713292,96821,13847,1,BI,1,100,760
1667057484.448442,97539,13966,1,BI,1,100,720
1667057485.402705,98471,14119,1,BI,1,100,960
1667057486.136831,99188,14228,1,BI,1,100,720
1667057487.624538,100641,14483,1,BI,1,100,1480
1667057488.340235,101340,14601,1,BI,1,100,720
1667057490.770941,103714,14995,1,BI,1,100,2400
1667057492.380491,105286,15264,1,BI,1,100,1600
1667057493.951133,106820,15520,1,BI,1,100,1560
1667057494.607444,107461,15624,1,BI,1,100,640
1667057495.404027,108239,15758,1,BI,1,100,800
1667057496.258973,109074,15900,1,BI,1,100,840
1667057497.057604,109854,16036,1,BI,1,100,800
1667057498.590362,111351,16276,1,BI,1,100,1520
1667057499.279438,112024,16393,1,BI,1,100,680
1667057499.996158,112724,16514,1,BI,1,100,720
1667057500.892059,113599,16650,1,BI,1,100,880
1667057503.756893,116397,17128,1,BI,1,100,2840
1667057504.484876,117108,17245,1,BI,1,100,720
1667057505.204669,117811,17365,1,BI,1,100,720
1667057505.982822,118571,17486,1,BI,1,100,760
1667057508.229229,120765,17862,1,BI,1,100,2240
1667057510.041508,122535,18151,1,BI,1,100,1800
1667057511.450376,123911,18386,1,BI,1,100,1400
1667057512.824432,125253,18613,1,BI,1,100,1360
1667057514.393026,126785,18866,1,BI,1,100,1560
1667057516.018957,128373,19138,1,BI,1,100,1600
1667057518.590960,130885,19550,1,BI,1,100,2560
1667057519.443858,131718,19684,1,BI,1,100,840
1667057522.058864,134272,20108,1,BI,1,100,2600
1667057522.779680,134976,20214,1,BI,1,100,720
1667057523.587526,135765,20351,1,BI,1,100,800
1667057524.431208,136589,20485,1,BI,1,100,840
1667057525.162263,137303,20605,1,BI,1,100,720
1667057525.994683,138116,20759,1,BI,1,100,840
1667057526.887512,138988,20896,1,BI,1,100,880
1667057529.188185,141235,21273,1,BI,1,100,2280
1667057530.189546,142213,21443,1,BI,1,100,1000
1667057532.928442,144888,21873,1,BI,1,100,2720
1667057533.974854,145910,22059,1,BI,1,100,1040
1667057534.789868,146706,22179,1,BI,1,100,800
1667057537.277912,149136,22584,1,BI,1,100,2480
1667057538.929441,150749,22860,1,BI,1,100,1640
1667057541.224994,152991,23247,1,BI,1,100,2280
1667057542.077891,153824,23384,1,BI,1,100,840
1667057544.446141,156137,23742,1,BI,1,100,2360
1667057545.255011,156927,23879,1,BI,1,100,800
1667057546.946471,158579,24167,1,BI,1,100,1680
1667057548.557045,160152,24429,1,BI,1,100,1600
1667057550.821882,162364,24800,1,BI,1,100,2240
1667057552.993545,164485,25155,1,BI,1,100,2160
1667057555.289098,166727,25512,1,BI,1,100,2280
1667057556.008891,167430,25632,1,BI,1,100,720
1667057557.340967,168731,25851,1,BI,1,100,1320
1667057559.410241,170752,26180,1,BI,1,100,2040
1667057562.098967,173378,26620,1,BI,1,100,2680
1667057563.554934,174800,26859,1,BI,1,100,1440
1667057565.736836,176931,27216,1,BI,1,100,2160
1667057566.414649,177593,27317,1,BI,1,100,680
1667057567.147751,178309,27438,1,BI,1,100,720
1667057568.364128,179497,27640,1,BI,1,100,1200
1667057569.855931,180954,27869,1,BI,1,100,1480
1667057570.531696,181614,27988,1,BI,1,100,680
1667057573.480489,184494,28461,1,BI,1,100,2920
1667057575.011199,185989,28702,1,BI,1,100,1520
1667057577.553509,188472,29124,1,BI,1,100,2520
1667057578.766815,189657,29311,1,BI,1,100,1200
1667057580.098891,190958,29535,1,BI,1,100,1320
1667057581.352128,192182,29738,1,BI,1,100,1240
1667057584.336757,195097,30226,1,BI,1,100,2960
1667057585.549039,196281,30420,1,BI,1,100,1200
1667057586.588283,197296,30590,1,BI,1,100,1040
1667057587.956196,198632,30809,1,BI,1,100,1360
1667057590.661304,201274,31254,1,BI,1,100,2680
1667057592.114198,202693,31490,1,BI,1,100,1440
1667057593.445251,203993,31712,1,BI,1,100,1320
1667057594.938077,205451,31948,1,BI,1,100,1480
1667057597.400524,207856,32360,1,BI,1,100,2440
1667057600.384129,210770,32849,1,BI,1,100,2960
1667057601.720301,212075,33056,1,BI,1,100,1320
1667057602.596748,212931,33194,1,BI,1,100,880
1667057604.292304,214587,33463,1,BI,1,100,1680
1667057605.624380,215888,33685,1,BI,1,100,1320
1667057606.517209,216760,33829,1,BI,1,100,880
1667057607.196046,217423,33930,1,BI,1,100,680
1667057608.249625,218452,34100,1,BI,1,100,1040
1667057610.470435,220621,34473,1,BI,1,100,2200
1667057611.723672,221845,34664,1,BI,1,100,1240
1667057613.099775,223189,34901,1,BI,1,100,1360
1667057615.549936,225582,35290,1,BI,1,100,2440
1667057616.401809,226414,35444,1,BI,1,100,840
1667057617.774841,227755,35653,1,BI,1,100,1360
1667057618.902140,228856,35838,1,BI,1,100,1120
1667057620.102135,230028,36037,1,BI,1,100,1200
1667057620.797354,230707,36137,1,BI,1,100,680
1667057622.003492,231885,36335,1,BI,1,100,1200
1667057622.646492,232513,36437,1,BI,1,100,640
1667057623.936589,233773,36634,1,BI,1,100,1280
1667057627.207907,236968,37141,1,BI,1,100,3240
1667057628.018825,237760,37274,1,BI,1,100,800
1667057628.932132,238652,37421,1,BI,1,100,920
1667057630.836560,240512,37714,1,BI,1,100,1880
1667057631.831778,241484,37877,1,BI,1,100,1000
1667057632.448158,242086,37963,1,BI,1,100,600
1667057633.165902,242787,38076,1,BI,1,100,720
1667057633.816070,243422,38191,1,BI,1,100,640
1667057634.655657,244242,38323,1,BI,1,100,840
1667057635.466575,245034,38454,1,BI,1,100,800
1667057636.316401,245864,38584,1,BI,1,100,840
1667057637.892162,247403,38825,1,BI,1,100,1560
1667057639.821164,249287,39138,1,BI,1,100,1920
1667057640.458021,249909,39237,1,BI,1,100,640
1667057641.268939,250701,39368,1,BI,1,100,800
