LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1667057458.905547,72592.000,9816,3,PI,1,100,179348
1667057458.905547,72592.000,9816,3,PI,1,100,179355
1667057458.905547,72592.000,9816,3,PI,1,100,179354
1667057458.945138,72630.667,9834,3,PI,1,100,179342
1667057458.984728,72669.333,9834,3,PI,1,100,179367
1667057459.024318,72708.000,9834,3,PI,1,100,179361
1667057459.063738,72746.500,9850,2,PI,1,100,179366
1667057459.103157,72785.000,9850,2,PI,1,100,179385
1667057459.143089,72824.000,9868,3,PI,1,100,179387
1667057459.183020,72863.000,9868,3,PI,1,100,179391
1667057459.222952,72902.000,9868,3,PI,1,100,179388
1667057459.262884,72941.000,9887,2,PI,1,100,179418
1667057459.302815,72980.000,9887,2,PI,1,100,179415
1667057459.346842,73023.000,9903,3,PI,1,100,179425
1667057459.390869,73066.000,9903,3,PI,1,100,179410
1667057459.434896,73109.000,9903,3,PI,1,100,179383
1667057459.475852,73149.000,9919,2,PI,1,100,179369
1667057459.516807,73189.000,9919,2,PI,1,100,179350
1667057459.557763,73229.000,9939,3,PI,1,100,179342
1667057459.598718,73269.000,9939,3,PI,1,100,179348
1667057459.639674,73309.000,9939,3,PI,1,100,179355
1667057459.679605,73348.000,9955,3,PI,1,100,179367
1667057459.719537,73387.000,9955,3,PI,1,100,179358
1667057459.759469,73426.000,9955,3,PI,1,100,179365
1667057459.798888,73464.500,9972,2,PI,1,100,179366
1667057459.838308,73503.000,9972,2,PI,1,100,179363
1667057459.877898,73541.667,9988,3,PI,1,100,179382
1667057459.917488,73580.333,9988,3,PI,1,100,179394
1667057459.957078,73619.000,9988,3,PI,1,100,179408
1667057459.998034,73659.000,10005,2,PI,1,100,179405
1667057460.038990,73699.000,10005,2,PI,1,100,179423
1667057460.078921,73738.000,10021,3,PI,1,100,179430
1667057460.118853,73777.000,10021,3,PI,1,100,179429
1667057460.158784,73816.000,10021,3,PI,1,100,179441
1667057460.198716,73855.000,10039,3,PI,1,100,179424
1667057460.238647,73894.000,10039,3,PI,1,100,179402
1667057460.278579,73933.000,10039,3,PI,1,100,179374
1667057460.318511,73972.000,10054,2,PI,1,100,179368
1667057460.358442,74011.000,10054,2,PI,1,100,179369
1667057460.398032,74049.667,10071,3,PI,1,100,179366
1667057460.437623,74088.333,10071,3,PI,1,100,179379
1667057460.477213,74127.000,10071,3,PI,1,100,179378
1667057460.516633,74165.500,10088,2,PI,1,100,179374
1667057460.556052,74204.000,10088,2,PI,1,100,179370
1667057460.597008,74244.000,10107,3,PI,1,100,179371
1667057460.637963,74284.000,10107,3,PI,1,100,179377
1667057460.678919,74324.000,10107,3,PI,1,100,179385
1667057460.718850,74363.000,10123,2,PI,1,100,179406
1667057460.758782,74402.000,10123,2,PI,1,100,179391
1667057460.803150,74445.333,10140,3,PI,1,100,179416
1667057460.847518,74488.667,10140,3,PI,1,100,179423
1667057460.891887,74532.000,10140,3,PI,1,100,179422
1667057460.931818,74571.000,10156,2,PI,1,100,179444
1667057460.971750,74610.000,10156,2,PI,1,100,179455
1667057461.011682,74649.000,10175,3,PI,1,100,179447
1667057461.051613,74688.000,10175,3,PI,1,100,179407
1667057461.091545,74727.000,10175,3,PI,1,100,179400
1667057461.131476,74766.000,10191,2,PI,1,100,179386
1667057461.171408,74805.000,10191,2,PI,1,100,179373
1667057461.211339,74844.000,10208,3,PI,1,100,179387
1667057461.251271,74883.000,10208,3,PI,1,100,179383
1667057461.291203,74922.000,10208,3,PI,1,100,179381
1667057461.330451,74960.333,10224,3,PI,1,100,179382
1667057461.369701,74998.667,10224,3,PI,1,100,179389
1667057461.408950,75037.000,10224,3,PI,1,100,179384
1667057461.448881,75076.000,10241,2,PI,1,100,179386
1667057461.488813,75115.000,10241,2,PI,1,100,179411
1667057461.528744,75154.000,10258,3,PI,1,100,179419
1667057461.568676,75193.000,10258,3,PI,1,100,179423
1667057461.608608,75232.000,10258,3,PI,1,100,179432
1667057461.649051,75271.500,10277,2,PI,1,100,179449
1667057461.689494,75311.000,10277,2,PI,1,100,179461
1667057461.729426,75350.000,10292,3,PI,1,100,179469
1667057461.769358,75389.000,10292,3,PI,1,100,179493
1667057461.809289,75428.000,10292,3,PI,1,100,179470
1667057461.848879,75466.667,10312,3,PI,1,100,179443
1667057461.888470,75505.333,10312,3,PI,1,100,179416
1667057461.928060,75544.000,10312,3,PI,1,100,179421
1667057461.966968,75582.000,10328,2,PI,1,100,179408
1667057462.005875,75620.000,10328,2,PI,1,100,179410
1667057462.045807,75659.000,10345,3,PI,1,100,179421
1667057462.085738,75698.000,10345,3,PI,1,100,179420
1667057462.125670,75737.000,10345,3,PI,1,100,179410
1667057462.166114,75776.500,10361,2,PI,1,100,179409
1667057462.206557,75816.000,10361,2,PI,1,100,179418
1667057462.251949,75860.333,10378,3,PI,1,100,179424
1667057462.297342,75904.667,10378,3,PI,1,100,179429
1667057462.342734,75949.000,10378,3,PI,1,100,179449
1667057462.382666,75988.000,10394,2,PI,1,100,179444
1667057462.422597,76027.000,10394,2,PI,1,100,179467
1667057462.462529,76066.000,10412,4,PI,1,100,179476
1667057462.502460,76105.000,10412,4,PI,1,100,179480
1667057462.542392,76144.000,10412,4,PI,1,100,179500
1667057462.582324,76183.000,10412,4,PI,1,100,179486
1667057462.622255,76222.000,10432,3,PI,1,100,179458
1667057462.662187,76261.000,10432,3,PI,1,100,179431
1667057462.702118,76300.000,10432,3,PI,1,100,179416
1667057462.741538,76338.500,10449,2,PI,1,100,179419
1667057462.780957,76377.000,10449,2,PI,1,100,179416
1667057462.821230,76416.333,10465,3,PI,1,100,179428
1667057462.861503,76455.667,10465,3,PI,1,100,179429
1667057462.901776,76495.000,10465,3,PI,1,100,179428
1667057462.942731,76535.000,10482,2,PI,1,100,179423
1667057462.983687,76575.000,10482,2,PI,1,100,179418
1667057463.023618,76614.000,10498,3,PI,1,100,179420
1667057463.063550,76653.000,10498,3,PI,1,100,179424
1667057463.103482,76692.000,10498,3,PI,1,100,179451
1667057463.143413,76731.000,10515,2,PI,1,100,179455
1667057463.183345,76770.000,10515,2,PI,1,100,179460
1667057463.223276,76809.000,10532,3,PI,1,100,179476
1667057463.263208,76848.000,10532,3,PI,1,100,179481
1667057463.303139,76887.000,10532,3,PI,1,100,179495
1667057463.342388,76925.333,10548,3,PI,1,100,179494
1667057463.381638,76963.667,10548,3,PI,1,100,179498
1667057463.420887,77002.000,10548,3,PI,1,100,179462
1667057463.460306,77040.500,10566,2,PI,1,100,179441
1667057463.499726,77079.000,10566,2,PI,1,100,179440
1667057463.539657,77118.000,10586,3,PI,1,100,179410
1667057463.579589,77157.000,10586,3,PI,1,100,179418
1667057463.619520,77196.000,10586,3,PI,1,100,179416
1667057463.663548,77239.000,10602,3,PI,1,100,179434
1667057463.707575,77282.000,10602,3,PI,1,100,179432
1667057463.751602,77325.000,10602,3,PI,1,100,179435
1667057463.791875,77364.333,10620,3,PI,1,100,179429
1667057463.832148,77403.667,10620,3,PI,1,100,179428
1667057463.872420,77443.000,10620,3,PI,1,100,179451
1667057463.913376,77483.000,10636,2,PI,1,100,179460
1667057463.954331,77523.000,10636,2,PI,1,100,179461
1667057463.994604,77562.333,10652,3,PI,1,100,179486
1667057464.034877,77601.667,10652,3,PI,1,100,179496
1667057464.075150,77641.000,10652,3,PI,1,100,179508
1667057464.115082,77680.000,10668,3,PI,1,100,179504
1667057464.155013,77719.000,10668,3,PI,1,100,179508
1667057464.194945,77758.000,10668,3,PI,1,100,179500
1667057464.233852,77796.000,10688,3,PI,1,100,179466
1667057464.272760,77834.000,10688,3,PI,1,100,179443
1667057464.311668,77872.000,10688,3,PI,1,100,179432
1667057464.351599,77911.000,10704,3,PI,1,100,179429
1667057464.391531,77950.000,10704,3,PI,1,100,179439
1667057464.431462,77989.000,10704,3,PI,1,100,179451
1667057464.472418,78029.000,10721,2,PI,1,100,179451
1667057464.513373,78069.000,10721,2,PI,1,100,179443
1667057464.554329,78109.000,10744,3,PI,1,100,179450
