LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1667057458.905547,72592.000,9818,3,PG,1,100,10815
1667057458.905547,72592.000,9818,3,PG,1,100,10822
1667057458.905547,72592.000,9818,3,PG,1,100,10818
1667057458.945138,72630.667,9836,3,PG,1,100,10822
1667057458.984728,72669.333,9836,3,PG,1,100,10817
1667057459.024318,72708.000,9836,3,PG,1,100,10830
1667057459.063738,72746.500,9852,2,PG,1,100,10827
1667057459.103157,72785.000,9852,2,PG,1,100,10834
1667057459.143089,72824.000,9870,3,PG,1,100,10839
1667057459.183020,72863.000,9870,3,PG,1,100,10856
1667057459.222952,72902.000,9870,3,PG,1,100,10865
1667057459.262884,72941.000,9889,2,PG,1,100,10871
1667057459.302815,72980.000,9889,2,PG,1,100,10878
1667057459.346842,73023.000,9905,3,PG,1,100,10887
1667057459.390869,73066.000,9905,3,PG,1,100,10893
1667057459.434896,73109.000,9905,3,PG,1,100,10876
1667057459.475852,73149.000,9921,2,PG,1,100,10851
1667057459.516807,73189.000,9921,2,PG,1,100,10836
1667057459.557763,73229.000,9941,3,PG,1,100,10833
1667057459.598718,73269.000,9941,3,PG,1,100,10836
1667057459.639674,73309.000,9941,3,PG,1,100,10838
1667057459.679605,73348.000,9957,3,PG,1,100,10843
1667057459.719537,73387.000,9957,3,PG,1,100,10836
1667057459.759469,73426.000,9957,3,PG,1,100,10832
1667057459.798888,73464.500,9974,2,PG,1,100,10837
1667057459.838308,73503.000,9974,2,PG,1,100,10840
1667057459.877898,73541.667,9990,3,PG,1,100,10849
1667057459.917488,73580.333,9990,3,PG,1,100,10851
1667057459.957078,73619.000,9990,3,PG,1,100,10864
1667057459.998034,73659.000,10007,2,PG,1,100,10872
1667057460.038990,73699.000,10007,2,PG,1,100,10879
1667057460.078921,73738.000,10023,3,PG,1,100,10881
1667057460.118853,73777.000,10023,3,PG,1,100,10899
1667057460.158784,73816.000,10023,3,PG,1,100,10909
1667057460.198716,73855.000,10041,3,PG,1,100,10904
1667057460.238647,73894.000,10041,3,PG,1,100,10897
1667057460.278579,73933.000,10041,3,PG,1,100,10877
1667057460.318511,73972.000,10056,2,PG,1,100,10861
1667057460.358442,74011.000,10056,2,PG,1,100,10850
1667057460.398032,74049.667,10073,3,PG,1,100,10848
1667057460.437623,74088.333,10073,3,PG,1,100,10848
1667057460.477213,74127.000,10073,3,PG,1,100,10853
1667057460.516633,74165.500,10090,2,PG,1,100,10855
1667057460.556052,74204.000,10090,2,PG,1,100,10854
1667057460.597008,74244.000,10109,3,PG,1,100,10846
1667057460.637963,74284.000,10109,3,PG,1,100,10857
1667057460.678919,74324.000,10109,3,PG,1,100,10859
1667057460.718850,74363.000,10125,2,PG,1,100,10865
1667057460.758782,74402.000,10125,2,PG,1,100,10878
1667057460.803150,74445.333,10142,3,PG,1,100,10887
1667057460.847518,74488.667,10142,3,PG,1,100,10900
1667057460.891887,74532.000,10142,3,PG,1,100,10900
1667057460.931818,74571.000,10158,2,PG,1,100,10912
1667057460.971750,74610.000,10158,2,PG,1,100,10917
1667057461.011682,74649.000,10177,3,PG,1,100,10929
1667057461.051613,74688.000,10177,3,PG,1,100,10908
1667057461.091545,74727.000,10177,3,PG,1,100,10882
1667057461.131476,74766.000,10193,2,PG,1,100,10877
1667057461.171408,74805.000,10193,2,PG,1,100,10859
1667057461.211339,74844.000,10210,3,PG,1,100,10858
1667057461.251271,74883.000,10210,3,PG,1,100,10863
1667057461.291203,74922.000,10210,3,PG,1,100,10869
1667057461.330451,74960.333,10226,3,PG,1,100,10877
1667057461.369701,74998.667,10226,3,PG,1,100,10866
1667057461.408950,75037.000,10226,3,PG,1,100,10877
