LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1667057458.936264,72622.000,9815,4,DC,2,100,EA
1667057458.936264,72622.000,9815,4,DC,2,100,2
1667057458.936264,72622.000,9815,4,DC,2,100,EL
1667057458.936264,72622.000,9815,4,DC,2,100,2
1667057458.962117,72647.250,9833,4,DC,2,100,EA
1667057458.987970,72672.500,9833,4,DC,2,100,2
1667057459.013823,72697.750,9833,4,DC,2,100,EL
1667057459.039676,72723.000,9833,4,DC,2,100,2
1667057459.065274,72748.000,9849,4,DC,2,100,EA
1667057459.090871,72773.000,9849,4,DC,2,100,1
1667057459.116468,72798.000,9849,4,DC,2,100,EL
1667057459.142065,72823.000,9849,4,DC,2,100,1
1667057459.168174,72848.500,9867,4,DC,2,100,EA
1667057459.194283,72874.000,9867,4,DC,2,100,2
1667057459.220392,72899.500,9867,4,DC,2,100,EL
1667057459.246501,72925.000,9867,4,DC,2,100,2
1667057459.272099,72950.000,9886,4,DC,2,100,EA
1667057459.297696,72975.000,9886,4,DC,2,100,1
1667057459.323293,73000.000,9886,4,DC,2,100,EL
1667057459.348890,73025.000,9886,4,DC,2,100,1
1667057459.374743,73050.250,9902,4,DC,2,100,EA
1667057459.400596,73075.500,9902,4,DC,2,100,2
1667057459.426450,73100.750,9902,4,DC,2,100,EL
1667057459.452302,73126.000,9902,4,DC,2,100,2
1667057459.478156,73151.250,9918,4,DC,2,100,EA
1667057459.504009,73176.500,9918,4,DC,2,100,1
1667057459.529862,73201.750,9918,4,DC,2,100,EL
1667057459.555715,73227.000,9918,4,DC,2,100,1
1667057459.581824,73252.500,9938,4,DC,2,100,EA
1667057459.607933,73278.000,9938,4,DC,2,100,2
1667057459.634043,73303.500,9938,4,DC,2,100,EL
1667057459.660151,73329.000,9938,4,DC,2,100,2
1667057459.685749,73354.000,9954,4,DC,2,100,EA
1667057459.711346,73379.000,9954,4,DC,2,100,2
1667057459.736943,73404.000,9954,4,DC,2,100,EL
1667057459.762540,73429.000,9954,4,DC,2,100,2
1667057459.788393,73454.250,9971,4,DC,2,100,EA
1667057459.814246,73479.500,9971,4,DC,2,100,1
1667057459.840100,73504.750,9971,4,DC,2,100,EL
1667057459.865953,73530.000,9971,4,DC,2,100,1
1667057459.892062,73555.500,9987,4,DC,2,100,EA
1667057459.918171,73581.000,9987,4,DC,2,100,2
1667057459.944280,73606.500,9987,4,DC,2,100,EL
1667057459.970389,73632.000,9987,4,DC,2,100,2
1667057459.995986,73657.000,10004,4,DC,2,100,EA
1667057460.021583,73682.000,10004,4,DC,2,100,1
1667057460.047181,73707.000,10004,4,DC,2,100,EL
1667057460.072778,73732.000,10004,4,DC,2,100,1
1667057460.098631,73757.250,10020,4,DC,2,100,EA
1667057460.124484,73782.500,10020,4,DC,2,100,2
1667057460.150337,73807.750,10020,4,DC,2,100,EL
1667057460.176190,73833.000,10020,4,DC,2,100,2
1667057460.202299,73858.500,10038,4,DC,2,100,EA
1667057460.228409,73884.000,10038,4,DC,2,100,1
1667057460.254518,73909.500,10038,4,DC,2,100,EL
1667057460.280627,73935.000,10038,4,DC,2,100,1
1667057460.306224,73960.000,10053,4,DC,2,100,EA
1667057460.331821,73985.000,10053,4,DC,2,100,2
1667057460.357418,74010.000,10053,4,DC,2,100,EL
1667057460.383015,74035.000,10053,4,DC,2,100,2
1667057460.408869,74060.250,10070,4,DC,2,100,EA
1667057460.434722,74085.500,10070,4,DC,2,100,1
1667057460.460575,74110.750,10070,4,DC,2,100,EL
1667057460.486428,74136.000,10070,4,DC,2,100,1
1667057460.512537,74161.500,10087,4,DC,2,100,EA
1667057460.538646,74187.000,10087,4,DC,2,100,2
1667057460.564755,74212.500,10087,4,DC,2,100,EL
1667057460.590864,74238.000,10087,4,DC,2,100,2
