RD,TS_received,TS_sent,AK,RoundTrip,
72988,73011,2022-10-29_17-30-59-382775,73014,23,
78165,78185,2022-10-29_17-31-04-675098,78188,20,
83290,83311,2022-10-29_17-31-09-920920,83313,21,
88398,88419,2022-10-29_17-31-15-149750,88422,21,
93520,93542,2022-10-29_17-31-20-389813,93545,22,
98636,98690,2022-10-29_17-31-25-651502,98693,54,
103736,103757,2022-10-29_17-31-30-839194,103760,21,
108885,108909,2022-10-29_17-31-36-107035,108912,24,
113990,114018,2022-10-29_17-31-41-344261,114021,28,
119098,119129,2022-10-29_17-31-46-561787,119134,31,
124247,124309,2022-10-29_17-31-51-876403,124315,62,
129356,129421,2022-10-29_17-31-57-095663,129424,65,
134462,139579,2022-10-29_17-32-02-405533,139587,5117,
139600,139621,2022-10-29_17-32-07-558368,139624,21,
144699,144786,2022-10-29_17-32-12-851574,144789,87,
149801,149823,2022-10-29_17-32-18-014902,149826,22,
154918,160032,2022-10-29_17-32-23-398623,160041,5114,
160060,160105,2022-10-29_17-32-28-539347,160110,45,
165152,170294,2022-10-29_17-32-33-846153,170303,5142,
170315,170357,2022-10-29_17-32-39-040501,170361,42,
175405,180518,2022-10-29_17-32-44-428441,180521,5113,
180521,180574,2022-10-29_17-32-49-494651,180579,53,
185620,
190734,190829,2022-10-29_17-32-59-976119,190834,95,
195856,195936,2022-10-29_17-33-05-204824,195941,80,
200981,201046,2022-10-29_17-33-10-435753,201051,65,
206081,206101,2022-10-29_17-33-15-617493,206104,20,
211232,211255,2022-10-29_17-33-20-885680,211258,23,
216341,216373,2022-10-29_17-33-26-118217,216377,32,
221452,221474,2022-10-29_17-33-31-345160,221477,22,
226563,226591,2022-10-29_17-33-36-574974,226593,28,
231675,236782,2022-10-29_17-33-41-962341,236785,5107,
236786,236825,2022-10-29_17-33-47-045961,236828,39,
241894,247013,2022-10-29_17-33-52-384269,247028,5119,
247048,247071,2022-10-29_17-33-57-538951,247074,23,
252127,252163,2022-10-29_17-34-02-760029,252166,36,
257256,257371,2022-10-29_17-34-08-050396,262381,115,
262402,262466,2022-10-29_17-34-13-300538,262469,64,
267530,267585,2022-10-29_17-34-18-540102,267590,55,
272675,272695,2022-10-29_17-34-23-790235,272698,20,
277795,277899,2022-10-29_17-34-29-102732,282935,104,
282940,283048,2022-10-29_17-34-34-369988,288035,108,
288053,288083,2022-10-29_17-34-39-525752,288087,30,
293167,293265,2022-10-29_17-34-44-792562,298266,98,
298266,298287,2022-10-29_17-34-49-984909,298290,21,
303384,303403,2022-10-29_17-34-55-220303,303406,19,
308516,308580,2022-10-29_17-35-00-526521,308582,64,
313658,313693,2022-10-29_17-35-05-759538,313696,35,
318794,318816,2022-10-29_17-35-11-014413,318819,22,
323902,323922,2022-10-29_17-35-16-247754,323925,20,
329026,329068,2022-10-29_17-35-21-518653,329073,42,
334178,334257,2022-10-29_17-35-26-837910,334262,79,
339326,339349,2022-10-29_17-35-32-056251,339352,23,
344463,344554,2022-10-29_17-35-37-379747,344557,91,
349567,349591,2022-10-29_17-35-42-540071,349594,24,
354684,354782,2022-10-29_17-35-47-837605,354788,98,
359819,359849,2022-10-29_17-35-53-049767,359852,30,
364968,365048,2022-10-29_17-35-58-374401,365051,80,
370080,370110,2022-10-29_17-36-03-547275,370112,30,
375197,375265,2022-10-29_17-36-08-822680,375268,68,
380332,380379,2022-10-29_17-36-14-058801,380384,47,
385437,390553,2022-10-29_17-36-19-335870,390563,5116,
390572,390592,2022-10-29_17-36-24-512932,390596,20,
395690,395710,2022-10-29_17-36-29-742249,395719,20,
400799,0,,400860,-400799,
405925,405944,2022-10-29_17-36-40-220836,405947,19,
411036,411057,2022-10-29_17-36-45-456564,411060,21,
416160,416186,2022-10-29_17-36-50-696291,416189,26,
421302,426409,2022-10-29_17-36-56-264528,426411,5107,
426412,
525480,530620,2022-10-29_17-38-42-769342,530625,5140,
530625,530695,2022-10-29_17-38-47-901313,530698,70,
535727,535787,2022-10-29_17-38-53-138733,535789,60,
540832,540883,2022-10-29_17-38-58-352544,540886,51,
545941,545960,2022-10-29_17-39-03-570658,545963,19,
551066,551085,2022-10-29_17-39-08-815991,551088,19,
556182,556246,2022-10-29_17-39-14-092902,556249,64,
