LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,UN
1672213127.000000,76695,10503,2,UN,1,100,rilassato perchè non c'è molto da fare a lavoro
1672215906.000000,2791706,48782,2,UN,1,100,aagitato perchè sto spiegando la piattaforma di project management al team di lavoro
1672216976.000000,3837240,16221,2,UN,1,100,[Add a notedolorante al braccio perchè hos tretto troppo emotibit
