RD,TS_received,TS_sent,AK,RoundTrip,
55397,55469,2022-12-28_09-38-25-783530,55472,72,
60516,60564,2022-12-28_09-38-31-006447,60566,48,
65634,65678,2022-12-28_09-38-36-233484,65681,44,
70732,70752,2022-12-28_09-38-41-435574,70755,20,
75865,75885,2022-12-28_09-38-46-688903,75888,20,
80972,80992,2022-12-28_09-38-51-913347,80994,20,
86110,86130,2022-12-28_09-38-57-183332,86133,20,
91228,91281,2022-12-28_09-39-02-447496,91287,53,
96336,96384,2022-12-28_09-39-07-667954,96387,48,
101443,101488,2022-12-28_09-39-12-888650,101491,45,
106552,106600,2022-12-28_09-39-18-110785,106604,48,
111660,111692,2022-12-28_09-39-23-333410,111696,32,
116759,116780,2022-12-28_09-39-28-543596,116782,21,
121911,121932,2022-12-28_09-39-33-819578,121935,21,
127047,127108,2022-12-28_09-39-39-108579,127113,61,
132146,132174,2022-12-28_09-39-44-294535,132176,28,
137264,137307,2022-12-28_09-39-49-545230,137310,43,
142370,142389,2022-12-28_09-39-54-749114,142393,19,
147512,147598,2022-12-28_09-40-00-088207,147601,86,
152619,152639,2022-12-28_09-40-05-249806,152642,20,
157767,157787,2022-12-28_09-40-10-525477,157790,20,
162886,162919,2022-12-28_09-40-15-791345,162922,33,
167993,168014,2022-12-28_09-40-21-004178,168017,21,
173130,173159,2022-12-28_09-40-26-280668,173163,29,
178241,178291,2022-12-28_09-40-31-532679,178293,50,
183354,183391,2022-12-28_09-40-36-759903,183396,37,
188455,188486,2022-12-28_09-40-41-977786,188491,31,
193601,193621,2022-12-28_09-40-47-228947,193624,20,
198717,198791,2022-12-28_09-40-52-519349,198794,74,
203823,203903,2022-12-28_09-40-57-742138,203906,80,
208928,209010,2022-12-28_09-41-02-970058,209013,82,
214041,214110,2022-12-28_09-41-08-180269,214112,69,
219172,219226,2022-12-28_09-41-13-418761,219231,54,
224298,224326,2022-12-28_09-41-18-632713,224329,28,
229409,229429,2022-12-28_09-41-23-863230,229433,20,
234547,234569,2022-12-28_09-41-29-124756,234571,22,
239690,239757,2022-12-28_09-41-34-424774,239762,67,
244795,244815,2022-12-28_09-41-39-620038,244818,20,
249915,249946,2022-12-28_09-41-44-867676,249952,31,
255023,255119,2022-12-28_09-41-50-171936,255122,96,
260137,260212,2022-12-28_09-41-55-391699,260215,75,
265253,265310,2022-12-28_09-42-00-620365,265313,57,
270397,270417,2022-12-28_09-42-05-851600,270420,20,
275502,275524,2022-12-28_09-42-11-082644,275526,22,
280610,280632,2022-12-28_09-42-16-311378,280635,22,
285732,285799,2022-12-28_09-42-21-609027,285802,67,
290862,290903,2022-12-28_09-42-26-841542,290906,41,
295988,296009,2022-12-28_09-42-32-074599,296012,21,
301088,301110,2022-12-28_09-42-37-290633,301112,22,
306205,306299,2022-12-28_09-42-42-602380,306302,94,
311336,311356,2022-12-28_09-42-47-777608,311358,20,
316460,316515,2022-12-28_09-42-53-054759,316520,55,
321594,321614,2022-12-28_09-42-58-280774,321617,20,
326708,326740,2022-12-28_09-43-03-508596,326744,32,
331816,331837,2022-12-28_09-43-08-735733,331841,21,
336925,337026,2022-12-28_09-43-14-037553,337029,101,
342032,342139,2022-12-28_09-43-19-273548,347143,107,
347159,347229,2022-12-28_09-43-24-488618,347232,70,
352292,352357,2022-12-28_09-43-29-736255,352361,65,
357421,357441,2022-12-28_09-43-34-956901,357444,20,
362554,367666,2022-12-28_09-43-40-379649,367671,5112,
367672,367736,2022-12-28_09-43-45-490438,367739,64,
372814,372847,2022-12-28_09-43-50-702365,372850,33,
377926,377946,2022-12-28_09-43-55-933974,377949,20,
383031,383051,2022-12-28_09-44-01-154724,383054,20,
388182,388204,2022-12-28_09-44-06-436586,388208,22,
393298,393316,2022-12-28_09-44-11-673766,393319,18,
398423,398450,2022-12-28_09-44-16-926325,398453,27,
403547,403644,2022-12-28_09-44-22-236967,403647,97,
408660,408753,2022-12-28_09-44-27-465596,408756,93,
413783,413859,2022-12-28_09-44-32-691267,413862,76,
418891,418945,2022-12-28_09-44-37-913642,418950,54,
424000,424054,2022-12-28_09-44-43-133233,424060,54,
429113,429170,2022-12-28_09-44-48-359606,429175,57,
434212,434255,2022-12-28_09-44-53-577799,434258,43,
439319,439340,2022-12-28_09-44-58-787753,439343,21,
444462,444483,2022-12-28_09-45-04-041217,444492,21,
449577,449666,2022-12-28_09-45-09-348064,449671,89,
454688,454711,2022-12-28_09-45-14-517146,454713,23,
459806,459871,2022-12-28_09-45-19-787275,459873,65,
464904,464931,2022-12-28_09-45-24-966000,464934,27,
470022,470070,2022-12-28_09-45-30-232536,470072,48,
475129,475199,2022-12-28_09-45-35-476533,475204,70,
480238,480288,2022-12-28_09-45-40-691444,480292,50,
485346,485392,2022-12-28_09-45-45-911915,485397,46,
490454,490485,2022-12-28_09-45-51-133541,490488,31,
495562,495591,2022-12-28_09-45-56-355044,495596,29,
500670,500691,2022-12-28_09-46-01-572525,500694,21,
505837,505889,2022-12-28_09-46-06-902913,505894,52,
510945,510982,2022-12-28_09-46-12-115330,510986,37,
516057,516087,2022-12-28_09-46-17-334948,516090,30,
521164,521200,2022-12-28_09-46-22-564851,521205,36,
526274,526309,2022-12-28_09-46-27-792980,526314,35,
531377,531399,2022-12-28_09-46-33-008286,531402,22,
536484,536516,2022-12-28_09-46-38-242398,536521,32,
541639,541715,2022-12-28_09-46-43-561988,541721,76,
546746,546813,2022-12-28_09-46-48-779768,546819,67,
551854,551876,2022-12-28_09-46-53-967050,551878,22,
556998,557028,2022-12-28_09-46-59-235068,557033,30,
562101,562121,2022-12-28_09-47-04-461458,562124,20,
567261,567313,2022-12-28_09-47-09-767575,567315,52,
572358,572382,2022-12-28_09-47-14-965237,572385,24,
577508,577529,2022-12-28_09-47-20-234241,577532,21,
582617,582636,2022-12-28_09-47-25-459662,582640,19,
587731,587809,2022-12-28_09-47-30-759376,587812,78,
592839,592918,2022-12-28_09-47-35-979715,592920,79,
597940,597962,2022-12-28_09-47-41-145863,597964,22,
603048,603071,2022-12-28_09-47-46-381353,603075,23,
608198,608237,2022-12-28_09-47-51-658031,608240,39,
613305,613335,2022-12-28_09-47-56-880397,613338,30,
618404,618423,2022-12-28_09-48-02-089418,618428,19,
623534,623553,2022-12-28_09-48-07-344157,623556,19,
628649,628669,2022-12-28_09-48-12-575619,628673,20,
633761,633784,2022-12-28_09-48-17-811767,633787,23,
638889,638909,2022-12-28_09-48-23-062056,638912,20,
644017,644039,2022-12-28_09-48-28-312611,644042,22,
649154,649230,2022-12-28_09-48-33-623399,649233,76,
654254,654274,2022-12-28_09-48-38-789117,654277,20,
659379,659458,2022-12-28_09-48-44-090508,659463,79,
664504,664562,2022-12-28_09-48-49-311983,664568,58,
669641,669663,2022-12-28_09-48-54-534446,669666,22,
674775,674864,2022-12-28_09-48-59-857616,674869,89,
679896,679970,2022-12-28_09-49-05-084764,679974,74,
685177,685262,2022-12-28_09-49-10-502843,685268,85,
690275,690297,2022-12-28_09-49-15-656886,690300,22,
695393,695463,2022-12-28_09-49-20-946264,695466,70,
700491,700578,2022-12-28_09-49-26-173998,700583,87,
705608,705661,2022-12-28_09-49-31-388033,705665,53,
710739,710761,2022-12-28_09-49-36-608475,710763,22,
715875,715894,2022-12-28_09-49-41-864426,715898,19,
721022,721069,2022-12-28_09-49-47-165901,721072,47,
726121,726171,2022-12-28_09-49-52-384895,726174,50,
731248,731279,2022-12-28_09-49-57-606844,731281,31,
736365,736386,2022-12-28_09-50-02-843312,736389,21,
741488,741509,2022-12-28_09-50-08-081247,741512,21,
746604,746624,2022-12-28_09-50-13-319018,746627,20,
751722,751807,2022-12-28_09-50-18-617781,751810,85,
756831,756887,2022-12-28_09-50-23-817339,756889,56,
761956,761996,2022-12-28_09-50-29-049634,761999,40,
767086,767106,2022-12-28_09-50-34-280369,767110,20,
772223,772300,2022-12-28_09-50-39-598383,772305,77,
777352,777396,2022-12-28_09-50-44-813153,777399,44,
782483,782506,2022-12-28_09-50-50-044884,782511,23,
787631,787712,2022-12-28_09-50-55-366680,787719,81,
792743,792801,2022-12-28_09-51-00-588034,792806,58,
797867,797899,2022-12-28_09-51-05-802362,797902,32,
802976,803021,2022-12-28_09-51-11-033130,803027,45,
808073,808098,2022-12-28_09-51-16-243575,808100,25,
813212,813233,2022-12-28_09-51-21-497923,813236,21,
818324,818344,2022-12-28_09-51-26-726768,818347,20,
823440,823506,2022-12-28_09-51-32-018246,823508,66,
828549,828615,2022-12-28_09-51-37-246670,828618,66,
833648,833670,2022-12-28_09-51-42-418535,833673,22,
838793,838831,2022-12-28_09-51-47-692157,838833,38,
843900,843922,2022-12-28_09-51-52-915524,843925,22,
849042,849063,2022-12-28_09-51-58-173293,849066,21,
854188,854237,2022-12-28_09-52-03-463114,854240,49,
859295,859339,2022-12-28_09-52-08-685600,859344,44,
864432,864456,2022-12-28_09-52-13-929699,864459,24,
869534,869556,2022-12-28_09-52-19-154110,869559,22,
874660,874680,2022-12-28_09-52-24-399565,874684,20,
879767,879787,2022-12-28_09-52-29-625333,879790,20,
884915,884937,2022-12-28_09-52-34-895539,884940,22,
890069,890143,2022-12-28_09-52-40-225881,890148,74,
895178,895243,2022-12-28_09-52-45-447927,895246,65,
900283,900357,2022-12-28_09-52-50-670113,900362,74,
905393,905446,2022-12-28_09-52-55-888117,905450,53,
910501,910559,2022-12-28_09-53-01-114661,910565,58,
915601,915621,2022-12-28_09-53-06-300020,915626,20,
920749,920779,2022-12-28_09-53-11-570144,920784,30,
925855,925948,2022-12-28_09-53-16-874238,925951,93,
930962,930982,2022-12-28_09-53-22-031416,930985,20,
936080,936157,2022-12-28_09-53-27-319375,936160,77,
941178,941199,2022-12-28_09-53-32-491479,941202,21,
946287,946307,2022-12-28_09-53-37-713052,946311,20,
951440,951474,2022-12-28_09-53-42-991453,951476,34,
956548,956574,2022-12-28_09-53-48-225758,956577,26,
961676,961697,2022-12-28_09-53-53-465289,961699,21,
966788,966813,2022-12-28_09-53-58-701377,966816,25,
971897,971919,2022-12-28_09-54-03-928136,971922,22,
977011,977075,2022-12-28_09-54-09-207510,977081,64,
982111,982131,2022-12-28_09-54-14-384024,982135,20,
987264,987298,2022-12-28_09-54-19-660424,987303,34,
992368,992482,2022-12-28_09-54-24-977299,997498,114,
997511,997530,2022-12-28_09-54-30-147426,997533,19,
1002619,1002679,2022-12-28_09-54-35-427983,1002683,60,
