LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1672411489.996126,24466.000,1735,2,EA,1,100,0.030196
1672411489.996126,24466.000,1735,2,EA,1,100,0.030197
1672411490.062164,24530.500,1752,2,EA,1,100,0.030197
1672411490.128201,24595.000,1752,2,EA,1,100,0.030197
1672411490.194751,24660.000,1769,2,EA,1,100,0.030197
1672411490.261300,24725.000,1769,2,EA,1,100,0.030197
1672411490.328873,24791.000,1790,1,EA,1,100,0.030197
1672411490.395935,24856.500,1806,2,EA,1,100,0.030197
1672411490.462996,24922.000,1806,2,EA,1,100,0.030197
1672411490.529545,24987.000,1824,2,EA,1,100,0.030197
1672411490.596095,25052.000,1824,2,EA,1,100,0.030197
1672411490.662644,25117.000,1840,1,EA,1,100,0.030197
1672411490.729193,25182.000,1856,2,EA,1,100,0.030197
1672411490.795743,25247.000,1856,2,EA,1,100,0.030197
1672411490.861268,25311.000,1872,1,EA,1,100,0.030197
1672411490.928329,25376.500,1890,2,EA,1,100,0.030197
1672411490.995391,25442.000,1890,2,EA,1,100,0.030197
1672411491.060916,25506.000,1906,2,EA,1,100,0.030197
1672411491.126442,25570.000,1906,2,EA,1,100,0.030198
1672411491.192991,25635.000,1923,1,EA,1,100,0.030197
1672411491.259029,25699.500,1941,2,EA,1,100,0.030198
1672411491.325066,25764.000,1941,2,EA,1,100,0.030198
1672411491.392639,25830.000,1958,1,EA,1,100,0.030198
1672411491.458677,25894.500,1974,2,EA,1,100,0.030198
1672411491.524714,25959.000,1974,2,EA,1,100,0.030198
1672411491.591264,26024.000,1992,2,EA,1,100,0.030198
1672411491.657813,26089.000,1992,2,EA,1,100,0.030198
1672411491.723338,26153.000,2008,1,EA,1,100,0.030198
1672411491.789888,26218.000,2025,2,EA,1,100,0.030198
1672411491.856437,26283.000,2025,2,EA,1,100,0.030198
1672411491.922987,26348.000,2041,1,EA,1,100,0.030198
1672411491.991584,26415.000,2058,2,EA,1,100,0.030198
1672411492.060181,26482.000,2058,2,EA,1,100,0.030198
1672411492.126730,26547.000,2077,2,EA,1,100,0.030198
1672411492.193280,26612.000,2077,2,EA,1,100,0.030198
1672411492.259829,26677.000,2097,1,EA,1,100,0.030198
1672411492.325866,26741.500,2114,2,EA,1,100,0.030198
1672411492.391904,26806.000,2114,2,EA,1,100,0.030198
1672411492.459477,26872.000,2131,1,EA,1,100,0.030198
1672411492.525514,26936.500,2148,2,EA,1,100,0.030198
1672411492.591552,27001.000,2148,2,EA,1,100,0.030198
1672411492.659125,27067.000,2165,2,EA,1,100,0.030198
1672411492.726698,27133.000,2165,2,EA,1,100,0.030198
1672411492.793247,27198.000,2181,2,EA,1,100,0.030198
1672411492.859797,27263.000,2181,2,EA,1,100,0.030198
1672411492.926346,27328.000,2199,1,EA,1,100,0.030198
1672411492.992896,27393.000,2215,2,EA,1,100,0.030198
1672411493.059445,27458.000,2215,2,EA,1,100,0.030198
1672411493.124971,27522.000,2231,2,EA,1,100,0.030198
1672411493.190496,27586.000,2231,2,EA,1,100,0.030198
1672411493.259093,27653.000,2248,1,EA,1,100,0.030198
1672411493.326154,27718.500,2267,2,EA,1,100,0.030198
1672411493.393216,27784.000,2267,2,EA,1,100,0.030198
1672411493.458741,27848.000,2283,1,EA,1,100,0.030198
1672411493.525803,27913.500,2300,2,EA,1,100,0.030198
1672411493.592864,27979.000,2300,2,EA,1,100,0.030198
