RD,TS_received,TS_sent,AK,RoundTrip,
533574,533594,2022-12-30_15-53-31-199955,533597,20,
538691,538733,2022-12-30_15-53-36-469023,538736,42,
543921,543941,2022-12-30_15-53-41-804979,543944,20,
549025,549143,2022-12-30_15-53-47-126824,554162,118,
554176,554240,2022-12-30_15-53-52-349347,554242,64,
559273,559293,2022-12-30_15-53-57-529184,559297,20,
564427,564447,2022-12-30_15-54-02-799245,564450,20,
569581,569600,2022-12-30_15-54-08-075348,569603,19,
574689,574743,2022-12-30_15-54-13-341753,574746,54,
579847,579867,2022-12-30_15-54-18-583847,579869,20,
584997,585057,2022-12-30_15-54-23-891036,585062,60,
590103,590153,2022-12-30_15-54-29-112347,590159,50,
595214,595259,2022-12-30_15-54-34-336977,595262,45,
600321,600358,2022-12-30_15-54-39-556836,600361,37,
605431,605450,2022-12-30_15-54-44-778597,605453,19,
610557,610583,2022-12-30_15-54-50-029349,610585,26,
615664,615752,2022-12-30_15-54-55-323242,615757,88,
620788,620808,2022-12-30_15-55-00-509241,620811,20,
625897,625917,2022-12-30_15-55-05-738077,625920,20,
631028,631048,2022-12-30_15-55-10-988972,631063,20,
636167,636187,2022-12-30_15-55-16-249846,636190,20,
641289,641362,2022-12-30_15-55-21-543813,641367,73,
646426,646464,2022-12-30_15-55-26-764857,646467,38,
651524,651561,2022-12-30_15-55-31-982696,651564,37,
656651,656671,2022-12-30_15-55-37-214678,656674,20,
661804,661877,2022-12-30_15-55-42-534468,661882,73,
666936,666974,2022-12-30_15-55-47-759315,666980,38,
672066,672085,2022-12-30_15-55-52-996868,672088,19,
677184,677205,2022-12-30_15-55-58-243682,677208,21,
682305,682365,2022-12-30_15-56-03-529506,682368,60,
687440,687460,2022-12-30_15-56-08-742576,687463,20,
692560,692579,2022-12-30_15-56-13-987397,692583,19,
697681,697702,2022-12-30_15-56-19-221227,697705,21,
702820,702877,2022-12-30_15-56-24-519254,702882,57,
707964,707986,2022-12-30_15-56-29-757043,707988,22,
713074,713095,2022-12-30_15-56-34-982067,713097,21,
718183,718203,2022-12-30_15-56-40-207945,718206,20,
723296,723315,2022-12-30_15-56-45-446064,723317,19,
728411,728491,2022-12-30_15-56-50-738090,728495,80,
733694,733787,2022-12-30_15-56-56-161768,733790,93,
738801,738822,2022-12-30_15-57-01-315566,738824,21,
743945,743985,2022-12-30_15-57-06-606604,743988,40,
749053,749091,2022-12-30_15-57-11-823426,749094,38,
754160,754184,2022-12-30_15-57-17-051628,754187,24,
759259,759279,2022-12-30_15-57-22-272431,759284,20,
764380,764401,2022-12-30_15-57-27-511204,764403,21,
769511,769589,2022-12-30_15-57-32-821331,769595,78,
774613,774686,2022-12-30_15-57-38-042721,774689,73,
779727,779779,2022-12-30_15-57-43-257714,779782,52,
784856,784895,2022-12-30_15-57-48-488485,784898,39,
789964,789988,2022-12-30_15-57-53-710361,789993,24,
795101,795122,2022-12-30_15-57-58-963125,795125,21,
800221,800240,2022-12-30_15-58-04-204057,800243,19,
805341,805399,2022-12-30_15-58-09-484285,805403,58,
810474,810498,2022-12-30_15-58-14-702793,810501,24,
815612,815630,2022-12-30_15-58-19-964679,815633,18,
820732,820752,2022-12-30_15-58-25-202556,820755,20,
825871,825891,2022-12-30_15-58-30-472342,825894,20,
830981,830999,2022-12-30_15-58-35-697805,831002,18,
836101,836121,2022-12-30_15-58-40-938126,836123,20,
841218,841290,2022-12-30_15-58-46-242581,841293,72,
846327,846405,2022-12-30_15-58-51-468097,846410,78,
851444,851507,2022-12-30_15-58-56-687420,851513,63,
856554,856595,2022-12-30_15-59-01-909904,856598,41,
861665,861704,2022-12-30_15-59-07-133290,861707,39,
866876,866900,2022-12-30_15-59-12-457566,866903,24,
871991,872021,2022-12-30_15-59-17-691041,872027,30,
877096,877117,2022-12-30_15-59-22-921038,877119,21,
882266,882297,2022-12-30_15-59-28-227173,882303,31,
887374,887412,2022-12-30_15-59-33-449840,887415,38,
892479,892500,2022-12-30_15-59-38-670404,892503,21,
897599,897620,2022-12-30_15-59-43-906344,897623,21,
902704,902724,2022-12-30_15-59-49-132292,902727,20,
907837,907900,2022-12-30_15-59-54-433557,907902,63,
912941,912961,2022-12-30_15-59-59-611645,912964,20,
918057,918112,2022-12-30_16-00-04-885722,918116,55,
923167,923221,2022-12-30_16-00-10-116600,923224,54,
928275,928319,2022-12-30_16-00-15-332181,928324,44,
933383,933414,2022-12-30_16-00-20-554495,933419,31,
938499,938519,2022-12-30_16-00-25-793933,938521,20,
943606,943629,2022-12-30_16-00-31-016615,943631,23,
948752,948817,2022-12-30_16-00-36-326559,948820,65,
953859,953904,2022-12-30_16-00-41-544694,953907,45,
958959,958978,2022-12-30_16-00-46-733961,958981,19,
964076,964121,2022-12-30_16-00-51-992490,964126,45,
969181,969216,2022-12-30_16-00-57-212600,969219,35,
974311,974330,2022-12-30_16-01-02-455108,974334,19,
979429,979448,2022-12-30_16-01-07-690828,979451,19,
984570,984626,2022-12-30_16-01-12-984330,984629,56,
989676,989725,2022-12-30_16-01-18-206416,989728,49,
994785,994825,2022-12-30_16-01-23-428956,994829,40,
999884,999923,2022-12-30_16-01-28-650212,999926,39,
1005011,1005031,2022-12-30_16-01-33-881732,1005034,20,
1010171,1010215,2022-12-30_16-01-39-191586,1010219,44,
1015270,1015290,2022-12-30_16-01-44-381683,1015293,20,
1020387,1020424,2022-12-30_16-01-49-642441,1020427,37,
1025495,1025532,2022-12-30_16-01-54-865656,1025535,37,
1030602,1030630,2022-12-30_16-02-00-088595,1030636,28,
1035747,1035766,2022-12-30_16-02-05-350914,1035769,19,
1040864,1040919,2022-12-30_16-02-10-624756,1040921,55,
1045971,1046036,2022-12-30_16-02-15-862180,1046041,65,
1051082,1051138,2022-12-30_16-02-21-083425,1051143,56,
1056217,1056238,2022-12-30_16-02-26-304568,1056240,21,
1061351,1061427,2022-12-30_16-02-31-628446,1061430,76,
1066469,
1071598,1076801,2022-12-30_16-02-42-264339,1076806,5203,
1076806,1076840,2022-12-30_16-02-47-398566,1076844,34,
1081942,1082024,2022-12-30_16-02-52-711966,1082027,82,
1087071,1087090,2022-12-30_16-02-57-897425,1087094,19,
1092185,1092204,2022-12-30_16-03-03-132977,1092207,19,
1097328,1097347,2022-12-30_16-03-08-402791,1097350,19,
1102478,1102537,2022-12-30_16-03-13-715199,1102540,59,
1107624,1107645,2022-12-30_16-03-18-942992,1107647,21,
1112755,1112774,2022-12-30_16-03-24-203418,1112777,19,
1117879,1117936,2022-12-30_16-03-29-484594,1117941,57,
1123023,1123043,2022-12-30_16-03-34-710642,1123046,20,
1128152,1128170,2022-12-30_16-03-39-962294,1128173,18,
