RD,TS_received,TS_sent,AK,RoundTrip,
78643,83724,2022-11-02_20-28-49-703926,83733,5081,
83746,83773,2022-11-02_20-28-54-836764,83775,27,
88833,93951,2022-11-02_20-29-00-149123,93960,5118,
93973,99091,2022-11-02_20-29-05-371390,99107,5118,
99127,104198,2022-11-02_20-29-10-696559,104213,5071,
104232,109306,2022-11-02_20-29-16-020654,109321,5074,
109340,114414,2022-11-02_20-29-21-245147,114427,5074,
114446,119522,2022-11-02_20-29-26-465852,119533,5076,
119555,119660,2022-11-02_20-29-31-597251,124630,105,
124649,129773,2022-11-02_20-29-36-912957,129789,5124,
129810,134881,2022-11-02_20-29-42-124288,134897,5071,
134918,139985,2022-11-02_20-29-47-457946,139994,5067,
140005,140025,2022-11-02_20-29-52-454162,140028,20,
145105,145158,2022-11-02_20-29-57-700559,145161,53,
150204,150226,2022-11-02_20-30-02-886853,150228,22,
155321,160459,2022-11-02_20-30-08-238034,160469,5138,
160481,160566,2022-11-02_20-30-13-468542,160568,85,
165600,170738,2022-11-02_20-30-18-691042,170749,5138,
170761,170877,2022-11-02_20-30-24-028130,175880,116,
175892,181004,2022-11-02_20-30-29-308136,181020,5112,
181041,181082,2022-11-02_20-30-34-461045,181085,41,
186117,191236,2022-11-02_20-30-39-786194,191252,5119,
191264,191291,2022-11-02_20-30-44-913597,191294,27,
196340,201453,2022-11-02_20-30-50-230879,201461,5113,
201473,201493,2022-11-02_20-30-55-358997,201496,20,
206572,211668,2022-11-02_20-31-00-777864,211677,5096,
211689,216808,2022-11-02_20-31-05-898709,216824,5119,
216846,221909,2022-11-02_20-31-11-223928,221922,5063,
221943,221999,2022-11-02_20-31-16-344117,222002,56,
227030,227090,2022-11-02_20-31-21-566353,227093,60,
232170,232196,2022-11-02_20-31-26-792762,232199,26,
237302,242416,2022-11-02_20-31-32-113138,242433,5114,
242454,242558,2022-11-02_20-31-37-389556,242560,104,
247568,247602,2022-11-02_20-31-42-558197,247607,34,
252701,252722,2022-11-02_20-31-47-799840,252725,21,
257808,262913,2022-11-02_20-31-53-105375,262922,5105,
262937,268072,2022-11-02_20-31-58-429826,268082,5135,
268095,268116,2022-11-02_20-32-03-564904,268119,21,
273185,278321,2022-11-02_20-32-08-880133,278336,5136,
278358,283429,2022-11-02_20-32-14-201061,283444,5071,
283465,288536,2022-11-02_20-32-19-422791,288553,5071,
288574,288604,2022-11-02_20-32-24-542272,288607,30,
293646,298790,2022-11-02_20-32-29-867259,298800,5144,
298814,298909,2022-11-02_20-32-35-090330,298913,95,
303896,0,,304000,-303896,
309009,309031,2022-11-02_20-32-45-448553,309034,22,
314137,314221,2022-11-02_20-32-50-757811,314224,84,
319279,319323,2022-11-02_20-32-55-984472,319326,44,
324395,329527,2022-11-02_20-33-01-305075,329536,5132,
329548,329632,2022-11-02_20-33-06-526665,329635,84,
334638,339753,2022-11-02_20-33-11-853981,339768,5115,
339789,344853,2022-11-02_20-33-17-075509,344866,5064,
344886,349969,2022-11-02_20-33-22-298659,349984,5083,
350002,355112,2022-11-02_20-33-27-623169,355121,5110,
355143,355223,2022-11-02_20-33-32-743351,355226,80,
360263,365396,2022-11-02_20-33-38-070445,365405,5133,
365418,370538,2022-11-02_20-33-43-291198,370548,5120,
370570,375694,2022-11-02_20-33-48-614045,375709,5124,
375723,375768,2022-11-02_20-33-53-769390,375772,45,
380807,385909,2022-11-02_20-33-59-061145,385918,5102,
385930,391037,2022-11-02_20-34-04-281555,391047,5107,
391059,391088,2022-11-02_20-34-09-448823,391091,29,
396180,396242,2022-11-02_20-34-14-728473,396245,62,
401327,406455,2022-11-02_20-34-20-051933,406464,5128,
406483,406547,2022-11-02_20-34-25-275015,406551,64,
411613,411647,2022-11-02_20-34-30-498270,411652,34,
416752,416772,2022-11-02_20-34-35-745075,416775,20,
421867,421943,2022-11-02_20-34-41-043883,421945,76,
