LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1667413727.007710,76097.000,10371,2,EA,1,100,0.061373
1667413727.007710,76097.000,10371,2,EA,1,100,0.061536
1667413727.074762,76162.500,10388,2,EA,1,100,0.061571
1667413727.141814,76228.000,10388,2,EA,1,100,0.061603
1667413727.208354,76293.000,10405,1,EA,1,100,0.061631
1667413727.274382,76357.500,10420,2,EA,1,100,0.061689
1667413727.340410,76422.000,10420,2,EA,1,100,0.061710
1667413727.407973,76488.000,10436,1,EA,1,100,0.061739
1667413727.474001,76552.500,10454,2,EA,1,100,0.061774
1667413727.540030,76617.000,10454,2,EA,1,100,0.061797
1667413727.606569,76682.000,10469,1,EA,1,100,0.061830
1667413727.673109,76747.000,10486,2,EA,1,100,0.061865
1667413727.739649,76812.000,10486,2,EA,1,100,0.061903
1667413727.806189,76877.000,10500,2,EA,1,100,0.061932
1667413727.872729,76942.000,10500,2,EA,1,100,0.061979
1667413727.938245,77006.000,10516,1,EA,1,100,0.062022
1667413728.006832,77073.000,10532,2,EA,1,100,0.062067
1667413728.075420,77140.000,10532,2,EA,1,100,0.062118
1667413728.141960,77205.000,10548,1,EA,1,100,0.062165
1667413728.208500,77270.000,10564,2,EA,1,100,0.062201
1667413728.275039,77335.000,10564,2,EA,1,100,0.062222
1667413728.340556,77399.000,10580,1,EA,1,100,0.062284
1667413728.406584,77463.500,10600,2,EA,1,100,0.062340
1667413728.472612,77528.000,10600,2,EA,1,100,0.062375
1667413728.538128,77592.000,10616,1,EA,1,100,0.062426
1667413728.606203,77658.500,10631,2,EA,1,100,0.062529
1667413728.674279,77725.000,10631,2,EA,1,100,0.062630
1667413728.741331,77790.500,10649,2,EA,1,100,0.062725
1667413728.808382,77856.000,10649,2,EA,1,100,0.062774
1667413728.874922,77921.000,10664,1,EA,1,100,0.062822
1667413728.940439,77985.000,10682,2,EA,1,100,0.062858
1667413729.005955,78049.000,10682,2,EA,1,100,0.062892
1667413729.072495,78114.000,10698,1,EA,1,100,0.062940
1667413729.138523,78178.500,10713,2,EA,1,100,0.063001
1667413729.204551,78243.000,10713,2,EA,1,100,0.063041
1667413729.273138,78310.000,10728,1,EA,1,100,0.063095
1667413729.339678,78375.000,10745,2,EA,1,100,0.063129
1667413729.406218,78440.000,10745,2,EA,1,100,0.063152
1667413729.471734,78504.000,10762,1,EA,1,100,0.063205
1667413729.538274,78569.000,10783,3,EA,1,100,0.063260
1667413729.604814,78634.000,10783,3,EA,1,100,0.063312
