LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1667413727.141814,76228.000,10384,1,SF,1,100,50.9021
1667413727.407973,76488.000,10432,1,SF,1,100,52.3955
1667413727.739649,76812.000,10482,1,SF,1,100,51.7894
1667413728.075420,77140.000,10528,1,SF,1,100,51.1903
1667413728.472612,77528.000,10594,1,SF,1,100,52.6804
1667413728.808382,77856.000,10645,1,SF,1,100,54.1532
1667413729.072495,78114.000,10694,1,SF,1,100,55.6090
1667413729.406218,78440.000,10741,1,SF,1,100,54.9657
1667413729.803410,78828.000,10795,1,SF,1,100,54.3299
1667413730.136109,79153.000,10844,1,SF,1,100,55.7836
1667413730.401245,79412.000,10893,1,SF,1,100,55.1383
1667413730.730874,79734.000,10942,1,SF,1,100,54.5005
1667413731.067668,80063.000,10990,1,SF,1,100,55.9523
1667413731.401391,80389.000,11038,1,SF,1,100,55.3050
1667413731.800630,80779.000,11102,1,SF,1,100,54.6652
1667413732.067814,81040.000,11148,1,SF,1,100,54.0329
1667413732.399489,81364.000,11196,1,SF,1,100,53.4078
1667413732.730142,81687.000,11248,1,SF,1,100,54.8722
1667413733.132452,82080.000,11310,1,SF,1,100,54.2375
1667413733.463104,82403.000,11359,1,SF,1,100,53.6101
1667413733.730287,82664.000,11408,1,SF,1,100,52.9899
1667413734.062987,82989.000,11455,1,SF,1,100,52.3769
1667413734.398757,83317.000,11501,1,SF,1,100,51.7710
1667413734.862489,83770.000,11572,1,SF,1,100,51.1721
1667413735.059038,83962.000,11603,1,SF,1,100,50.5802
1667413735.395832,84291.000,11653,1,SF,1,100,49.9950
1667413735.793024,84679.000,11719,1,SF,1,100,49.4167
1667413736.129818,85008.000,11767,1,SF,1,100,50.9273
1667413736.393931,85266.000,11815,1,SF,1,100,50.3382
1667413736.724583,85589.000,11863,1,SF,1,100,49.7558
1667413737.057282,85914.000,11914,1,SF,1,100,51.2625
1667413737.455498,86303.000,11978,1,SF,1,100,50.6695
1667413737.719610,86561.000,12012,1,SF,1,100,50.0834
1667413738.115779,86948.000,12074,1,SF,1,100,49.5040
1667413738.381938,87208.000,12121,1,SF,1,100,48.9313
1667413738.716685,87535.000,12170,1,SF,1,100,48.3653
1667413739.049385,87860.000,12216,1,SF,1,100,47.8058
1667413739.448624,88250.000,12281,1,SF,1,100,47.2528
1667413739.780300,88574.000,12330,1,SF,1,100,48.7884
1667413740.110952,88897.000,12365,1,SF,1,100,48.2240
1667413740.446723,89225.000,12415,1,SF,1,100,47.6662
1667413740.710835,89483.000,12461,1,SF,1,100,47.1147
1667413741.046605,89811.000,12509,1,SF,1,100,46.5697
1667413741.379305,90136.000,12555,1,SF,1,100,46.0310
1667413741.712004,90461.000,12604,1,SF,1,100,45.4985
1667413742.110220,90850.000,12666,1,SF,1,100,44.9722
1667413742.440872,91173.000,12715,1,SF,1,100,44.4519
1667413742.777666,91502.000,12762,1,SF,1,100,43.9377
1667413743.041778,91760.000,12811,1,SF,1,100,43.4294
1667413743.377549,92088.000,12858,1,SF,1,100,42.9270
1667413743.708201,92411.000,12906,1,SF,1,100,42.4305
1667413744.106417,92800.000,12968,1,SF,1,100,41.9396
1667413744.437069,93123.000,13016,1,SF,1,100,41.4545
1667413744.703228,93383.000,13049,1,SF,1,100,40.9749
1667413745.033881,93706.000,13081,1,SF,1,100,40.5009
1667413745.367604,94032.000,13118,1,SF,1,100,40.0324
1667413745.700303,94357.000,13166,1,SF,1,100,39.5693
1667413746.036074,94685.000,13214,1,SF,1,100,39.1116
1667413746.433266,95073.000,13280,1,SF,1,100,40.7414
1667413746.698402,95332.000,13326,1,SF,1,100,40.2701
1667413747.031101,95657.000,13374,1,SF,1,100,39.8042
1667413747.361753,95980.000,13420,1,SF,1,100,39.3438
1667413747.765088,96374.000,13484,1,SF,1,100,38.8886
1667413748.094716,96696.000,13531,1,SF,1,100,38.4388
1667413748.363947,96959.000,13580,1,SF,1,100,40.0764
1667413748.695622,97283.000,13631,1,SF,1,100,39.6127
1667413749.027298,97607.000,13677,1,SF,1,100,39.1545
1667413749.425514,97996.000,13741,1,SF,1,100,38.7016
1667413749.755142,98318.000,13789,1,SF,1,100,38.2539
1667413750.025397,98582.000,13835,1,SF,1,100,37.8113
1667413750.355025,98904.000,13884,1,SF,1,100,37.3739
1667413750.690796,99232.000,13925,1,SF,1,100,39.0238
