RD,TS_received,TS_sent,AK,RoundTrip,
20406,20485,2023-01-17_22-47-05-899922,20489,79,
25526,30668,2023-01-17_22-47-11-122217,30676,5142,
30689,30709,2023-01-17_22-47-16-368586,30712,20,
35782,40894,2023-01-17_22-47-21-669561,40903,5112,
40915,46032,2023-01-17_22-47-26-995638,46041,5117,
46060,46086,2023-01-17_22-47-32-112630,46089,26,
51152,56255,2023-01-17_22-47-37-440064,56271,5103,
56288,61363,2023-01-17_22-47-42-764817,61374,5075,
61393,61414,2023-01-17_22-47-47-799002,61418,21,
66506,66609,2023-01-17_22-47-53-106668,66612,103,
71617,71639,2023-01-17_22-47-58-251940,71642,22,
76725,81833,2023-01-17_22-48-03-553144,81842,5108,
81858,86941,2023-01-17_22-48-08-877135,86952,5083,
86972,92055,2023-01-17_22-48-14-073579,92071,5083,
92092,92119,2023-01-17_22-48-19-220543,92122,27,
97169,102271,2023-01-17_22-48-24-526402,102286,5102,
102307,102335,2023-01-17_22-48-29-663806,102339,28,
107389,112519,2023-01-17_22-48-35-090405,112529,5130,
112541,117650,2023-01-17_22-48-40-313495,117658,5109,
117678,122758,2023-01-17_22-48-45-537823,122767,5080,
122779,122855,2023-01-17_22-48-50-657039,122858,76,
127874,127894,2023-01-17_22-48-55-812254,127897,20,
132979,138118,2023-01-17_22-49-01-190544,138133,5139,
138148,143253,2023-01-17_22-49-06-425767,143261,5105,
143275,148400,2023-01-17_22-49-11-694517,148416,5125,
148437,153506,2023-01-17_22-49-17-076592,153521,5069,
153537,153563,2023-01-17_22-49-22-103273,153565,26,
158631,158661,2023-01-17_22-49-27-321718,158664,30,
163733,163784,2023-01-17_22-49-32-569289,163787,51,
168840,168952,2023-01-17_22-49-37-864310,173941,112,
173961,179081,2023-01-17_22-49-43-188014,179096,5120,
179117,184189,2023-01-17_22-49-48-410305,184206,5072,
184227,184255,2023-01-17_22-49-53-530780,184259,28,
189293,194405,2023-01-17_22-49-58-855622,194420,5112,
194440,199513,2023-01-17_22-50-04-076962,199529,5073,
199549,204621,2023-01-17_22-50-09-302125,204636,5072,
204652,209729,2023-01-17_22-50-14-624805,209744,5077,
209771,209879,2023-01-17_22-50-19-748038,214837,108,
214859,219945,2023-01-17_22-50-24-967229,219958,5086,
219984,225060,2023-01-17_22-50-30-291530,225069,5076,
225087,225189,2023-01-17_22-50-35-411590,225192,102,
230203,230223,2023-01-17_22-50-40-563649,230225,20,
235316,240434,2023-01-17_22-50-45-960365,240449,5118,
240471,240506,2023-01-17_22-50-51-080923,240509,35,
245538,250655,2023-01-17_22-50-56-403790,250670,5117,
250692,255756,2023-01-17_22-51-01-626646,255771,5064,
255792,260870,2023-01-17_22-51-06-848705,260887,5078,
260903,265971,2023-01-17_22-51-12-175758,265980,5068,
265992,271101,2023-01-17_22-51-17-397813,271110,5109,
271123,271142,2023-01-17_22-51-22-433750,271146,19,
276209,276232,2023-01-17_22-51-27-648442,276235,23,
281353,281419,2023-01-17_22-51-32-961756,281422,66,
286482,291614,2023-01-17_22-51-38-287676,291623,5132,
291641,291716,2023-01-17_22-51-43-512623,291719,75,
296725,296812,2023-01-17_22-51-48-732865,296815,87,
301842,301903,2023-01-17_22-51-53-954163,301907,61,
306987,312099,2023-01-17_22-51-59-279202,312108,5112,
312120,317242,2023-01-17_22-52-04-503611,317251,5122,
317263,317308,2023-01-17_22-52-09-723317,317311,45,
322386,322420,2023-01-17_22-52-14-948105,322425,34,
327517,332635,2023-01-17_22-52-20-274096,332650,5118,
332670,337737,2023-01-17_22-52-25-597929,337752,5067,
337773,337821,2023-01-17_22-52-30-717701,337826,48,
342850,347983,2023-01-17_22-52-36-041444,347999,5133,
348013,348133,2023-01-17_22-52-41-242769,353090,120,
353112,358198,2023-01-17_22-52-46-588102,358212,5086,
358231,363307,2023-01-17_22-52-51-810606,363321,5076,
363340,368415,2023-01-17_22-52-57-033149,368425,5075,
368437,368475,2023-01-17_22-53-02-083990,368478,38,
373528,378630,2023-01-17_22-53-07-375997,378643,5102,
378664,383740,2023-01-17_22-53-12-700471,383750,5076,
383762,383783,2023-01-17_22-53-17-747280,383786,21,
388889,394012,2023-01-17_22-53-23-147316,394015,5123,
394015,394065,2023-01-17_22-53-28-266398,394068,50,
399140,399262,2023-01-17_22-53-33-527213,404250,122,
404262,409378,2023-01-17_22-53-38-814761,409387,5116,
409399,409462,2023-01-17_22-53-44-039188,409465,63,
414536,419659,2023-01-17_22-53-49-362892,419669,5123,
419681,424796,2023-01-17_22-53-54-583592,424813,5115,
424834,429897,2023-01-17_22-53-59-860083,429911,5063,
429932,435004,2023-01-17_22-54-05-131462,435017,5072,
435039,440113,2023-01-17_22-54-10-324880,440126,5074,
440147,440200,2023-01-17_22-54-15-474265,440203,53,
445230,450359,2023-01-17_22-54-20-798227,450368,5129,
450381,450401,2023-01-17_22-54-25-935234,450405,20,
455469,455500,2023-01-17_22-54-31-149792,455503,31,
460601,460621,2023-01-17_22-54-36-396347,460623,20,
465708,465728,2023-01-17_22-54-41-620013,465731,20,
470860,470930,2023-01-17_22-54-46-943902,470933,70,
476004,481107,2023-01-17_22-54-52-236375,481122,5103,
481144,481219,2023-01-17_22-54-57-458623,481224,75,
486344,491440,2023-01-17_22-55-02-886606,491449,5096,
491467,491506,2023-01-17_22-55-08-005372,491510,39,
496550,496611,2023-01-17_22-55-13-228356,496615,61,
501667,506790,2023-01-17_22-55-18-548759,506802,5123,
506814,511921,2023-01-17_22-55-23-776912,511930,5107,
511944,512023,2023-01-17_22-55-28-999743,512026,79,
517045,517065,2023-01-17_22-55-34-163644,517068,20,
522203,522230,2023-01-17_22-55-39-446784,522232,27,
527309,527329,2023-01-17_22-55-44-679257,527332,20,
532428,532449,2023-01-17_22-55-49-920917,532452,21,
537530,537551,2023-01-17_22-55-55-141427,537554,21,
542639,542729,2023-01-17_22-56-00-436754,542731,90,
547747,547767,2023-01-17_22-56-05-590929,547770,20,
552854,557994,2023-01-17_22-56-10-880304,558009,5140,
558024,563147,2023-01-17_22-56-16-205138,563163,5123,
563184,563231,2023-01-17_22-56-21-428508,563235,47,
568255,573375,2023-01-17_22-56-26-752230,573392,5120,
573413,578476,2023-01-17_22-56-31-976037,578492,5063,
578513,583591,2023-01-17_22-56-37-197521,583600,5078,
583612,583633,2023-01-17_22-56-42-291089,583635,21,
588744,593877,2023-01-17_22-56-47-642486,593886,5133,
593898,599030,2023-01-17_22-56-52-967530,599041,5132,
599054,599159,2023-01-17_22-56-58-172386,604178,105,
604191,604212,2023-01-17_22-57-03-365010,604214,21,
609294,609365,2023-01-17_22-57-08-636809,609368,71,
614397,614417,2023-01-17_22-57-13-804510,614420,20,
619548,624658,2023-01-17_22-57-19-183764,624668,5110,
624686,629803,2023-01-17_22-57-24-509709,629819,5117,
629840,634910,2023-01-17_22-57-29-732235,634926,5070,
634947,640015,2023-01-17_22-57-34-954064,640030,5068,
640051,640091,2023-01-17_22-57-40-069628,640094,40,
645132,645186,2023-01-17_22-57-45-298020,645189,54,
650241,655372,2023-01-17_22-57-50-608762,655381,5131,
655394,660508,2023-01-17_22-57-55-844224,660524,5114,
660545,665609,2023-01-17_22-58-01-145969,665618,5064,
665630,665700,2023-01-17_22-58-06-292420,665703,70,
670760,670801,2023-01-17_22-58-11-513577,670805,41,
675911,675931,2023-01-17_22-58-16-774171,675934,20,
681028,681094,2023-01-17_22-58-22-058306,681097,66,
686135,686157,2023-01-17_22-58-27-239566,686160,22,
691281,696377,2023-01-17_22-58-32-526152,696386,5096,
696398,696418,2023-01-17_22-58-37-745537,696422,20,
701491,701519,2023-01-17_22-58-42-962864,701522,28,
706616,706635,2023-01-17_22-58-48-199590,706638,19,
711730,711749,2023-01-17_22-58-53-430229,711752,19,
716850,721945,2023-01-17_22-58-58-822048,721957,5095,
721978,722016,2023-01-17_22-59-03-940585,722020,38,
727065,727158,2023-01-17_22-59-09-190600,727161,93,
732196,732228,2023-01-17_22-59-14-387810,732232,32,
737327,737349,2023-01-17_22-59-19-634827,737352,22,
742436,742455,2023-01-17_22-59-24-862368,742458,19,
747555,747576,2023-01-17_22-59-30-096111,747580,21,
752680,757799,2023-01-17_22-59-35-480943,757807,5119,
757826,757846,2023-01-17_22-59-40-612155,757849,20,
762941,762961,2023-01-17_22-59-45-840682,762964,20,
768087,773202,2023-01-17_22-59-51-250199,773211,5115,
773223,773245,2023-01-17_22-59-56-371701,773248,22,
778338,778358,2023-01-17_23-00-01-603495,778361,20,
783476,788607,2023-01-17_23-00-06-916655,788622,5131,
788640,793714,2023-01-17_23-00-12-243994,793730,5074,
793746,798829,2023-01-17_23-00-17-565724,798845,5083,
798857,803939,2023-01-17_23-00-22-686289,803953,5082,
803964,803985,2023-01-17_23-00-27-821204,803988,21,
809046,809070,2023-01-17_23-00-33-030746,809073,24,
814168,819275,2023-01-17_23-00-38-353501,819284,5107,
819301,824389,2023-01-17_23-00-43-679550,824405,5088,
824425,824470,2023-01-17_23-00-48-793481,824473,45,
