LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1673992022.232303,16912.000,567,1,EA,1,100,0.072522
1673992022.288597,16967.000,581,1,EA,1,100,0.072750
1673992022.354614,17031.500,596,2,EA,1,100,0.072738
1673992022.420631,17096.000,596,2,EA,1,100,0.072730
1673992022.488184,17162.000,614,1,EA,1,100,0.072743
1673992022.554202,17226.500,632,2,EA,1,100,0.072766
1673992022.620219,17291.000,632,2,EA,1,100,0.072782
1673992022.686748,17356.000,647,2,EA,1,100,0.072811
1673992022.753277,17421.000,647,2,EA,1,100,0.072806
1673992022.821854,17488.000,664,1,EA,1,100,0.072820
1673992022.888383,17553.000,678,2,EA,1,100,0.072825
1673992022.954912,17618.000,678,2,EA,1,100,0.072867
1673992023.021441,17683.000,694,1,EA,1,100,0.072910
1673992023.087970,17748.000,710,2,EA,1,100,0.072934
1673992023.154500,17813.000,710,2,EA,1,100,0.072963
1673992023.220005,17877.000,726,1,EA,1,100,0.072990
1673992023.286022,17941.500,742,2,EA,1,100,0.072992
1673992023.352040,18006.000,742,2,EA,1,100,0.072999
1673992023.418569,18071.000,758,1,EA,1,100,0.073023
1673992023.484586,18135.500,776,2,EA,1,100,0.073060
1673992023.550604,18200.000,776,2,EA,1,100,0.073098
1673992023.617133,18265.000,794,2,EA,1,100,0.073102
1673992023.683662,18330.000,794,2,EA,1,100,0.073111
1673992023.750191,18395.000,809,1,EA,1,100,0.073131
1673992023.816721,18460.000,825,2,EA,1,100,0.073148
1673992023.883250,18525.000,825,2,EA,1,100,0.073169
1673992023.948756,18589.000,840,1,EA,1,100,0.073201
1673992024.014773,18653.500,858,2,EA,1,100,0.073251
1673992024.080790,18718.000,858,2,EA,1,100,0.073244
1673992024.146296,18782.000,874,1,EA,1,100,0.073258
1673992024.212313,18846.500,889,2,EA,1,100,0.073311
1673992024.278331,18911.000,889,2,EA,1,100,0.073322
1673992024.345883,18977.000,904,1,EA,1,100,0.073350
1673992024.413948,19043.500,923,2,EA,1,100,0.073355
1673992024.482012,19110.000,923,2,EA,1,100,0.073368
1673992024.548542,19175.000,940,2,EA,1,100,0.073387
1673992024.615071,19240.000,940,2,EA,1,100,0.073425
1673992024.681600,19305.000,956,1,EA,1,100,0.073457
1673992024.747106,19369.000,973,2,EA,1,100,0.073479
1673992024.812611,19433.000,973,2,EA,1,100,0.073491
1673992024.878117,19497.000,989,1,EA,1,100,0.073522
1673992024.944134,19561.500,1004,2,EA,1,100,0.073555
1673992025.010152,19626.000,1004,2,EA,1,100,0.073588
1673992025.078728,19693.000,1022,1,EA,1,100,0.073586
1673992025.145769,19758.500,1037,2,EA,1,100,0.073624
1673992025.212810,19824.000,1037,2,EA,1,100,0.073645
1673992025.279339,19889.000,1055,1,EA,1,100,0.073652
1673992025.345868,19954.000,1070,2,EA,1,100,0.073674
1673992025.412397,20019.000,1070,2,EA,1,100,0.073697
1673992025.478926,20084.000,1087,2,EA,1,100,0.073738
1673992025.545456,20149.000,1087,2,EA,1,100,0.073728
1673992025.610961,20213.000,1104,1,EA,1,100,0.073741
1673992025.677490,20278.000,1121,2,EA,1,100,0.073810
1673992025.744020,20343.000,1121,2,EA,1,100,0.073809
1673992025.811060,20408.500,1140,2,EA,1,100,0.073831
1673992025.878101,20474.000,1140,2,EA,1,100,0.073874
1673992025.943607,20538.000,1156,1,EA,1,100,0.073886
1673992026.010136,20603.000,1173,2,EA,1,100,0.073902
1673992026.076665,20668.000,1173,2,EA,1,100,0.073925
1673992026.143195,20733.000,1190,1,EA,1,100,0.073952
1673992026.208700,20797.000,1207,2,EA,1,100,0.073954
1673992026.274206,20861.000,1207,2,EA,1,100,0.073970
1673992026.340223,20925.500,1222,2,EA,1,100,0.073979
1673992026.406241,20990.000,1222,2,EA,1,100,0.074019
1673992026.471746,21054.000,1240,1,EA,1,100,0.074053
1673992026.538275,21119.000,1258,2,EA,1,100,0.074084
1673992026.604805,21184.000,1258,2,EA,1,100,0.074108
1673992026.671334,21249.000,1273,1,EA,1,100,0.074126
1673992026.739398,21315.500,1291,2,EA,1,100,0.074153
1673992026.807463,21382.000,1291,2,EA,1,100,0.074169
1673992026.873992,21447.000,1306,1,EA,1,100,0.074187
1673992026.940521,21512.000,1322,2,EA,1,100,0.074183
1673992027.007050,21577.000,1322,2,EA,1,100,0.074215
1673992027.072556,21641.000,1337,1,EA,1,100,0.074252
1673992027.139085,21706.000,1356,2,EA,1,100,0.074242
1673992027.205614,21771.000,1356,2,EA,1,100,0.074274
1673992027.273167,21837.000,1372,2,EA,1,100,0.074324
1673992027.340720,21903.000,1372,2,EA,1,100,0.074326
1673992027.408273,21969.000,1388,1,EA,1,100,0.074358
1673992027.474802,22034.000,1408,2,EA,1,100,0.074384
1673992027.541331,22099.000,1408,2,EA,1,100,0.074429
1673992027.606836,22163.000,1424,1,EA,1,100,0.074462
1673992027.673366,22228.000,1438,2,EA,1,100,0.074483
1673992027.739895,22293.000,1438,2,EA,1,100,0.074503
1673992027.808471,22360.000,1457,1,EA,1,100,0.074512
1673992027.873977,22424.000,1472,2,EA,1,100,0.074532
1673992027.939482,22488.000,1472,2,EA,1,100,0.074564
1673992028.006011,22553.000,1488,1,EA,1,100,0.074592
1673992028.072541,22618.000,1505,2,EA,1,100,0.074602
1673992028.139070,22683.000,1505,2,EA,1,100,0.074630
1673992028.204576,22747.000,1521,1,EA,1,100,0.074645
1673992028.271105,22812.000,1538,2,EA,1,100,0.074691
1673992028.337634,22877.000,1538,2,EA,1,100,0.074725
1673992028.404163,22942.000,1555,2,EA,1,100,0.074743
1673992028.470692,23007.000,1555,2,EA,1,100,0.074766
1673992028.536198,23071.000,1572,1,EA,1,100,0.074797
1673992028.602727,23136.000,1589,2,EA,1,100,0.074813
1673992028.669256,23201.000,1589,2,EA,1,100,0.074823
1673992028.735785,23266.000,1604,1,EA,1,100,0.074840
1673992028.802315,23331.000,1621,2,EA,1,100,0.074885
1673992028.868844,23396.000,1621,2,EA,1,100,0.074904
1673992028.934349,23460.000,1638,1,EA,1,100,0.074915
1673992029.000879,23525.000,1654,2,EA,1,100,0.074945
1673992029.067408,23590.000,1654,2,EA,1,100,0.074967
1673992029.133425,23654.500,1671,2,EA,1,100,0.074991
1673992029.199442,23719.000,1671,2,EA,1,100,0.075012
1673992029.264948,23783.000,1687,1,EA,1,100,0.075027
1673992029.331989,23848.500,1704,2,EA,1,100,0.075062
1673992029.399030,23914.000,1704,2,EA,1,100,0.075061
1673992029.467606,23981.000,1721,1,EA,1,100,0.075083
1673992029.534135,24046.000,1737,2,EA,1,100,0.075089
1673992029.600665,24111.000,1737,2,EA,1,100,0.075115
1673992029.667194,24176.000,1753,1,EA,1,100,0.075157
1673992029.733723,24241.000,1769,2,EA,1,100,0.075188
1673992029.800252,24306.000,1769,2,EA,1,100,0.075208
1673992029.865758,24370.000,1785,1,EA,1,100,0.075229
1673992029.931775,24434.500,1802,2,EA,1,100,0.075249
1673992029.997792,24499.000,1802,2,EA,1,100,0.075257
1673992030.066369,24566.000,1817,1,EA,1,100,0.075290
1673992030.133410,24631.500,1833,2,EA,1,100,0.075342
1673992030.200451,24697.000,1833,2,EA,1,100,0.075377
1673992030.266980,24762.000,1851,2,EA,1,100,0.075391
1673992030.333509,24827.000,1851,2,EA,1,100,0.075379
1673992030.400038,24892.000,1866,1,EA,1,100,0.075416
1673992030.466567,24957.000,1886,2,EA,1,100,0.075461
1673992030.533097,25022.000,1886,2,EA,1,100,0.075471
1673992030.598602,25086.000,1901,1,EA,1,100,0.075503
1673992030.666155,25152.000,1919,2,EA,1,100,0.075526
1673992030.733707,25218.000,1919,2,EA,1,100,0.075544
1673992030.800237,25283.000,1937,1,EA,1,100,0.075572
1673992030.866766,25348.000,1952,2,EA,1,100,0.075590
1673992030.933295,25413.000,1952,2,EA,1,100,0.075620
1673992031.000848,25479.000,1974,3,EA,1,100,0.075655
1673992031.068400,25545.000,1974,3,EA,1,100,0.075669
1673992031.135953,25611.000,1974,3,EA,1,100,0.075679
1673992031.202482,25676.000,1989,1,EA,1,100,0.075692
1673992031.269011,25741.000,2005,2,EA,1,100,0.075718
1673992031.335541,25806.000,2005,2,EA,1,100,0.075738
1673992031.401046,25870.000,2020,2,EA,1,100,0.075766
1673992031.466552,25934.000,2020,2,EA,1,100,0.075792
1673992031.532058,25998.000,2040,1,EA,1,100,0.075782
1673992031.599098,26063.500,2055,2,EA,1,100,0.075803
1673992031.666139,26129.000,2055,2,EA,1,100,0.075808
1673992031.734716,26196.000,2073,1,EA,1,100,0.075834
1673992031.801757,26261.500,2088,2,EA,1,100,0.075877
1673992031.868798,26327.000,2088,2,EA,1,100,0.075891
1673992031.935327,26392.000,2104,1,EA,1,100,0.075920
1673992032.001344,26456.500,2119,2,EA,1,100,0.075944
1673992032.067362,26521.000,2119,2,EA,1,100,0.075966
1673992032.132867,26585.000,2138,1,EA,1,100,0.075982
1673992032.199908,26650.500,2152,2,EA,1,100,0.076022
1673992032.266949,26716.000,2152,2,EA,1,100,0.076055
1673992032.335525,26783.000,2168,1,EA,1,100,0.076091
1673992032.402566,26848.500,2186,2,EA,1,100,0.076105
1673992032.469607,26914.000,2186,2,EA,1,100,0.076124
1673992032.536136,26979.000,2204,2,EA,1,100,0.076134
1673992032.602665,27044.000,2204,2,EA,1,100,0.076128
1673992032.669195,27109.000,2219,1,EA,1,100,0.076159
1673992032.735212,27173.500,2235,2,EA,1,100,0.076215
1673992032.801229,27238.000,2235,2,EA,1,100,0.076243
1673992032.866735,27302.000,2252,1,EA,1,100,0.076246
1673992032.932753,27366.500,2268,2,EA,1,100,0.076264
1673992032.998770,27431.000,2268,2,EA,1,100,0.076283
1673992033.065299,27496.000,2283,1,EA,1,100,0.076301
1673992033.131317,27560.500,2299,2,EA,1,100,0.076310
1673992033.197334,27625.000,2299,2,EA,1,100,0.076340
1673992033.264887,27691.000,2314,1,EA,1,100,0.076341
1673992033.330904,27755.500,2330,2,EA,1,100,0.076374
1673992033.396921,27820.000,2330,2,EA,1,100,0.076413
1673992033.462939,27884.500,2350,2,EA,1,100,0.076444
1673992033.528956,27949.000,2350,2,EA,1,100,0.076448
1673992033.595485,28014.000,2368,1,EA,1,100,0.076487
1673992033.662015,28079.000,2382,2,EA,1,100,0.076509
1673992033.728544,28144.000,2382,2,EA,1,100,0.076545
1673992033.794050,28208.000,2399,1,EA,1,100,0.076563
1673992033.861090,28273.500,2416,2,EA,1,100,0.076562
1673992033.928131,28339.000,2416,2,EA,1,100,0.076575
1673992033.996708,28406.000,2432,1,EA,1,100,0.076611
1673992034.063749,28471.500,2449,2,EA,1,100,0.076610
1673992034.130790,28537.000,2449,2,EA,1,100,0.076660
1673992034.197319,28602.000,2465,1,EA,1,100,0.076693
1673992034.262824,28666.000,2482,2,EA,1,100,0.076699
1673992034.328330,28730.000,2482,2,EA,1,100,0.076724
1673992034.394859,28795.000,2499,2,EA,1,100,0.076751
