RD,TS_received,TS_sent,AK,RoundTrip,
19606,19671,2022-12-29_17-43-17-158654,19676,65,
24728,24748,2022-12-29_17-43-22-375337,24751,20,
29867,29951,2022-12-29_17-43-27-703603,29954,84,
34965,35050,2022-12-29_17-43-32-919661,35053,85,
40080,40142,2022-12-29_17-43-38-132525,40145,62,
45192,45244,2022-12-29_17-43-43-365141,45247,52,
50298,50357,2022-12-29_17-43-48-604303,50361,59,
55424,55447,2022-12-29_17-43-53-812721,55449,23,
60560,60595,2022-12-29_17-43-59-081718,60599,35,
65677,65742,2022-12-29_17-44-04-349735,65745,65,
70784,70875,2022-12-29_17-44-09-584866,70880,91,
75907,75927,2022-12-29_17-44-14-777995,75930,20,
81054,81074,2022-12-29_17-44-20-046749,81077,20,
86162,86184,2022-12-29_17-44-25-282560,86187,22,
91269,91291,2022-12-29_17-44-30-520347,91295,22,
96415,96447,2022-12-29_17-44-35-797674,96450,32,
101514,101538,2022-12-29_17-44-41-013621,101540,24,
106653,106674,2022-12-29_17-44-46-273690,106677,21,
111810,111859,2022-12-29_17-44-51-576526,111865,49,
116914,116938,2022-12-29_17-44-56-789755,116941,24,
122045,122067,2022-12-29_17-45-02-047859,122070,22,
127178,127238,2022-12-29_17-45-07-344235,127240,60,
132285,132319,2022-12-29_17-45-12-549263,132322,34,
137384,137421,2022-12-29_17-45-17-779200,137424,37,
142543,142619,2022-12-29_17-45-23-110400,142624,76,
147663,147726,2022-12-29_17-45-28-338695,147731,63,
152771,157894,2022-12-29_17-45-33-695959,157907,5123,
157928,163062,2022-12-29_17-45-38-950466,163076,5134,
163088,163109,2022-12-29_17-45-44-104301,163112,21,
168175,173277,2022-12-29_17-45-49-326594,173288,5102,
173301,173395,2022-12-29_17-45-54-634953,173397,94,
178427,178452,2022-12-29_17-45-59-806604,178455,25,
183544,183609,2022-12-29_17-46-05-083571,183613,65,
188650,188723,2022-12-29_17-46-10-312490,188726,73,
193795,193828,2022-12-29_17-46-15-540086,193832,33,
198906,198928,2022-12-29_17-46-20-757286,198932,22,
204011,204032,2022-12-29_17-46-25-974010,204036,21,
209119,209142,2022-12-29_17-46-31-205094,209145,23,
214262,214335,2022-12-29_17-46-36-520798,214337,73,
219360,219437,2022-12-29_17-46-41-748821,219440,77,
224500,224538,2022-12-29_17-46-46-978161,224541,38,
229629,229649,2022-12-29_17-46-52-217164,229651,20,
234736,234757,2022-12-29_17-46-57-456441,234760,21,
239845,239887,2022-12-29_17-47-02-708235,239890,42,
245003,245023,2022-12-29_17-47-07-971126,245027,20,
250142,250164,2022-12-29_17-47-13-230618,250166,22,
255261,255345,2022-12-29_17-47-18-524252,255351,84,
260380,260448,2022-12-29_17-47-23-754798,260451,68,
265511,265538,2022-12-29_17-47-28-953035,265541,27,
270622,270643,2022-12-29_17-47-34-184801,270646,21,
275742,275764,2022-12-29_17-47-39-421521,275767,22,
280858,280879,2022-12-29_17-47-44-657630,280882,21,
285986,0,,291100,-285986,
291120,291178,2022-12-29_17-47-55-182407,291183,58,
296245,296265,2022-12-29_17-48-00-399211,296267,20,
301350,301370,2022-12-29_17-48-05-634125,301374,20,
306481,306561,2022-12-29_17-48-10-945085,306567,80,
311602,311654,2022-12-29_17-48-16-166211,311656,52,
316746,316766,2022-12-29_17-48-21-402865,316769,20,
321852,321872,2022-12-29_17-48-26-628296,321875,20,
326971,327052,2022-12-29_17-48-31-917581,327054,81,
332112,332192,2022-12-29_17-48-37-180338,332195,80,
337216,337275,2022-12-29_17-48-42-389507,337278,59,
342339,342361,2022-12-29_17-48-47-602924,342363,22,
347482,347503,2022-12-29_17-48-52-871821,347507,21,
352622,352668,2022-12-29_17-48-58-154232,352674,46,
357746,357766,2022-12-29_17-49-03-374595,357770,20,
362865,362960,2022-12-29_17-49-08-688233,362962,95,
367974,367995,2022-12-29_17-49-13-839105,367998,21,
373082,373103,2022-12-29_17-49-19-070234,373105,21,
378199,378260,2022-12-29_17-49-24-355918,378263,61,
383306,383364,2022-12-29_17-49-29-586116,383369,58,
388428,388462,2022-12-29_17-49-34-809270,388465,34,
393560,0,,398665,-393560,
398677,398706,2022-12-29_17-49-45-290040,398709,29,
403776,403798,2022-12-29_17-49-50-506653,403802,22,
408934,408971,2022-12-29_17-49-55-802910,408975,37,
414040,419239,2022-12-29_17-50-01-192108,419243,5199,
419243,424356,2022-12-29_17-50-06-508484,424359,5113,
424359,424382,2022-12-29_17-50-11-581705,424385,23,
429478,429499,2022-12-29_17-50-16-818791,429501,21,
434586,434613,2022-12-29_17-50-22-042484,434616,27,
439739,439787,2022-12-29_17-50-27-343955,439789,48,
444846,444881,2022-12-29_17-50-32-563219,444886,35,
449946,449967,2022-12-29_17-50-37-773969,449970,21,
455056,455082,2022-12-29_17-50-43-012143,455085,26,
460206,460282,2022-12-29_17-50-48-334410,460286,76,
465305,465326,2022-12-29_17-50-53-499207,465329,21,
470459,470489,2022-12-29_17-50-58-773145,470491,30,
475574,475607,2022-12-29_17-51-04-008085,475612,33,
480688,480794,2022-12-29_17-51-09-325271,485836,106,
485856,485904,2022-12-29_17-51-14-554634,485909,48,
490948,491008,2022-12-29_17-51-19-775289,491014,60,
496057,0,,501192,-496057,
501204,501224,2022-12-29_17-51-30-248597,501227,20,
506303,506325,2022-12-29_17-51-35-468791,506327,22,
511427,511449,2022-12-29_17-51-40-707050,511452,22,
516534,516570,2022-12-29_17-51-45-949363,516573,36,
521652,521695,2022-12-29_17-51-51-200640,521698,43,
526763,526810,2022-12-29_17-51-56-437021,526816,47,
531871,531918,2022-12-29_17-52-01-669221,531921,47,
536980,537019,2022-12-29_17-52-06-879481,537024,39,
542086,542111,2022-12-29_17-52-12-101366,542116,25,
547189,547209,2022-12-29_17-52-17-325984,547212,20,
552326,552349,2022-12-29_17-52-22-596824,552351,23,
557436,557500,2022-12-29_17-52-27-866436,557505,64,
562543,562605,2022-12-29_17-52-33-091842,562608,62,
567643,567664,2022-12-29_17-52-38-263769,567667,21,
572752,572773,2022-12-29_17-52-43-494358,572775,21,
577903,577925,2022-12-29_17-52-48-767958,577928,22,
583020,583042,2022-12-29_17-52-54-009568,583045,22,
588161,588259,2022-12-29_17-52-59-345292,588262,98,
593295,593337,2022-12-29_17-53-04-535554,593343,42,
598400,598428,2022-12-29_17-53-09-755424,598433,28,
603503,603522,2022-12-29_17-53-14-973713,603525,19,
608645,608711,2022-12-29_17-53-20-288435,608714,66,
613743,613815,2022-12-29_17-53-25-518877,613818,72,
618898,618918,2022-12-29_17-53-30-747430,618921,20,
624003,624033,2022-12-29_17-53-35-973343,624038,30,
629117,629210,2022-12-29_17-53-41-280558,629213,93,
634240,634260,2022-12-29_17-53-46-453090,634263,20,
639346,639368,2022-12-29_17-53-51-682897,639370,22,
644464,644545,2022-12-29_17-53-56-985480,644547,81,
649596,649644,2022-12-29_17-54-02-187858,649650,48,
654694,654720,2022-12-29_17-54-07-396187,654723,26,
659831,659854,2022-12-29_17-54-12-661594,659856,23,
664954,665028,2022-12-29_17-54-17-956456,665031,74,
670078,670146,2022-12-29_17-54-23-188015,670149,68,
675199,0,,680316,-675199,
680328,680373,2022-12-29_17-54-33-673253,680376,45,
685434,685528,2022-12-29_17-54-38-941301,685531,94,
690545,690567,2022-12-29_17-54-44-111029,690571,22,
695668,695707,2022-12-29_17-54-49-377397,695709,39,
700775,700811,2022-12-29_17-54-54-601508,700815,36,
705911,705938,2022-12-29_17-54-59-837612,705940,27,
711062,711157,2022-12-29_17-55-05-180278,711160,95,
716189,716236,2022-12-29_17-55-10-391771,716239,47,
721318,0,,721418,-721318,
726427,726532,2022-12-29_17-55-20-925060,731558,105,
731579,731648,2022-12-29_17-55-26-152858,731653,69,
736671,736737,2022-12-29_17-55-31-373077,736743,66,
741817,741843,2022-12-29_17-55-36-597226,741846,26,
746951,746973,2022-12-29_17-55-41-854124,746975,22,
752074,752147,2022-12-29_17-55-47-144216,752154,73,
757207,757229,2022-12-29_17-55-52-358286,757231,22,
762334,762356,2022-12-29_17-55-57-614623,762358,22,
767441,767462,2022-12-29_17-56-02-838548,767465,21,
772567,772661,2022-12-29_17-56-08-160712,772664,94,
777682,777702,2022-12-29_17-56-13-323048,777705,20,
782823,782843,2022-12-29_17-56-18-593927,782846,20,
787959,788033,2022-12-29_17-56-23-904206,788036,74,
793057,793078,2022-12-29_17-56-29-068698,793081,21,
798178,798269,2022-12-29_17-56-34-357636,798275,91,
803319,803342,2022-12-29_17-56-39-571784,803344,23,
808459,808481,2022-12-29_17-56-44-842113,808484,22,
813580,813638,2022-12-29_17-56-50-120050,813641,58,
818688,818744,2022-12-29_17-56-55-339900,818748,56,
823817,823859,2022-12-29_17-57-00-565867,823864,42,
828921,828944,2022-12-29_17-57-05-784842,828946,23,
834027,834142,2022-12-29_17-57-11-109648,839132,115,
839153,839244,2022-12-29_17-57-16-332586,839249,91,
844241,844261,2022-12-29_17-57-21-472096,844263,20,
849377,849447,2022-12-29_17-57-26-779081,849451,70,
854483,854554,2022-12-29_17-57-32-000624,854557,71,
859595,859662,2022-12-29_17-57-37-222322,859665,67,
864726,864753,2022-12-29_17-57-42-444563,864755,27,
869826,869853,2022-12-29_17-57-47-659339,869855,27,
874963,874984,2022-12-29_17-57-52-919929,874988,21,
880071,880091,2022-12-29_17-57-58-143610,880094,20,
885223,885243,2022-12-29_17-58-03-421237,885246,20,
890360,890379,2022-12-29_17-58-08-681294,890383,19,
895466,895486,2022-12-29_17-58-13-910426,895489,20,
900575,900659,2022-12-29_17-58-19-206462,900662,84,
905689,905765,2022-12-29_17-58-24-430987,905770,76,
910800,910851,2022-12-29_17-58-29-655028,910854,51,
915898,915920,2022-12-29_17-58-34-836676,915923,22,
921042,921067,2022-12-29_17-58-40-103236,921073,25,
926180,926201,2022-12-29_17-58-45-364628,926204,21,
931296,931349,2022-12-29_17-58-50-636467,931352,53,
936395,936416,2022-12-29_17-58-55-826667,936420,21,
941537,941560,2022-12-29_17-59-01-084402,941563,23,
946643,951813,2022-12-29_17-59-06-414446,951828,5170,
951846,951868,2022-12-29_17-59-11-635365,951871,22,
956926,956975,2022-12-29_17-59-16-863000,956980,49,
962033,962069,2022-12-29_17-59-22-081264,962071,36,
967141,967176,2022-12-29_17-59-27-307772,967181,35,
972249,972272,2022-12-29_17-59-32-530386,972275,23,
977351,977372,2022-12-29_17-59-37-750750,977374,21,
982498,982578,2022-12-29_17-59-43-076168,982584,80,
987605,987673,2022-12-29_17-59-48-300272,987675,68,
992714,992763,2022-12-29_17-59-53-518115,992768,49,
997826,997866,2022-12-29_17-59-58-735291,997869,40,
1002932,1002984,2022-12-29_18-00-03-979065,1002987,52,
1008058,1008082,2022-12-29_18-00-09-196112,1008085,24,
1013155,1018298,2022-12-29_18-00-14-511697,1018314,5143,
1018336,1018389,2022-12-29_18-00-19-736341,1018394,53,
1023410,1023471,2022-12-29_18-00-24-948592,1023474,61,
1028519,1028570,2022-12-29_18-00-30-179214,1028573,51,
1033631,1033688,2022-12-29_18-00-35-407197,1033693,57,
1038760,1038783,2022-12-29_18-00-40-623460,1038786,23,
1043867,1043888,2022-12-29_18-00-45-849292,1043891,21,
1048989,1049008,2022-12-29_18-00-51-101284,1049011,19,
1054106,1054168,2022-12-29_18-00-56-386330,1054171,62,
1059246,1059283,2022-12-29_18-01-01-619350,1059288,37,
1064376,1064471,2022-12-29_18-01-06-932337,1064473,95,
1069496,1069518,2022-12-29_18-01-12-099711,1069522,22,
1074603,1074624,2022-12-29_18-01-17-328468,1074627,21,
1079739,1079781,2022-12-29_18-01-22-601322,1079785,42,
1084845,1084892,2022-12-29_18-01-27-832658,1084897,47,
1089965,1089994,2022-12-29_18-01-33-051624,1089998,29,
1095094,1095118,2022-12-29_18-01-38-303639,1095121,24,
1100222,1100306,2022-12-29_18-01-43-607667,1100312,84,
1105365,1105392,2022-12-29_18-01-48-822527,1105395,27,
1110509,1110530,2022-12-29_18-01-54-077546,1110532,21,
1115645,1115738,2022-12-29_18-01-59-406116,1115741,93,
1120775,1120798,2022-12-29_18-02-04-600603,1120800,23,
1125903,1125926,2022-12-29_18-02-09-844792,1125929,23,
1131025,1131046,2022-12-29_18-02-15-084107,1131048,21,
1136134,1136156,2022-12-29_18-02-20-316968,1136159,22,
1141268,1141343,2022-12-29_18-02-25-637427,1141346,75,
1146372,1146402,2022-12-29_18-02-30-807971,1146408,30,
1151498,1151593,2022-12-29_18-02-36-124799,1151596,95,
1156611,1156632,2022-12-29_18-02-41-281852,1156635,21,
