LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
0.101000,4128825.000,50415,14,AY,1,100,-0.681
0.101000,4128825.000,50415,14,AY,1,100,-0.690
0.101000,4128825.000,50415,14,AY,1,100,-0.686
0.101000,4128825.000,50415,14,AY,1,100,-0.697
0.101000,4128825.000,50415,14,AY,1,100,-0.698
0.101000,4128825.000,50415,14,AY,1,100,-0.699
0.101000,4128825.000,50415,14,AY,1,100,-0.686
0.101000,4128825.000,50415,14,AY,1,100,-0.684
0.101000,4128825.000,50415,14,AY,1,100,-0.677
0.101000,4128825.000,50415,14,AY,1,100,-0.691
0.101000,4128825.000,50415,14,AY,1,100,-0.680
0.101000,4128825.000,50415,14,AY,1,100,-0.680
0.101000,4128825.000,50415,14,AY,1,100,-0.691
0.101000,4128825.000,50415,14,AY,1,100,-0.690
0.140500,4128864.500,50432,2,AY,1,100,-0.689
0.180000,4128904.000,50432,2,AY,1,100,-0.687
0.219000,4128943.000,50449,3,AY,1,100,-0.680
0.258000,4128982.000,50449,3,AY,1,100,-0.686
0.297000,4129021.000,50449,3,AY,1,100,-0.687
0.336000,4129060.000,50464,3,AY,1,100,-0.681
0.375000,4129099.000,50464,3,AY,1,100,-0.684
0.414000,4129138.000,50464,3,AY,1,100,-0.689
0.453000,4129177.000,50480,2,AY,1,100,-0.682
0.492000,4129216.000,50480,2,AY,1,100,-0.688
0.530667,4129254.667,50496,3,AY,1,100,-0.697
0.569333,4129293.333,50496,3,AY,1,100,-0.690
0.608000,4129332.000,50496,3,AY,1,100,-0.677
0.648000,4129372.000,50511,2,AY,1,100,-0.695
0.688000,4129412.000,50511,2,AY,1,100,-0.678
0.727667,4129451.667,50528,3,AY,1,100,-0.692
0.767333,4129491.333,50528,3,AY,1,100,-0.691
0.807000,4129531.000,50528,3,AY,1,100,-0.685
0.841667,4129565.667,50542,3,AY,1,100,-0.677
0.876333,4129600.333,50542,3,AY,1,100,-0.688
0.911000,4129635.000,50542,3,AY,1,100,-0.681
0.950000,4129674.000,50558,2,AY,1,100,-0.686
0.989000,4129713.000,50558,2,AY,1,100,-0.693
1.028000,4129752.000,50573,3,AY,1,100,-0.692
1.067000,4129791.000,50573,3,AY,1,100,-0.684
1.106000,4129830.000,50573,3,AY,1,100,-0.691
1.145333,4129869.333,50592,3,AY,1,100,-0.694
1.184667,4129908.667,50592,3,AY,1,100,-0.684
1.224000,4129948.000,50592,3,AY,1,100,-0.703
1.263000,4129987.000,50607,2,AY,1,100,-0.698
1.302000,4130026.000,50607,2,AY,1,100,-0.689
1.340667,4130064.667,50624,3,AY,1,100,-0.700
1.379333,4130103.333,50624,3,AY,1,100,-0.689
1.418000,4130142.000,50624,3,AY,1,100,-0.706
1.456667,4130180.667,50640,3,AY,1,100,-0.692
1.495333,4130219.333,50640,3,AY,1,100,-0.691
1.534000,4130258.000,50640,3,AY,1,100,-0.698
1.573000,4130297.000,50656,2,AY,1,100,-0.693
1.612000,4130336.000,50656,2,AY,1,100,-0.693
1.651667,4130375.667,50671,3,AY,1,100,-0.689
1.691333,4130415.333,50671,3,AY,1,100,-0.706
1.731000,4130455.000,50671,3,AY,1,100,-0.698
1.770500,4130494.500,50687,2,AY,1,100,-0.692
1.810000,4130534.000,50687,2,AY,1,100,-0.701
1.849000,4130573.000,50702,3,AY,1,100,-0.689
1.888000,4130612.000,50702,3,AY,1,100,-0.692
1.927000,4130651.000,50702,3,AY,1,100,-0.692
1.966000,4130690.000,50718,2,AY,1,100,-0.679
2.005000,4130729.000,50718,2,AY,1,100,-0.686
2.043333,4130767.333,50734,3,AY,1,100,-0.682
2.081667,4130805.667,50734,3,AY,1,100,-0.680
2.120000,4130844.000,50734,3,AY,1,100,-0.684
2.159000,4130883.000,50752,3,AY,1,100,-0.698
2.198000,4130922.000,50752,3,AY,1,100,-0.691
2.237000,4130961.000,50752,3,AY,1,100,-0.679
2.277000,4131001.000,50766,2,AY,1,100,-0.692
2.317000,4131041.000,50766,2,AY,1,100,-0.704
2.356667,4131080.667,50782,3,AY,1,100,-0.685
2.396333,4131120.333,50782,3,AY,1,100,-0.684
2.436000,4131160.000,50782,3,AY,1,100,-0.692
2.475000,4131199.000,50798,2,AY,1,100,-0.679
2.514000,4131238.000,50798,2,AY,1,100,-0.688
2.548667,4131272.667,50814,3,AY,1,100,-0.674
2.583333,4131307.333,50814,3,AY,1,100,-0.683
2.618000,4131342.000,50814,3,AY,1,100,-0.689
2.657000,4131381.000,50828,3,AY,1,100,-0.691
2.696000,4131420.000,50828,3,AY,1,100,-0.695
2.735000,4131459.000,50828,3,AY,1,100,-0.690
2.773333,4131497.333,50845,3,AY,1,100,-0.689
2.811667,4131535.667,50845,3,AY,1,100,-0.700
2.850000,4131574.000,50845,3,AY,1,100,-0.692
2.889000,4131613.000,50860,2,AY,1,100,-0.696
2.928000,4131652.000,50860,2,AY,1,100,-0.698
2.967000,4131691.000,50878,3,AY,1,100,-0.698
3.006000,4131730.000,50878,3,AY,1,100,-0.700
3.045000,4131769.000,50878,3,AY,1,100,-0.699
3.084000,4131808.000,50893,2,AY,1,100,-0.702
3.123000,4131847.000,50893,2,AY,1,100,-0.692
3.162000,4131886.000,50911,3,AY,1,100,-0.700
3.201000,4131925.000,50911,3,AY,1,100,-0.698
3.240000,4131964.000,50911,3,AY,1,100,-0.705
3.279000,4132003.000,50926,3,AY,1,100,-0.701
3.318000,4132042.000,50926,3,AY,1,100,-0.687
3.357000,4132081.000,50926,3,AY,1,100,-0.693
3.395500,4132119.500,50943,2,AY,1,100,-0.704
3.434000,4132158.000,50943,2,AY,1,100,-0.696
3.472667,4132196.667,50958,3,AY,1,100,-0.694
3.511333,4132235.333,50958,3,AY,1,100,-0.705
3.550000,4132274.000,50958,3,AY,1,100,-0.688
3.589000,4132313.000,50973,2,AY,1,100,-0.687
