LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
0.101000,4128825.000,50416,14,AZ,1,100,-0.649
0.101000,4128825.000,50416,14,AZ,1,100,-0.644
0.101000,4128825.000,50416,14,AZ,1,100,-0.643
0.101000,4128825.000,50416,14,AZ,1,100,-0.655
0.101000,4128825.000,50416,14,AZ,1,100,-0.662
0.101000,4128825.000,50416,14,AZ,1,100,-0.672
0.101000,4128825.000,50416,14,AZ,1,100,-0.670
0.101000,4128825.000,50416,14,AZ,1,100,-0.658
0.101000,4128825.000,50416,14,AZ,1,100,-0.644
0.101000,4128825.000,50416,14,AZ,1,100,-0.635
0.101000,4128825.000,50416,14,AZ,1,100,-0.635
0.101000,4128825.000,50416,14,AZ,1,100,-0.653
0.101000,4128825.000,50416,14,AZ,1,100,-0.656
0.101000,4128825.000,50416,14,AZ,1,100,-0.662
0.140500,4128864.500,50433,2,AZ,1,100,-0.661
0.180000,4128904.000,50433,2,AZ,1,100,-0.661
0.219000,4128943.000,50450,3,AZ,1,100,-0.664
0.258000,4128982.000,50450,3,AZ,1,100,-0.655
0.297000,4129021.000,50450,3,AZ,1,100,-0.649
0.336000,4129060.000,50465,3,AZ,1,100,-0.655
0.375000,4129099.000,50465,3,AZ,1,100,-0.650
0.414000,4129138.000,50465,3,AZ,1,100,-0.658
0.453000,4129177.000,50481,2,AZ,1,100,-0.664
0.492000,4129216.000,50481,2,AZ,1,100,-0.656
0.530667,4129254.667,50497,3,AZ,1,100,-0.657
0.569333,4129293.333,50497,3,AZ,1,100,-0.661
0.608000,4129332.000,50497,3,AZ,1,100,-0.660
0.648000,4129372.000,50512,2,AZ,1,100,-0.649
0.688000,4129412.000,50512,2,AZ,1,100,-0.660
0.727667,4129451.667,50529,3,AZ,1,100,-0.654
0.767333,4129491.333,50529,3,AZ,1,100,-0.654
0.807000,4129531.000,50529,3,AZ,1,100,-0.652
0.841667,4129565.667,50543,3,AZ,1,100,-0.649
0.876333,4129600.333,50543,3,AZ,1,100,-0.654
0.911000,4129635.000,50543,3,AZ,1,100,-0.656
0.950000,4129674.000,50559,2,AZ,1,100,-0.656
0.989000,4129713.000,50559,2,AZ,1,100,-0.655
1.028000,4129752.000,50574,3,AZ,1,100,-0.663
1.067000,4129791.000,50574,3,AZ,1,100,-0.648
1.106000,4129830.000,50574,3,AZ,1,100,-0.641
1.145333,4129869.333,50593,3,AZ,1,100,-0.647
1.184667,4129908.667,50593,3,AZ,1,100,-0.665
1.224000,4129948.000,50593,3,AZ,1,100,-0.647
1.263000,4129987.000,50608,2,AZ,1,100,-0.650
1.302000,4130026.000,50608,2,AZ,1,100,-0.655
1.340667,4130064.667,50625,3,AZ,1,100,-0.650
1.379333,4130103.333,50625,3,AZ,1,100,-0.653
1.418000,4130142.000,50625,3,AZ,1,100,-0.644
1.456667,4130180.667,50641,3,AZ,1,100,-0.655
1.495333,4130219.333,50641,3,AZ,1,100,-0.636
1.534000,4130258.000,50641,3,AZ,1,100,-0.645
1.573000,4130297.000,50657,2,AZ,1,100,-0.631
1.612000,4130336.000,50657,2,AZ,1,100,-0.644
1.651667,4130375.667,50672,3,AZ,1,100,-0.640
1.691333,4130415.333,50672,3,AZ,1,100,-0.661
1.731000,4130455.000,50672,3,AZ,1,100,-0.659
1.770500,4130494.500,50688,2,AZ,1,100,-0.660
1.810000,4130534.000,50688,2,AZ,1,100,-0.648
1.849000,4130573.000,50703,3,AZ,1,100,-0.663
1.888000,4130612.000,50703,3,AZ,1,100,-0.644
1.927000,4130651.000,50703,3,AZ,1,100,-0.650
1.966000,4130690.000,50719,2,AZ,1,100,-0.653
2.005000,4130729.000,50719,2,AZ,1,100,-0.645
2.043333,4130767.333,50735,3,AZ,1,100,-0.651
2.081667,4130805.667,50735,3,AZ,1,100,-0.647
2.120000,4130844.000,50735,3,AZ,1,100,-0.652
2.159000,4130883.000,50753,3,AZ,1,100,-0.656
2.198000,4130922.000,50753,3,AZ,1,100,-0.649
2.237000,4130961.000,50753,3,AZ,1,100,-0.636
2.277000,4131001.000,50767,2,AZ,1,100,-0.665
2.317000,4131041.000,50767,2,AZ,1,100,-0.675
2.356667,4131080.667,50783,3,AZ,1,100,-0.674
2.396333,4131120.333,50783,3,AZ,1,100,-0.646
2.436000,4131160.000,50783,3,AZ,1,100,-0.652
2.475000,4131199.000,50799,2,AZ,1,100,-0.657
2.514000,4131238.000,50799,2,AZ,1,100,-0.648
