LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
0.101000,4128825.000,50414,14,AX,1,100,-0.475
0.101000,4128825.000,50414,14,AX,1,100,-0.469
0.101000,4128825.000,50414,14,AX,1,100,-0.472
0.101000,4128825.000,50414,14,AX,1,100,-0.471
0.101000,4128825.000,50414,14,AX,1,100,-0.473
0.101000,4128825.000,50414,14,AX,1,100,-0.477
0.101000,4128825.000,50414,14,AX,1,100,-0.481
0.101000,4128825.000,50414,14,AX,1,100,-0.484
0.101000,4128825.000,50414,14,AX,1,100,-0.469
0.101000,4128825.000,50414,14,AX,1,100,-0.475
0.101000,4128825.000,50414,14,AX,1,100,-0.470
0.101000,4128825.000,50414,14,AX,1,100,-0.487
0.101000,4128825.000,50414,14,AX,1,100,-0.457
0.101000,4128825.000,50414,14,AX,1,100,-0.474
0.140500,4128864.500,50431,2,AX,1,100,-0.478
0.180000,4128904.000,50431,2,AX,1,100,-0.468
0.219000,4128943.000,50448,3,AX,1,100,-0.477
0.258000,4128982.000,50448,3,AX,1,100,-0.467
0.297000,4129021.000,50448,3,AX,1,100,-0.472
0.336000,4129060.000,50463,3,AX,1,100,-0.472
0.375000,4129099.000,50463,3,AX,1,100,-0.474
0.414000,4129138.000,50463,3,AX,1,100,-0.462
0.453000,4129177.000,50479,2,AX,1,100,-0.480
0.492000,4129216.000,50479,2,AX,1,100,-0.469
0.530667,4129254.667,50495,3,AX,1,100,-0.474
0.569333,4129293.333,50495,3,AX,1,100,-0.491
0.608000,4129332.000,50495,3,AX,1,100,-0.484
0.648000,4129372.000,50510,2,AX,1,100,-0.464
0.688000,4129412.000,50510,2,AX,1,100,-0.470
0.727667,4129451.667,50527,3,AX,1,100,-0.478
0.767333,4129491.333,50527,3,AX,1,100,-0.472
0.807000,4129531.000,50527,3,AX,1,100,-0.478
0.841667,4129565.667,50541,3,AX,1,100,-0.476
0.876333,4129600.333,50541,3,AX,1,100,-0.463
0.911000,4129635.000,50541,3,AX,1,100,-0.476
0.950000,4129674.000,50557,2,AX,1,100,-0.478
0.989000,4129713.000,50557,2,AX,1,100,-0.470
1.028000,4129752.000,50572,3,AX,1,100,-0.474
1.067000,4129791.000,50572,3,AX,1,100,-0.481
1.106000,4129830.000,50572,3,AX,1,100,-0.460
1.145333,4129869.333,50591,3,AX,1,100,-0.487
1.184667,4129908.667,50591,3,AX,1,100,-0.466
1.224000,4129948.000,50591,3,AX,1,100,-0.467
1.263000,4129987.000,50606,2,AX,1,100,-0.467
1.302000,4130026.000,50606,2,AX,1,100,-0.484
1.340667,4130064.667,50623,3,AX,1,100,-0.471
1.379333,4130103.333,50623,3,AX,1,100,-0.479
1.418000,4130142.000,50623,3,AX,1,100,-0.464
1.456667,4130180.667,50639,3,AX,1,100,-0.481
1.495333,4130219.333,50639,3,AX,1,100,-0.461
1.534000,4130258.000,50639,3,AX,1,100,-0.480
1.573000,4130297.000,50655,2,AX,1,100,-0.465
1.612000,4130336.000,50655,2,AX,1,100,-0.479
1.651667,4130375.667,50670,3,AX,1,100,-0.472
1.691333,4130415.333,50670,3,AX,1,100,-0.463
1.731000,4130455.000,50670,3,AX,1,100,-0.497
1.770500,4130494.500,50686,2,AX,1,100,-0.454
1.810000,4130534.000,50686,2,AX,1,100,-0.480
1.849000,4130573.000,50701,3,AX,1,100,-0.472
1.888000,4130612.000,50701,3,AX,1,100,-0.477
1.927000,4130651.000,50701,3,AX,1,100,-0.486
1.966000,4130690.000,50717,2,AX,1,100,-0.477
2.005000,4130729.000,50717,2,AX,1,100,-0.467
2.043333,4130767.333,50733,3,AX,1,100,-0.469
2.081667,4130805.667,50733,3,AX,1,100,-0.481
2.120000,4130844.000,50733,3,AX,1,100,-0.482
2.159000,4130883.000,50751,3,AX,1,100,-0.475
2.198000,4130922.000,50751,3,AX,1,100,-0.476
2.237000,4130961.000,50751,3,AX,1,100,-0.473
2.277000,4131001.000,50765,2,AX,1,100,-0.465
2.317000,4131041.000,50765,2,AX,1,100,-0.503
2.356667,4131080.667,50781,3,AX,1,100,-0.458
2.396333,4131120.333,50781,3,AX,1,100,-0.500
2.436000,4131160.000,50781,3,AX,1,100,-0.465
2.475000,4131199.000,50797,2,AX,1,100,-0.486
2.514000,4131238.000,50797,2,AX,1,100,-0.488
2.548667,4131272.667,50813,3,AX,1,100,-0.482
2.583333,4131307.333,50813,3,AX,1,100,-0.473
2.618000,4131342.000,50813,3,AX,1,100,-0.469
2.657000,4131381.000,50827,3,AX,1,100,-0.495
2.696000,4131420.000,50827,3,AX,1,100,-0.472
2.735000,4131459.000,50827,3,AX,1,100,-0.486
2.773333,4131497.333,50844,3,AX,1,100,-0.469
2.811667,4131535.667,50844,3,AX,1,100,-0.471
2.850000,4131574.000,50844,3,AX,1,100,-0.483
2.889000,4131613.000,50859,2,AX,1,100,-0.490
2.928000,4131652.000,50859,2,AX,1,100,-0.453
2.967000,4131691.000,50877,3,AX,1,100,-0.476
3.006000,4131730.000,50877,3,AX,1,100,-0.469
3.045000,4131769.000,50877,3,AX,1,100,-0.478
3.084000,4131808.000,50892,2,AX,1,100,-0.481
3.123000,4131847.000,50892,2,AX,1,100,-0.477
3.162000,4131886.000,50910,3,AX,1,100,-0.466
3.201000,4131925.000,50910,3,AX,1,100,-0.473
3.240000,4131964.000,50910,3,AX,1,100,-0.472
3.279000,4132003.000,50925,3,AX,1,100,-0.478
3.318000,4132042.000,50925,3,AX,1,100,-0.488
3.357000,4132081.000,50925,3,AX,1,100,-0.461
3.395500,4132119.500,50942,2,AX,1,100,-0.474
3.434000,4132158.000,50942,2,AX,1,100,-0.477
3.472667,4132196.667,50957,3,AX,1,100,-0.487
3.511333,4132235.333,50957,3,AX,1,100,-0.471
3.550000,4132274.000,50957,3,AX,1,100,-0.472
3.589000,4132313.000,50972,2,AX,1,100,-0.479
3.628000,4132352.000,50972,2,AX,1,100,-0.472
3.667000,4132391.000,50988,3,AX,1,100,-0.479
3.706000,4132430.000,50988,3,AX,1,100,-0.476
3.745000,4132469.000,50988,3,AX,1,100,-0.476
3.784000,4132508.000,51004,3,AX,1,100,-0.476
3.823000,4132547.000,51004,3,AX,1,100,-0.478
3.862000,4132586.000,51004,3,AX,1,100,-0.480
3.902000,4132626.000,51019,2,AX,1,100,-0.471
3.942000,4132666.000,51019,2,AX,1,100,-0.479
3.981667,4132705.667,51036,3,AX,1,100,-0.473
4.021333,4132745.333,51036,3,AX,1,100,-0.497
4.061000,4132785.000,51036,3,AX,1,100,-0.453
4.100000,4132824.000,51052,3,AX,1,100,-0.481
4.139000,4132863.000,51052,3,AX,1,100,-0.459
4.178000,4132902.000,51052,3,AX,1,100,-0.482
4.217000,4132941.000,51068,2,AX,1,100,-0.471
4.256000,4132980.000,51068,2,AX,1,100,-0.471
4.294667,4133018.667,51083,3,AX,1,100,-0.477
4.333333,4133057.333,51083,3,AX,1,100,-0.469
4.372000,4133096.000,51083,3,AX,1,100,-0.486
4.406667,4133130.667,51100,3,AX,1,100,-0.467
4.441333,4133165.333,51100,3,AX,1,100,-0.476
4.476000,4133200.000,51100,3,AX,1,100,-0.470
4.515000,4133239.000,51114,2,AX,1,100,-0.472
4.554000,4133278.000,51114,2,AX,1,100,-0.478
4.593000,4133317.000,51130,3,AX,1,100,-0.458
4.632000,4133356.000,51130,3,AX,1,100,-0.480
4.671000,4133395.000,51130,3,AX,1,100,-0.466
4.710000,4133434.000,51148,2,AX,1,100,-0.478
4.749000,4133473.000,51148,2,AX,1,100,-0.481
4.787667,4133511.667,51164,3,AX,1,100,-0.464
4.826333,4133550.333,51164,3,AX,1,100,-0.481
4.865000,4133589.000,51164,3,AX,1,100,-0.487
4.904333,4133628.333,51179,3,AX,1,100,-0.478
4.943667,4133667.667,51179,3,AX,1,100,-0.463
4.983000,4133707.000,51179,3,AX,1,100,-0.478
5.022500,4133746.500,51195,2,AX,1,100,-0.468
5.062000,4133786.000,51195,2,AX,1,100,-0.476
5.101000,4133825.000,51212,3,AX,1,100,-0.490
5.140000,4133864.000,51212,3,AX,1,100,-0.478
5.179000,4133903.000,51212,3,AX,1,100,-0.469
5.218000,4133942.000,51228,2,AX,1,100,-0.480
5.257000,4133981.000,51228,2,AX,1,100,-0.485
5.296000,4134020.000,51244,3,AX,1,100,-0.468
5.335000,4134059.000,51244,3,AX,1,100,-0.480
5.374000,4134098.000,51244,3,AX,1,100,-0.467
5.413000,4134137.000,51259,3,AX,1,100,-0.478
5.452000,4134176.000,51259,3,AX,1,100,-0.482
5.491000,4134215.000,51259,3,AX,1,100,-0.477
5.530000,4134254.000,51274,2,AX,1,100,-0.479
5.569000,4134293.000,51274,2,AX,1,100,-0.476
5.607667,4134331.667,51290,3,AX,1,100,-0.470
5.646333,4134370.333,51290,3,AX,1,100,-0.525
5.685000,4134409.000,51290,3,AX,1,100,-0.497
5.723500,4134447.500,51306,2,AX,1,100,-0.472
5.762000,4134486.000,51306,2,AX,1,100,-0.452
5.801000,4134525.000,51322,3,AX,1,100,-0.422
5.840000,4134564.000,51322,3,AX,1,100,-0.421
5.879000,4134603.000,51322,3,AX,1,100,-0.459
5.918000,4134642.000,51336,3,AX,1,100,-0.448
