LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
0.087000,4128811.000,50408,2,PI,1,100,162974
0.087000,4128811.000,50408,2,PI,1,100,162994
0.126667,4128850.667,50425,3,PI,1,100,162972
0.166333,4128890.333,50425,3,PI,1,100,162966
0.206000,4128930.000,50425,3,PI,1,100,162924
0.245000,4128969.000,50442,2,PI,1,100,162898
0.284000,4129008.000,50442,2,PI,1,100,162912
0.323000,4129047.000,50458,3,PI,1,100,162902
0.362000,4129086.000,50458,3,PI,1,100,162886
0.401000,4129125.000,50458,3,PI,1,100,162901
0.440000,4129164.000,50473,3,PI,1,100,162894
0.479000,4129203.000,50473,3,PI,1,100,162888
0.518000,4129242.000,50473,3,PI,1,100,162878
0.556500,4129280.500,50489,2,PI,1,100,162885
0.595000,4129319.000,50489,2,PI,1,100,162911
0.634667,4129358.667,50504,3,PI,1,100,162903
0.674333,4129398.333,50504,3,PI,1,100,162928
0.714000,4129438.000,50504,3,PI,1,100,162892
0.754000,4129478.000,50521,2,PI,1,100,162855
0.794000,4129518.000,50521,2,PI,1,100,162843
0.833000,4129557.000,50536,3,PI,1,100,162827
0.872000,4129596.000,50536,3,PI,1,100,162836
0.911000,4129635.000,50536,3,PI,1,100,162848
0.950000,4129674.000,50551,2,PI,1,100,162869
0.989000,4129713.000,50551,2,PI,1,100,162876
1.032333,4129756.333,50566,3,PI,1,100,162871
1.075667,4129799.667,50566,3,PI,1,100,162908
1.119000,4129843.000,50566,3,PI,1,100,162921
1.158500,4129882.500,50585,2,PI,1,100,162928
1.198000,4129922.000,50585,2,PI,1,100,162968
1.237000,4129961.000,50600,3,PI,1,100,162995
1.276000,4130000.000,50600,3,PI,1,100,162986
1.315000,4130039.000,50600,3,PI,1,100,162970
1.353333,4130077.333,50618,3,PI,1,100,162954
1.391667,4130115.667,50618,3,PI,1,100,162965
1.430000,4130154.000,50618,3,PI,1,100,162954
1.468500,4130192.500,50633,2,PI,1,100,162978
1.507000,4130231.000,50633,2,PI,1,100,163003
1.546000,4130270.000,50649,3,PI,1,100,163004
1.585000,4130309.000,50649,3,PI,1,100,163003
